Combo_Index,sigma,tournament_selection_n,parsimony,ncycles_per_iteration,population_size,populations,Mean_RMSE,Num_Success,Num_Total
4,0,30,0.01,300,50,30,0.0,300,300
6,0,30,0.0,500,75,20,0.0,300,300
8,0,10,0.01,500,75,50,0.0,300,300
24,0,20,0.001,300,50,50,0.0,300,300
21,0,30,0.01,500,100,20,0.0,300,300
22,0,20,0.0,500,100,30,0.0,300,300
23,0,20,0.01,100,50,30,0.0,300,300
20,0,30,0.0,500,75,50,0.0,300,300
25,0,20,0.001,300,100,50,0.0,300,300
27,0,10,0.01,100,50,20,0.0,300,300
49,0,30,0.01,100,100,30,0.0,300,300
17,0,10,0.1,100,75,50,1e-06,300,300
5,0,10,0.1,100,50,30,1e-06,300,300
3,0,30,0.1,500,50,30,1e-06,300,300
59,0,30,0.0,100,100,20,1e-06,300,300
2,0,10,0.001,300,50,20,1e-06,300,300
26,0,20,0.0,500,50,30,4e-06,300,300
1,0,10,0.0,300,75,20,7e-06,300,300
16,0,30,0.0,100,50,30,1.5e-05,298,300
35,0,10,0.01,100,100,30,1.5e-05,300,300
60,0,10,0.0,100,100,30,2.4e-05,300,300
19,0,20,0.001,300,50,20,2.5e-05,300,300
15,0,10,0.01,100,50,30,3.1e-05,299,300
14,0,30,0.0,100,75,20,3.6e-05,300,300
11,0,10,0.001,100,50,50,4.3e-05,300,300
58,0,10,0.1,100,100,30,4.5e-05,300,300
54,0,30,0.1,100,50,30,4.7e-05,300,300
28,0,10,0.0,100,100,20,5.1e-05,300,300
12,0,20,0.01,300,50,20,7.3e-05,299,300
46,0,10,0.1,100,75,30,8.1e-05,299,300
31,0,30,0.001,100,50,30,8.8e-05,300,300
55,0,20,0.01,100,75,30,0.000107,300,300
48,0,20,0.01,500,100,50,0.000109,300,300
13,0,10,0.01,300,50,20,0.000112,300,300
57,0,20,0.01,300,50,50,0.00012,300,300
9,0,30,0.1,100,75,20,0.000123,299,300
38,0,10,0.01,500,50,30,0.000142,300,300
18,0,30,0.1,300,100,50,0.000148,300,300
53,0,30,0.0,300,50,20,0.000172,297,300
30,0,20,0.1,100,100,20,0.000189,300,300
10,0,30,0.001,300,100,50,0.000205,298,300
51,0,30,0.001,500,100,20,0.000213,300,300
7,0,20,0.01,300,75,20,0.000223,300,300
36,0,30,0.1,500,75,30,0.000224,298,300
33,0,30,0.001,300,100,30,0.000224,300,300
52,0,30,0.0,500,50,20,0.000227,298,300
44,0,20,0.01,100,75,20,0.000259,299,300
34,0,20,0.001,300,75,20,0.000268,299,300
32,0,20,0.01,500,75,30,0.000273,299,300
56,0,10,0.01,300,75,20,0.000281,299,300
42,0,10,0.01,500,75,20,0.000355,299,300
43,0,20,0.001,300,100,30,0.000489,300,300
47,0,10,0.0,500,100,50,0.000654,300,300
29,0,10,0.1,500,75,30,0.000726,300,300
39,0,20,0.0,300,50,20,0.000855,300,300
40,0,20,0.1,300,50,50,0.002321,300,300
45,0,10,0.1,500,75,50,0.030115,300,300
41,0,20,0.0,300,75,50,2.815626,300,300
37,0,10,0.0,300,100,50,7.106081,300,300
50,0,20,0.1,100,100,50,2688.593562,299,300
