chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef,is_boundary,c_omega,c_theta,intercept,intercept_abs,c_omega_rel_error,c_theta_rel_error,intercept_rel_error
0,0,3600,(x1 * -0.009090466835461575) + (0.0055737574497438025 - (x0 * 1.5386259669890016e-5)),1.811796612848789e-13,9,True,0.0001074117049572,0.0001073727497749,0.0684900087943471,0.0684779970474043,0.0055737574497438,-0.0090904668354615,-1.5386259669890016e-05,,,,,,,,True,-0.0090904668354615,-1.5386259669890016e-05,0.0055737574497438,0.0055737574497438,0.0036233870246404204,0.004480730894491306,0.0044788311494965835
6,6,3600,((x1 * -0.009090466620486654) + ((x0 * -1.5386250462525074e-5) - -1.437420288419298)) + -1.4429940325216013,6.88769704214724e-13,11,True,0.0002086565936824,0.0002086560283512,0.1327676196222688,0.1327662801567521,-0.0055737441023032,-0.0090904666204866,-1.5386250462525074e-05,,,,,,,,True,-0.0090904666204866,-1.5386250462525074e-05,-0.0055737441023032,0.0055737441023032,0.003623363290563623,0.004480129798392222,0.004476425730593188
12,12,3600,((x0 * -1.538625046434071e-5) + 0.005573744102844937) - (x1 * 0.009090466621215274),6.887697042185572e-13,9,True,0.0002086565864764,0.0002086560211404,0.1327676232590774,0.1327662837853269,0.0055737441028449,-0.0090904666212152,-1.538625046434071e-05,,,,,,,,True,-0.0090904666212152,-1.538625046434071e-05,0.0055737441028449,0.0055737441028449,0.0036233633710038783,0.004480129916924658,0.004476425828216122
18,18,3600,(((x0 + 0.7062352538864572) * -1.5386250507667034e-5) + -0.0055628778075409654) - (x1 * 0.009090466653449786),6.887697042370882e-13,11,True,0.0002086567245581,0.0002086561592829,0.1327676899207843,0.1327663504336012,-0.0055737441200746,-0.0090904666534497,-1.5386250507667034e-05,,,,,,,,True,-0.0090904666534497,-1.5386250507667034e-05,-0.0055737441200746,0.0055737441200746,0.003623366929819964,0.004480132745452144,0.00447642893327918
24,24,3600,((x1 * -0.009090466606024252) + 0.0055737440879087205) + (x0 * -1.538625042851773e-5),6.887697042411408e-13,9,True,0.000208656800613,0.0002086562351948,0.1327676110272451,0.132766270726729,0.0055737440879087,-0.0090904666060242,-1.538625042851773e-05,,,,,,,,True,-0.0090904666060242,-1.538625042851773e-05,0.0055737440879087,0.0055737440879087,0.0036233616938576275,0.00448012757824767,0.004476423136477637
30,30,3600,((x1 - (x1 * 1.0090904666213538)) - (x0 * 1.5386250463669527e-5)) + -0.005573744102755278,6.887697042186399e-13,11,True,0.0002086565978287,0.000208656032499,0.1327676214748905,0.1327662820073168,-0.0055737441027552,-0.0090904666213538,-1.5386250463669527e-05,,,,,,,,True,-0.0090904666213538,-1.5386250463669527e-05,-0.0055737441027552,0.0055737441027552,0.0036233633863059682,0.004480129873107023,0.004476425812050623
36,36,3600,(x0 * -1.5386250467906352e-5) + ((x1 * -0.009090466636883445) + 0.0055737441097055175),6.88769704240577e-13,9,True,0.0002086568326152,0.0002086562675091,0.1327675868421152,0.1327662479343056,0.0055737441097055,-0.0090904666368834,-1.5386250467906352e-05,,,,,,,,True,-0.0090904666368834,-1.5386250467906352e-05,0.0055737441097055,0.0055737441097055,0.0036233651008350685,0.004480130149705044,0.004476427064604194
42,42,3600,(x0 * -1.538625059691832e-5) + ((x1 * -0.009090466714069536) + -0.005573744157140237),6.887697043867937e-13,9,True,0.0002086568162102,0.0002086562511278,0.1327677877869491,0.1327664489933096,-0.0055737441571402,-0.0090904667140695,-1.538625059691832e-05,,,,,,,,True,-0.0090904667140695,-1.538625059691832e-05,-0.0055737441571402,0.0055737441571402,0.003623373622484841,0.004480138572157177,0.00447643561308387
48,48,3600,(x1 * -0.009090466616982026) + ((x0 * -1.53862504581989e-5) + 0.005573744100552554),6.887697042189134e-13,9,True,0.0002086565727577,0.0002086560074192,0.1327676125893566,0.1327662731344638,0.0055737441005525,-0.009090466616982,-1.53862504581989e-05,,,,,,,,True,-0.009090466616982,-1.53862504581989e-05,0.0055737441005525,0.0055737441005525,0.0036233629036420303,0.004480129515961154,0.00447642541508944
54,54,3600,((x1 * -0.009090466621353713) + (x0 * -1.5386250463671163e-5)) - 0.005573744102755278,6.887697042185963e-13,9,True,0.0002086565978118,0.0002086560324821,0.1327676214831601,0.1327662820155047,-0.0055737441027552,-0.0090904666213537,-1.5386250463671163e-05,,,,,,,,True,-0.0090904666213537,-1.5386250463671163e-05,-0.0055737441027552,0.0055737441027552,0.00362336338629486,0.004480129873213858,0.004476425812050623
60,60,3600,(((x0 * -9.38495491491024e-6) - -0.0033997455889110805) - (x1 * 0.005544795966177878)) * 1.6394591862277392,6.887697042868399e-13,11,True,0.0002086568203898,0.0002086562551972,0.1327677403468202,0.1327664010380372,0.0055737441365775,-0.0090904666825088,-1.5386250547582764e-05,,,,,,,,True,-0.0090904666825088,-1.5386250547582764e-05,0.0055737441365775,0.0055737441365775,0.003623370138059075,0.004480135351321419,0.004476431907361492
66,66,3600,((x1 * -0.0090904666213619) + (x0 * -1.5386250462921245e-5)) + -0.005573744102757276,6.887697042186234e-13,9,True,0.0002086566042261,0.0002086560389077,0.1327676175829056,0.1327662781556313,-0.0055737441027572,-0.0090904666213619,-1.5386250462921245e-05,,,,,,,,True,-0.0090904666213619,-1.5386250462921245e-05,-0.0055737441027572,0.0055737441027572,0.0036233633872001765,0.0044801298242559484,0.0044764258124110785
72,72,3600,(((4.472224786137372e-6 - x1) * 0.009090466621330066) - (x0 * 1.5386250463631007e-5)) - -0.0055737034481300575,6.887697042185295e-13,11,True,0.0002086565978342,0.0002086560325044,0.1327676214262801,0.1327662819584906,0.0055737441027401,-0.00909046662133,-1.5386250463631007e-05,,,,,,,,True,-0.00909046662133,-1.5386250463631007e-05,0.0055737441027401,0.0055737441027401,0.0036233633836783093,0.004480129870592294,0.004476425809329383
78,78,3600,((x1 + 0.5358156487007888) * -0.009090466622001185) + ((x0 * -1.5386250465069144e-5) + -0.0007029298330235498),6.8876970421858e-13,11,True,0.0002086565965829,0.0002086560312457,0.1327676258155797,0.1327662863150076,-0.0055737441030839,-0.0090904666220011,-1.5386250465069144e-05,,,,,,,,True,-0.0090904666220011,-1.5386250465069144e-05,-0.0055737441030839,0.0055737441030839,0.0036233634577704323,0.004480129964479991,0.004476425871287646
84,84,3600,((x0 * -1.5386250459801236e-5) + (x1 * -0.00909046662151857)) - -0.005573744100723587,6.887697042204297e-13,9,True,0.0002086566795349,0.0002086561141783,0.132767631420619,0.1327662916562022,0.0055737441007235,-0.0090904666215185,-1.5386250459801236e-05,,,,,,,,True,-0.0090904666215185,-1.5386250459801236e-05,0.0055737441007235,0.0055737441007235,0.003623363404489481,0.004480129620568465,0.004476425445906398
90,90,3600,(((x1 + x0) * -0.00909046663736815) - (x0 * -0.009075080386881304)) - 0.005573744111910696,6.887697042234317e-13,11,True,0.0002086566394906,0.0002086560741912,0.1327676545029216,0.1327663150850307,-0.0055737441119106,-0.0090904666373681,-1.538625048684572e-05,,,,,,,,True,-0.0090904666373681,-1.538625048684572e-05,-0.0055737441119106,0.0055737441119106,0.0036233651543477593,0.004480131386147905,0.004476427461997893
96,96,3600,(x1 * -0.009090466680433968) + ((x0 * -1.5386250488068894e-5) + 0.005573744127109736),6.887697044315364e-13,9,True,0.0002086574684547,0.0002086569037632,0.1327675630904111,0.1327662247976618,0.0055737441271097,-0.0090904666804339,-1.5386250488068894e-05,,,,,,,,True,-0.0090904666804339,-1.5386250488068894e-05,0.0055737441271097,0.0055737441271097,0.003623369908982012,0.004480131466001873,0.00447643020111493
102,102,3600,((x0 * -1.5386250479693022e-5) + ((x1 * 0.9909095333698259) - 0.005573744107838896)) - x1,6.88769704221006e-13,11,True,0.0002086565927738,0.0002086560274133,0.1327676559918822,0.1327663163862397,-0.0055737441078388,-0.009090466630174,-1.5386250479693022e-05,,,,,,,,True,-0.009090466630174,-1.5386250479693022e-05,-0.0055737441078388,0.0055737441078388,0.003623364360090806,0.0044801309191892,0.004476426728195403
108,108,3600,(x1 * -0.009090466678848625) + ((x0 * -1.538625048301309e-5) - -0.005573744118926752),6.887697043977185e-13,9,True,0.0002086576486221,0.0002086570836641,0.1327676513614546,0.132766311438163,0.0055737441189267,-0.0090904666788486,-1.538625048301309e-05,,,,,,,,True,-0.0090904666788486,-1.538625048301309e-05,0.0055737441189267,0.0055737441189267,0.0036233697339586846,0.004480131135937391,0.004476428726409624
114,114,3600,((x1 * -0.009090466624912126) + (x0 * -1.5386250466781106e-5)) - 0.005573744103484865,6.88769704219422e-13,9,True,0.0002086566529579,0.000208656087611,0.1327676372138495,0.1327662975488552,-0.0055737441034848,-0.0090904666249121,-1.5386250466781106e-05,,,,,,,,True,-0.0090904666249121,-1.5386250466781106e-05,-0.0055737441034848,0.0055737441034848,0.003623363779156264,0.004480130076244181,0.004476425943536101
120,120,3600,((-0.3442234285308849 - (x1 * 0.009090466624522545)) + 0.3497971726353962) - (x0 * 1.5386250468114698e-5),6.887697042182433e-13,11,True,0.000208656608473,0.0002086560431491,0.132767628087384,0.1327662886236741,0.0055737441045112,-0.0090904666245225,-1.5386250468114698e-05,,,,,,,,True,-0.0090904666245225,-1.5386250468114698e-05,0.0055737441045112,0.0055737441045112,0.0036233637361429085,0.004480130163306786,0.004476426128509596
126,126,3600,((x0 * -1.5386250463669927e-5) + ((x1 * -0.009090466621353974) + 0.11733059106740217)) - 0.1229043351701576,6.887697042185476e-13,11,True,0.0002086565978254,0.0002086560324957,0.1327676214751378,0.1327662820075716,-0.0055737441027554,-0.0090904666213539,-1.5386250463669927e-05,,,,,,,,True,-0.0090904666213539,-1.5386250463669927e-05,-0.0055737441027554,0.0055737441027554,0.0036233633863170765,0.004480129873133123,0.00447642581208673
132,132,3600,(0.0055737441048464426 - (x0 * 1.5386250468965563e-5)) - (x1 * 0.009090466625348275),6.887697042188617e-13,9,True,0.0002086566165188,0.0002086560511959,0.1327676299959333,0.1327662905199115,0.0055737441048464,-0.0090904666253482,-1.5386250468965563e-05,,,,,,,,True,-0.0090904666253482,-1.5386250468965563e-05,0.0055737441048464,0.0055737441048464,0.0036233638273035127,0.004480130218854882,0.004476426188917867
138,138,3600,(x0 * -1.538625046374149e-5) - (((x1 * -0.00161276131587592) - 0.0009888512051074213) * -5.636585235465203),6.887697042185545e-13,11,True,0.0002086565978137,0.000208656032484,0.1327676216020376,0.1327662821342894,-0.0055737441027804,-0.0090904666213956,-1.538625046374149e-05,,,,,,,,True,-0.0090904666213956,-1.538625046374149e-05,-0.0055737441027804,0.0055737441027804,0.0036233633909208414,0.004480129877805134,0.004476425816592119
144,144,3600,((x0 * -1.538625044927153e-5) + 0.005573744097292707) + (x1 * -0.009090466610371552),6.887697042208036e-13,9,True,0.0002086565387277,0.0002086559733889,0.1327675947193511,0.1327662553361875,0.0055737440972927,-0.0090904666103715,-1.538625044927153e-05,,,,,,,,True,-0.0090904666103715,-1.538625044927153e-05,0.0055737440972927,0.0055737440972927,0.003623362173816724,0.0044801289331442215,0.004476424827622247
150,150,3600,(x1 * -0.009090466621352603) + ((x0 * -1.5386250463668e-5) + -0.005573744102754674),6.887697042185924e-13,9,True,0.0002086565978211,0.0002086560324914,0.1327676214723283,0.132766282004761,-0.0055737441027546,-0.0090904666213526,-1.5386250463668e-05,,,,,,,,True,-0.0090904666213526,-1.5386250463668e-05,-0.0055737441027546,0.0055737441027546,0.003623363386173436,0.004480129873007265,0.00447642581194261
156,156,3600,(0.0028869982634951398 - ((x0 * 7.969522381965925e-6) - (x1 * -0.004708533593729503))) * 1.9306364582166877,6.887697042192499e-13,11,True,0.0002086565796171,0.0002086560142459,0.1327676342505847,0.1327662946254544,0.0055737441023119,-0.0090904666207922,-1.5386250465197314e-05,,,,,,,,True,-0.0090904666207922,-1.5386250465197314e-05,0.0055737441023119,0.0055737441023119,0.003623363324303182,0.004480129972847452,0.004476425732161
162,162,3600,((x0 * -1.538625047109025e-5) + -0.0055737441044764946) - (x1 * 0.009090466628519409),6.887697042219769e-13,9,True,0.0002086566936583,0.000208656128287,0.1327676554995074,0.1327663156336478,-0.0055737441044764,-0.0090904666285194,-1.538625047109025e-05,,,,,,,,True,-0.0090904666285194,-1.538625047109025e-05,-0.0055737441044764,0.0055737441044764,0.003623364177416434,0.00448013035756354,0.004476426122238036
168,168,3600,((x0 * -1.5386250475845975e-5) - -0.0055737441162942054) - (x1 * 0.00909046665611591),6.887697042956487e-13,9,True,0.0002086571457556,0.0002086565808012,0.1327675873101482,0.1327662484583761,0.0055737441162942,-0.0090904666561159,-1.5386250475845975e-05,,,,,,,,True,-0.0090904666561159,-1.5386250475845975e-05,0.0055737441162942,0.0055737441162942,0.0036233672241788323,0.004480130668037515,0.004476428251991662
174,174,3600,-0.005573744115065479 - ((x1 * 0.009090466658314181) + (x0 * 1.538625051471093e-5)),6.887697043001537e-13,9,True,0.000208656909897,0.0002086563443041,0.1327678133287056,0.1327664719559896,-0.0055737441150654,-0.0090904666583141,-1.538625051471093e-05,,,,,,,,True,-0.0090904666583141,-1.538625051471093e-05,-0.0055737441150654,0.0055737441150654,0.003623367466868776,0.0044801332053077195,0.0044764280305425504
180,180,3600,(0.005573744109157226 - x0) - ((x0 + (x1 * -0.009090606500960502)) * -0.9999846137495201),6.887697039899264e-13,11,True,0.0002086565725796,0.0002086560072706,0.1327676392138371,0.1327662998893515,0.0055737441091572,-0.0090904666306118,-1.5386250479906827e-05,,,,,,,,True,-0.0090904666306118,-1.5386250479906827e-05,0.0055737441091572,0.0055737441091572,0.003623364408425745,0.004480130933147282,0.004476426965791882
186,186,3600,((x0 * -1.5386250463495638e-5) + 0.3790404992041652) - ((x1 * 0.00909046662122217) + 0.3846142433068518),6.887697042182227e-13,11,True,0.0002086565972008,0.0002086560318709,0.1327676211942939,0.1327662817270153,-0.0055737441026866,-0.0090904666212221,-1.5386250463495638e-05,,,,,,,,True,-0.0090904666212221,-1.5386250463495638e-05,-0.0055737441026866,0.0055737441026866,0.003623363371765746,0.0044801298617548,0.004476425799687888
192,192,3600,((x1 * 0.9909095333786464) + ((x0 * -1.538625046366928e-5) + 0.00557374410275518)) - x1,6.887697042185373e-13,11,True,0.0002086565978263,0.0002086560324966,0.1327676214744222,0.1327662820068504,0.0055737441027551,-0.0090904666213535,-1.538625046366928e-05,,,,,,,,True,-0.0090904666213535,-1.538625046366928e-05,0.0055737441027551,0.0055737441027551,0.003623363386272835,0.004480129873090875,0.004476425812032647
198,198,3600,((x1 * -0.00909046662442007) + (x0 * -1.5386250467521386e-5)) + -0.005573744103571337,6.887697042192422e-13,9,True,0.000208656631448,0.0002086560660936,0.1327676383902993,0.1327662987352779,-0.0055737441035713,-0.00909046662442,-1.5386250467521386e-05,,,,,,,,True,-0.00909046662442,-1.5386250467521386e-05,-0.0055737441035713,0.0055737441035713,0.003623363724826548,0.0044801301245728,0.004476425959124808
204,204,3600,(x1 * -0.009090466607280207) + ((x0 * -1.538625046495711e-5) + 0.0055737440973230605),6.887697042453352e-13,9,True,0.0002086563232163,0.0002086557576429,0.1327676668816614,0.1327663268419493,0.005573744097323,-0.0090904666072802,-1.538625046495711e-05,,,,,,,,True,-0.0090904666072802,-1.538625046495711e-05,0.005573744097323,0.005573744097323,0.003623361832525037,0.004480129957165844,0.004476424833082703
210,210,3600,((x1 * -0.009090466577794998) + -0.005573744084882926) + (x0 + (x0 * -1.0000153862504144)),6.887697036271013e-13,11,True,0.0002086562126608,0.0002086556473363,0.1327675007373884,0.1327661621063132,-0.0055737440848829,-0.0090904665777949,-1.53862504144002e-05,,,,,,,,True,-0.0090904665777949,-1.53862504144002e-05,-0.0055737440848829,0.0055737440848829,0.0036233585772316836,0.004480126656594898,0.004476422591180829
216,216,3600,(((x0 * -2.5752875002768568e-5) + 0.009329104287904004) * 0.5974575833453502) - (x1 * 0.00909046662111579),6.887697042185767e-13,11,True,0.0002086565968176,0.0002086560314874,0.1327676209821606,0.1327662815146756,0.0055737441026278,-0.0090904666211157,-1.5386250463348986e-05,,,,,,,,True,-0.0090904666211157,-1.5386250463348986e-05,0.0055737441026278,0.0055737441026278,0.0036233633600188477,0.0044801298521807385,0.004476425789091168
222,222,3600,(x0 * -1.5386250462866465e-5) + ((x1 * -0.009090466621354914) + -0.00557374410275332),6.887697042185866e-13,9,True,0.0002086566045784,0.0002086560392608,0.1327676173359676,0.1327662779110858,-0.0055737441027533,-0.0090904666213549,-1.5386250462866465e-05,,,,,,,,True,-0.0090904666213549,-1.5386250462866465e-05,-0.0055737441027533,0.0055737441027533,0.003623363386427392,0.004480129820679721,0.004476425811708299
228,228,3600,(0.005573744101727543 - (x1 * 0.009090466621631238)) - (x0 * 1.5386250462676523e-5),6.887697042193392e-13,9,True,0.0002086566364467,0.0002086560710888,0.132767632067327,0.1327662923863744,0.0055737441017275,-0.0090904666216312,-1.5386250462676523e-05,,,,,,,,True,-0.0090904666216312,-1.5386250462676523e-05,0.0055737441017275,0.0055737441017275,0.0036233634169319812,0.004480129808279492,0.0044764256268429725
234,234,3600,((x1 * -0.009090466642846158) - (x0 * 1.53862504935049e-5)) + -0.0055737441145515265,6.887697042269097e-13,9,True,0.0002086566751787,0.0002086561098882,0.1327676663555625,0.1327663269032218,-0.0055737441145515,-0.0090904666428461,-1.53862504935049e-05,,,,,,,,True,-0.0090904666428461,-1.53862504935049e-05,-0.0055737441145515,0.0055737441145515,0.0036233657591405615,0.0044801318208876045,0.004476427937929581
240,240,3600,(0.005573744102755274 - (x0 * 1.538625046366809e-5)) - ((x1 * 1.0090904666213538) - x1),6.88769704218634e-13,11,True,0.0002086565978409,0.0002086560325112,0.1327676214675312,0.1327662820000337,0.0055737441027552,-0.0090904666213538,-1.538625046366809e-05,,,,,,,,True,-0.0090904666213538,-1.538625046366809e-05,0.0055737441027552,0.0055737441027552,0.0036233633863059682,0.004480129873013237,0.004476425812050623
246,246,3600,(((x0 - -366.46674998104885) * -1.538625046366207e-5) + 6.480509906006656e-5) - (x1 * 0.009090466621349944),6.887697042185224e-13,11,True,0.0002086565978444,0.0002086560325147,0.1327676214644407,0.1327662819968367,-0.0055737441027525,-0.0090904666213499,-1.538625046366207e-05,,,,,,,,True,-0.0090904666213499,-1.538625046366207e-05,-0.0055737441027525,0.0055737441027525,0.0036233633858754307,0.0044801298726201795,0.004476425811564179
252,252,3600,((x1 * -0.009090466636698902) - (x0 * 1.5386250467546254e-5)) - -0.005573744106592501,6.887697042328549e-13,9,True,0.000208656899589,0.0002086563343579,0.1327676297406647,0.1327662901039207,0.0055737441065925,-0.0090904666366989,-1.5386250467546254e-05,,,,,,,,True,-0.0090904666366989,-1.5386250467546254e-05,0.0055737441065925,0.0055737441065925,0.003623365080465543,0.004480130126196347,0.004476426503592535
258,258,3600,(x1 * -0.00909046662357361) + (-0.005573744101186237 - (x0 * 1.538625045959711e-5)),6.887697042215166e-13,9,True,0.000208656727097,0.0002086561617623,0.13276762951674,0.1327662897561129,-0.0055737441011862,-0.0090904666235736,-1.538625045959711e-05,,,,,,,,True,-0.0090904666235736,-1.538625045959711e-05,-0.0055737441011862,0.0055737441011862,0.0036233636313805313,0.004480129607242328,0.004476425529292256
264,264,3600,(((x0 * -1.5386250463758476e-5) + (x1 * -1.0090904666213538)) + 0.005573744102755137) + x1,6.887697042186931e-13,11,True,0.0002086565970926,0.0002086560317616,0.1327676219388404,0.1327662824664434,0.0055737441027551,-0.0090904666213538,-1.5386250463758476e-05,,,,,,,,True,-0.0090904666213538,-1.5386250463758476e-05,0.0055737441027551,0.0055737441027551,0.0036233633863059682,0.004480129878913968,0.004476425812032647
270,270,3600,((x0 * -9.960752234796754e-6) + ((x1 * -0.005884987114136368) - 0.003608330967879319)) * 1.5446875999627834,6.887697042185737e-13,11,True,0.0002086565969397,0.0002086560316096,0.1327676210485662,0.1327662815810745,-0.0055737441026448,-0.0090904666211472,-1.538625046339213e-05,,,,,,,,True,-0.0090904666211472,-1.538625046339213e-05,-0.0055737441026448,0.0055737441026448,0.0036233633634964735,0.004480129854997393,0.004476425792154889
276,276,3600,((x0 * -1.5386250464059023e-5) + 0.005573744102751288) - (x1 * 0.009090466621343482),6.887697042185749e-13,9,True,0.0002086565943959,0.0002086560290602,0.1327676235261735,0.1327662840372621,0.0055737441027512,-0.0090904666213434,-1.5386250464059023e-05,,,,,,,,True,-0.0090904666213434,-1.5386250464059023e-05,0.0055737441027512,0.0055737441027512,0.0036233633851578038,0.004480129898535,0.004476425811329867
282,282,3600,(-0.00557374410410037 - (x0 * 1.5386250469569616e-5)) - (x1 * 0.009090466627030119),6.88769704220713e-13,9,True,0.0002086566739686,0.0002086561086049,0.1327676488080639,0.1327663090193364,-0.0055737441041003,-0.0090904666270301,-1.5386250469569616e-05,,,,,,,,True,-0.0090904666270301,-1.5386250469569616e-05,-0.0055737441041003,0.0055737441041003,0.0036233640129918407,0.004480130258290046,0.0044764260544588605
288,288,3600,(x0 * -1.5386250459016653e-5) + ((x1 * -0.009090466605829694) - -0.005573744096808647),6.887697042351746e-13,9,True,0.0002086563443994,0.0002086557788944,0.1327676393596614,0.1327662995990705,0.0055737440968086,-0.0090904666058296,-1.5386250459016653e-05,,,,,,,,True,-0.0090904666058296,-1.5386250459016653e-05,0.0055737440968086,0.0055737440968086,0.0036233616723730703,0.004480129569347542,0.004476424740379698
