Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
69500,2025-04-23 06:10:00,0.021707,0.506938,0.358788,1.007 omega + -0.024 omega^2,0.001 1 + 0.012 omega + -0.001 theta omega + -0.044 omega^2,1.0489041580e-03,2.0846462621e-04,1.1521829000e-02,-7.9917237421e-06,-5.0459365331e-04,-4.3710998180e-02
69501,2025-04-23 06:15:00,0.027801,2.103542,1.487559,-0.003 1 + 0.969 omega + -0.071 omega^2,-0.005 1 + -0.058 omega + -0.001 theta omega + -0.140 omega^2,-5.4317181627e-03,-1.1936658743e-05,-5.8018052354e-02,3.3956475660e-06,-6.7601014676e-04,-1.3964040575e-01
69502,2025-04-23 06:20:00,nan,nan,nan,-0.001 theta + 1.000 omega + 0.005 theta omega + 0.031 omega^2,0.001 1 + -0.002 theta + 0.002 omega + 0.010 theta omega + 0.061 omega^2,6.1655950008e-04,-1.5715736866e-03,1.5946905896e-03,-5.9415320271e-06,1.0429051206e-02,6.0668459227e-02
69503,2025-04-23 06:25:00,0.102309,6.500296,4.596973,0.995 omega + 0.003 theta omega + -0.001 omega^2,-0.001 1 + -0.009 omega + 0.005 theta omega + -0.003 omega^2,-7.5686525262e-04,1.5146359343e-04,-9.1820679994e-03,-7.4133124363e-05,5.2448905896e-03,-2.6560392578e-03
69504,2025-04-23 06:30:00,nan,nan,nan,0.001 1 + 0.979 omega + 0.004 theta omega + 0.083 omega^2,0.002 1 + -0.036 omega + 0.006 theta omega + 0.153 omega^2,1.5663639584e-03,-1.1081064275e-04,-3.6376344953e-02,-3.7488402169e-05,6.3615294502e-03,1.5336983936e-01
69505,2025-04-23 06:35:00,nan,nan,nan,1.000 omega + 0.001 theta omega + -0.084 omega^2,0.003 theta omega + -0.177 omega^2,6.7088516970e-05,-3.3738776075e-04,4.9970528255e-04,-1.5880098410e-05,2.7141607736e-03,-1.7663954880e-01
69506,2025-04-23 06:40:00,0.093185,8.864907,6.268782,1.002 omega + 0.001 omega^2,0.001 1 + 0.007 omega + 0.014 omega^2,1.3486839840e-03,1.0870309362e-04,7.4450929926e-03,1.0729403308e-06,9.9455560000e-05,1.4049393976e-02
69507,2025-04-23 06:45:00,0.013891,0.706315,0.499536,-0.006 1 + 0.944 omega + -0.124 omega^2,-0.009 1 + -0.090 omega + -0.001 theta omega + -0.199 omega^2,-9.3714853327e-03,-7.4151461174e-05,-9.0024955499e-02,8.1728225634e-07,-6.2682526991e-04,-1.9920531667e-01
69508,2025-04-23 06:50:00,0.017850,1.052749,0.744513,-0.005 1 + 0.953 omega + -0.114 omega^2,-0.009 1 + -0.090 omega + -0.001 theta omega + -0.224 omega^2,-8.8491523118e-03,-5.6611039292e-05,-9.0001875699e-02,2.3512011008e-06,-6.8605484465e-04,-2.2426052533e-01
69509,2025-04-23 06:55:00,0.029615,1.007094,0.712431,-0.001 1 + 1.009 omega + 0.001 theta omega + 0.052 omega^2,-0.002 1 + 0.014 omega + 0.002 theta omega + 0.097 omega^2,-1.5123661322e-03,-3.3954041584e-05,1.4157170447e-02,1.1123811950e-05,1.9776669601e-03,9.7104834096e-02
69510,2025-04-23 07:00:00,0.043042,3.128989,2.212739,-0.002 1 + 0.999 omega + -0.001 theta omega + 0.093 omega^2,-0.003 1 + -0.003 theta omega + 0.188 omega^2,-3.3567478026e-03,-4.2866656400e-04,2.0069324577e-04,-3.9250111831e-06,-2.6454913765e-03,1.8754522954e-01
69511,2025-04-23 07:05:00,0.044833,2.471164,1.747664,0.004 1 + 1.013 omega + 0.001 theta omega + -0.040 omega^2,0.007 1 + 0.027 omega + 0.002 theta omega + -0.067 omega^2,7.2758475682e-03,3.1043904638e-04,2.7436511186e-02,-3.2205115061e-06,2.2753457950e-03,-6.7310696107e-02
69512,2025-04-23 07:10:00,0.100164,9.622899,6.804786,0.001 1 + 0.999 omega + 0.006 omega^2,0.002 1 + 0.002 omega + 0.017 omega^2,1.7581183102e-03,1.9725086817e-04,1.5283282030e-03,1.9971539178e-06,-4.4245533585e-05,1.7106718168e-02
