Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
60000,2025-03-21 02:15:00,0.102345,4.391467,3.106079,-0.011 1 + -0.005 theta + 1.023 omega + -0.001 theta^2 + 0.002 theta omega + 0.275 omega^2 + 0.064 theta omega^2 + -0.847 omega^3,-0.021 1 + -0.009 theta + 0.049 omega + -0.001 theta^2 + 0.005 theta omega + 0.549 omega^2 + 0.129 theta omega^2 + -1.694 omega^3,-2.1122177470e-02,-9.0065482508e-03,4.8763308027e-02,-1.2687565539e-03,4.5732579939e-03,5.4914358543e-01,-6.4497772541e-05,-3.3674932928e-04,1.2944660375e-01,-1.6940329636e+00
60001,2025-03-21 02:20:00,0.087358,8.043915,5.688242,0.003 1 + 0.972 omega + -0.001 theta omega + -0.056 omega^2 + -0.003 theta omega^2 + 0.694 omega^3,0.005 1 + 0.001 theta + -0.055 omega + -0.002 theta omega + -0.101 omega^2 + -0.005 theta omega^2 + 1.399 omega^3,5.3143541609e-03,5.7247006057e-04,-5.5232805449e-02,-6.4079348278e-05,-2.1063965962e-03,-1.0125488161e-01,-7.9774065100e-06,2.2184723703e-04,-4.6663964617e-03,1.3987258525e+00
60002,2025-03-21 02:25:00,0.120855,5.090069,3.600237,0.012 1 + -0.006 theta + 0.924 omega + 0.001 theta^2 + 0.033 theta omega + 0.088 omega^2 + -0.003 theta^2 omega + -0.012 theta omega^2 + -1.937 omega^3,0.024 1 + -0.011 theta + -0.145 omega + 0.002 theta^2 + 0.064 theta omega + 0.137 omega^2 + -0.005 theta^2 omega + -0.017 theta omega^2 + -3.853 omega^3,2.3855698649e-02,-1.1484195706e-02,-1.4504473891e-01,1.5888699678e-03,6.4297095426e-02,1.3749136656e-01,-6.9686669858e-05,-4.9344640043e-03,-1.7308682878e-02,-3.8528420280e+00
60003,2025-03-21 02:30:00,0.125152,10.310356,7.291060,-0.001 1 + 0.001 theta + 0.998 omega + 0.001 theta omega + 0.075 omega^2 + -0.032 theta omega^2 + 0.130 omega^3,-0.003 1 + 0.001 theta + -0.003 omega + 0.002 theta omega + 0.153 omega^2 + -0.062 theta omega^2 + 0.239 omega^3,-2.8170490628e-03,1.2622918676e-03,-3.2182169844e-03,2.6306185633e-04,1.8753314940e-03,1.5271515050e-01,-1.1316594636e-05,-1.8958154108e-04,-6.2280134073e-02,2.3878962009e-01
60004,2025-03-21 02:35:00,nan,nan,nan,-0.172 1 + 0.005 theta + 2.458 omega + -0.041 theta omega + -3.548 omega^2 + 0.070 theta omega^2 + 2.195 omega^3,-0.361 1 + 0.011 theta + 3.091 omega + -0.086 theta omega + -7.668 omega^2 + 0.147 theta omega^2 + 4.972 omega^3,-3.6076821094e-01,1.1295150723e-02,3.0912519025e+00,-4.5676184079e-05,-8.5993838393e-02,-7.6677253395e+00,-1.8252185237e-07,2.9350810979e-04,1.4721688113e-01,4.9716007188e+00
60005,2025-03-21 02:40:00,0.129202,6.589703,4.660519,-0.014 1 + 0.001 theta + 1.105 omega + -0.005 theta omega + 0.242 omega^2 + 0.011 theta omega^2 + -1.793 omega^3,-0.029 1 + 0.001 theta + 0.217 omega + -0.011 theta omega + 0.446 omega^2 + 0.022 theta omega^2 + -3.495 omega^3,-2.9432816794e-02,1.2471654828e-03,2.1747616879e-01,-3.1793994906e-05,-1.0888067950e-02,4.4579897310e-01,5.6853064322e-07,5.6708556960e-05,2.1732072634e-02,-3.4951994670e+00
60006,2025-03-21 02:45:00,0.026229,1.615360,1.142382,0.105 1 + -0.005 theta + 0.286 omega + 0.025 theta omega + 1.366 omega^2 + -0.032 theta omega^2 + -0.594 omega^3,0.196 1 + -0.009 theta + -1.315 omega + 0.048 theta omega + 2.403 omega^2 + -0.060 theta omega^2 + -0.867 omega^3,1.9554779929e-01,-8.9043360369e-03,-1.3146612989e+00,1.0571306385e-04,4.7617865087e-02,2.4032223549e+00,-3.8162056743e-07,-2.9872707965e-04,-5.9721977042e-02,-8.6734773854e-01
60007,2025-03-21 02:50:00,0.080496,4.847924,3.428472,0.014 1 + 0.740 omega + 0.003 theta omega + 1.310 omega^2 + -0.018 theta omega^2 + -1.563 omega^3,0.027 1 + -0.001 theta + -0.511 omega + 0.005 theta omega + 2.574 omega^2 + -0.035 theta omega^2 + -3.042 omega^3,2.7026278448e-02,-7.7281138837e-04,-5.1125006000e-01,2.9449490136e-05,5.2435882550e-03,2.5737067832e+00,-5.2310904824e-07,8.8388705701e-05,-3.5104554549e-02,-3.0424077484e+00
60008,2025-03-21 02:55:00,0.039898,5.909898,4.179024,0.045 1 + -0.001 theta + 0.273 omega + 0.010 theta omega + 3.854 omega^2 + -0.028 theta omega^2 + -6.481 omega^3,0.086 1 + -0.002 theta + -1.419 omega + 0.020 theta omega + 7.602 omega^2 + -0.057 theta omega^2 + -12.862 omega^3,8.6078701955e-02,-2.1260632947e-03,-1.4187534263e+00,3.1597294233e-05,1.9880442710e-02,7.6017527532e+00,-2.9013317873e-07,-6.7864005173e-05,-5.7001945813e-02,-1.2862381457e+01
60009,2025-03-21 03:00:00,0.101952,5.806829,4.106681,-0.001 1 + -0.001 theta + 1.013 omega + 0.004 theta omega + 0.128 omega^2 + -0.002 theta^2 omega + 0.048 theta omega^2 + -0.878 omega^3,-0.003 1 + -0.002 theta + 0.029 omega + 0.008 theta omega + 0.277 omega^2 + -0.003 theta^2 omega + 0.102 theta omega^2 + -1.986 omega^3,-2.8513372969e-03,-2.4374175813e-03,2.9249334022e-02,3.8943191306e-04,7.8026211640e-03,2.7688376330e-01,2.9153592762e-06,-3.4287472916e-03,1.0215410620e-01,-1.9859927820e+00
