Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2,Coeff_Theta3,Coeff_Theta2Omega,Coeff_ThetaOmega2,Coeff_Omega3
0,2024-08-15 00:00:00,0.257352,31.795423,22.483496,1.001 omega + -0.023 omega^2 + -0.097 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-08-15 00:25:00,0.110707,15.555752,10.999856,1.000 omega + 0.067 omega^2 + -0.021 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-08-15 00:45:00,0.063373,7.984622,5.646158,1.012 omega + -0.017 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-08-15 00:50:00,0.048997,6.942464,4.909186,0.998 omega + 0.001 theta^2 omega,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-08-15 00:55:00,0.045599,3.743281,2.647095,1.004 omega + -0.046 omega^2,0.013 omega + -0.012 theta omega^2,0.0,0.0,0.012925725792,0.0,0.0,0.0,0.0,0.0,-0.01234276386,0.0
5,2024-08-15 01:00:00,0.155547,22.91694,16.205097,0.971 omega + -0.003 theta omega + 0.012 omega^2 + 1.095 omega^3,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-08-15 01:05:00,0.063596,7.618698,5.387421,1.005 omega + 0.018 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-08-15 01:10:00,0.07163,3.717044,2.628835,1.001 omega + -0.046 omega^2 + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-08-15 01:15:00,0.049233,7.844045,5.546687,-0.005 1 + 0.928 omega + -0.001 theta omega + -0.285 omega^2 + -0.006 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-08-15 01:20:00,0.058941,3.98007,2.814643,0.995 omega + -0.001 theta omega,-0.020 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019869873007,0.0
10,2024-08-15 01:25:00,0.065618,8.166598,5.774843,1.005 omega + -0.005 omega^2 + -0.003 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2024-08-15 01:30:00,0.153011,22.460258,15.882169,1.014 omega + 0.068 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2024-08-15 01:35:00,0.105002,16.736909,11.835015,0.996 omega + 0.017 omega^2 + 0.007 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2024-08-15 01:40:00,0.086386,8.608937,6.087744,1.009 omega + 0.045 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2024-08-15 01:45:00,0.097959,9.046991,6.397563,0.998 omega + -0.008 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2024-08-15 01:50:00,0.09365,9.346392,6.609229,1.002 omega + -0.001 theta omega,-0.025 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025315029855,0.0
16,2024-08-15 01:55:00,0.110084,17.7486,12.550397,1.006 omega + -0.038 omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2024-08-15 02:00:00,0.066659,7.25722,5.131846,1.002 omega + -0.042 omega^2 + -0.011 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2024-08-15 02:05:00,0.047794,1.600344,1.132119,1.003 omega + 0.018 omega^2 + -0.004 theta omega^2,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2024-08-15 02:10:00,0.069761,9.352918,6.613696,0.986 omega + -0.001 theta omega + -0.446 omega^2 + -0.061 theta omega^2,-0.013 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012874504851,0.0
20,2024-08-15 02:15:00,0.091258,11.305526,7.994475,1.019 omega + 0.002 theta omega + 0.025 omega^2 + -0.892 omega^3,-0.018 theta omega^2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018272185644,0.0
