Chunk_Index,Original_Chunk_Index,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega
0,0,0.030124,1.32025,0.933801,0.003 1 + 0.994 omega,0.005 1 + -0.012 omega,0.0052044268801,4.1972198936e-06,-0.011928541526
1,1,0.008206,0.600151,0.424411,-0.002 1 + 1.002 omega,-0.003 1 + 0.005 omega,-0.0033527393993,1.678480417e-05,0.0052584471188
2,2,0.033245,2.112949,1.494266,-0.001 1 + 0.999 omega,-0.002 1 + -0.001 omega,-0.0017965751699,3.9130874205e-05,-0.00090431824583
3,3,0.013156,0.989165,0.699507,-0.001 1 + 1.003 omega,-0.003 1 + 0.007 omega,-0.0027492653445,4.6569283833e-05,0.0073612056316
4,4,0.021423,0.631214,0.446593,0.001 1 + 0.988 omega,0.002 1 + -0.023 omega,0.0022802848529,-0.00027966392424,-0.022544711609
5,5,0.165971,17.327331,12.252835,1.009 omega,0.019 omega,0.0001368173157,-0.00018513617019,0.019205137103
6,6,0.054148,5.726481,4.049414,1.001 omega,0.003 omega,7.326920318e-05,-2.3904173493e-05,0.0031292618802
7,7,0.033013,0.993361,0.7028,0.001 1 + 0.999 omega,0.002 1 + -0.002 omega,0.0021333859562,-0.00033297958355,-0.0019668269112
8,8,0.038391,1.55751,1.10166,1.002 omega,0.001 1 + 0.004 omega,0.00085974821523,-0.00023141832491,0.0036203980524
9,9,0.048295,1.678976,1.187706,-0.001 1 + 0.996 omega,-0.003 1 + -0.007 omega,-0.0026561465178,-0.00027300425182,-0.006712076321
10,10,0.027431,1.072013,0.758276,0.998 omega,-0.001 1 + -0.003 omega,-0.00072434783926,-0.0001421870103,-0.0030307560311
11,11,0.030338,1.523218,1.077292,1.000 omega,0.000,0.0004774841646,-0.00013660226457,-0.00015183990743
12,12,0.00799,0.263114,0.186135,-0.001 1 + 0.997 omega,-0.001 1 + -0.006 omega,-0.0011811948144,-4.3417856301e-05,-0.0055705526779
13,13,0.03523,1.724872,1.219923,1.003 omega,0.006 omega,0.00030788480281,-0.00016431252421,0.0055342288092
14,14,0.020788,2.144875,1.516727,0.992 omega,-0.015 omega,-3.9027264578e-05,0.00012412215971,-0.014895789597
15,15,0.226614,9.89332,6.997469,1.004 omega,0.001 1 + 0.008 omega,0.0007149503734,-0.00019627784817,0.0078802590189
16,16,0.01831,0.554737,0.392472,-0.001 1 + 0.996 omega,-0.002 1 + -0.001 theta + -0.007 omega,-0.0020174694202,-0.00050613737053,-0.0070562084604
17,17,0.034712,1.597188,1.129649,1.001 omega,-0.001 1 + 0.003 omega,-0.00081673735752,-0.00012189334388,0.0028446085492
18,18,0.012872,0.44427,0.314278,0.001 1 + 0.997 omega,0.001 1 + -0.006 omega,0.0011113876561,-0.00018695803844,-0.0056339639453
19,19,0.014182,0.427461,0.302427,0.001 1 + 0.998 omega,0.001 1 + -0.004 omega,0.0014069864683,-0.00010464131982,-0.0042835683058
20,20,0.017728,0.52654,0.372531,-0.001 1 + 1.001 omega,-0.001 1 + 0.003 omega,-0.0010674016671,-0.00016157987967,0.0025001584148
21,21,0.042753,1.631794,1.154248,-0.001 1 + 0.995 omega,-0.002 1 + -0.009 omega,-0.0017646182383,-0.00034896371059,-0.0092913907717
22,22,0.045213,2.432591,1.720399,-0.001 1 + 1.001 omega,-0.001 1 + 0.002 omega,-0.0010800785286,-0.00014135053377,0.0021898781455
23,23,0.044346,2.681878,1.896633,1.003 omega,0.007 omega,-0.00049859670842,-0.00039322763901,0.0065660301787
24,24,0.026234,1.395519,0.986955,0.001 1 + 0.996 omega,0.001 1 + -0.008 omega,0.0014438604442,-0.00014617056954,-0.0079583289184
25,25,0.038275,1.506056,1.065286,0.001 1 + 0.997 omega,0.001 1 + -0.004 omega,0.001026179154,-0.00024082325993,-0.0039669208998
26,26,0.010257,0.333227,0.235739,-0.001 1 + 0.995 omega,-0.001 1 + -0.010 omega,-0.0011963954378,-9.6581063885e-05,-0.0095984478964
27,27,0.035315,1.350533,0.955297,0.001 1 + 0.997 omega,0.001 1 + -0.004 omega,0.0012990388784,-0.00026702853045,-0.0043564288991
28,28,0.046575,2.040647,1.443331,-0.001 1 + 0.998 omega,-0.001 1 + -0.003 omega,-0.0014617159858,-0.00016492173836,-0.0034158454582
29,29,0.038602,1.85914,1.314893,0.999 omega,-0.001 1,-0.00062606918562,-0.0002940869799,-0.00046620110056
30,30,0.008407,0.338715,0.239581,0.998 omega,0.001 1 + -0.004 omega,0.00086889141348,1.7733408741e-05,-0.0041299764433
31,31,0.034787,0.947765,0.670623,0.001 1 + 0.999 omega,0.001 1 + -0.003 omega,0.0011277475744,-0.00017413483924,-0.0026115068669
32,32,0.011322,0.221915,0.157122,-0.001 1 + 0.996 omega,-0.001 1 + -0.007 omega,-0.0014276378028,-5.7551074388e-05,-0.0068507662466
33,33,0.020296,0.941413,0.665834,-0.001 1 + 1.000 omega,-0.002 1 + 0.001 omega,-0.001565363427,-0.00011128682586,0.0011454115486
34,34,0.079262,4.411843,3.120148,1.001 omega,0.001 1 + 0.003 omega,0.00063859483511,-0.00015549570125,0.0033475305759
35,35,0.035977,1.095072,0.774751,0.001 1 + 0.996 omega,0.003 1 + -0.001 theta + -0.007 omega,0.0027802950743,-0.00088413967189,-0.0067517167414
36,36,0.01897,0.548577,0.388134,1.000 omega,0.001 1,0.0006729880385,-3.2540531296e-05,-0.00026004492328
37,37,0.029667,1.139243,0.80584,0.001 1 + 0.995 omega,0.001 1 + -0.010 omega,0.0014442316485,-0.00045442902207,-0.010336943314
38,38,0.018768,0.529251,0.374472,1.002 omega,0.003 omega,-0.00041851562068,-0.00030094071534,0.0033952309983
39,39,0.015967,0.55528,0.392805,0.997 omega,-0.001 1 + -0.005 omega,-0.00083429433865,-0.00011082914704,-0.0047653768483
40,40,0.020412,0.721046,0.510061,0.001 1 + 0.998 omega,0.002 1 + -0.004 omega,0.0024105373575,-0.00017693388821,-0.0036341750279
41,41,0.020305,1.895185,1.340175,1.000 omega,0.002 omega,-5.814732494e-06,-1.5679139126e-05,0.0016233268139
42,42,0.02059,0.844008,0.596981,1.001 omega,-0.001 theta + 0.003 omega,-3.4634409608e-05,-0.00067873146459,0.0033691694365
43,43,0.022742,0.693489,0.490634,-0.002 1 + 0.997 omega,-0.003 1 + -0.001 theta + -0.006 omega,-0.0031421117419,-0.00050533696221,-0.0061456288471
44,44,0.022675,0.81281,0.574967,0.001 1 + 1.000 omega,0.001 1,0.0010348488116,-7.451858233e-05,-0.00014008345349
45,45,0.022585,0.690396,0.488445,-0.001 1 + 0.999 omega,-0.001 1 + -0.002 omega,-0.00099699088042,-0.00019100470552,-0.0016791543759
46,46,0.088511,4.573703,3.234702,1.006 omega,0.012 omega,7.1342867007e-05,-0.00037393222618,0.011877754866
47,47,0.079108,3.112699,2.201721,1.006 omega,0.013 omega,-0.00017972443422,-0.00022056460899,0.013302375312
48,48,0.016851,0.597741,0.422835,-0.001 1 + 0.998 omega,-0.001 1 + -0.005 omega,-0.0010714113262,-0.00020005062572,-0.0047175883866
49,49,0.018545,0.736043,0.520626,0.002 1 + 0.992 omega,0.004 1 + -0.014 omega,0.0037367860751,-9.9682054679e-05,-0.01445320353
50,50,0.028261,1.788945,1.265133,1.005 omega,0.010 omega,0.00034194494857,-0.00024864401754,0.010030004343
51,51,0.025878,0.883943,0.62531,-0.001 1 + 0.999 omega,-0.001 1 + -0.001 omega,-0.0012406532569,-6.941854278e-05,-0.0012882956981
52,52,0.068578,7.985789,5.647014,1.002 omega,0.005 omega,-3.5122547858e-05,4.4265280462e-06,0.0045989387924
53,53,0.051625,5.425337,3.836466,0.998 omega,-0.004 omega,4.332145569e-05,-5.3370696767e-06,-0.0038547925759
54,54,0.032883,1.34776,0.953294,1.001 omega,-0.001 1 + -0.001 theta + 0.002 omega,-0.00068096991535,-0.00060631742685,0.0021063228912
55,55,0.043989,2.477938,1.752443,1.002 omega,0.004 omega,0.00040778654295,-9.7006045359e-05,0.0039416458323
56,56,0.083118,3.76662,2.664051,1.003 omega,-0.001 1 + 0.006 omega,-0.00060955570803,-0.00019338159547,0.0061119861431
57,57,0.068365,3.141173,2.221671,1.005 omega,0.010 omega,0.00023267323465,-0.00018050687359,0.010341397578
58,58,0.022715,0.976708,0.690824,1.003 omega,0.007 omega,0.00030927916873,-0.00017370531796,0.0070104495092
59,59,0.054323,5.267697,3.725022,1.000 omega,0.001 omega,-2.2318257954e-05,-2.0507456052e-06,0.0005660820056
60,60,0.016613,0.496087,0.350983,0.997 omega,-0.005 omega,-0.00031877314826,-0.00033711003487,-0.0048887212576
61,61,0.042077,3.222935,2.279154,1.000 omega,-0.001 1,-0.00087928063311,-0.00013497605077,-0.00031536678709
62,62,0.026106,1.128188,0.797963,-0.001 1 + 0.992 omega,-0.001 1 + -0.014 omega,-0.0013490857159,-0.0003124171424,-0.013921653666
63,63,0.017258,0.682759,0.482938,1.001 omega,0.002 omega,-0.00044628009281,-0.00010138207874,0.0024290773437
64,64,0.019566,1.032462,0.730192,1.001 omega,-0.001 1 + 0.003 omega,-0.00089703035256,-0.00025303026991,0.0032042659828
65,65,0.083102,4.871522,3.445188,1.002 omega,0.005 omega,0.00026154184176,-0.00021776948625,0.0051513629964
