Chunk_Index,Original_Chunk_Index,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega
97890,97890,0.012486,0.599481,0.423989,1.000 omega,0.002 omega,-2.0948316105e-04,-1.9079964939e-05,1.6245924406e-03
97891,97891,0.045211,2.769320,1.958466,1.001 omega,0.001 1 + 0.002 omega,5.0012441425e-04,-2.3935287474e-04,2.0239241955e-03
97892,97892,0.009369,0.269386,0.190600,1.000 omega,-0.001 1 + 0.001 omega,-6.5142873845e-04,-2.9274046698e-05,1.1305238463e-03
97893,97893,0.021403,0.680618,0.481508,-0.001 1 + 0.996 omega,-0.002 1 + -0.007 omega,-1.6838666535e-03,-9.7161254295e-05,-6.7549987563e-03
97894,97894,0.042829,4.999939,3.535620,1.006 omega,0.013 omega,2.2258369771e-04,-1.2506099972e-04,1.3476797812e-02
97895,97895,0.033606,1.290461,0.912803,0.001 1 + 0.997 omega,0.001 1 + -0.005 omega,1.2176723261e-03,-8.6844582740e-05,-4.5367346310e-03
97896,97896,0.040761,1.372159,0.970691,0.001 1 + 0.997 omega,0.002 1 + -0.005 omega,2.2361054900e-03,-2.9909960796e-04,-5.2252009400e-03
97897,97897,0.045364,2.923398,2.067403,0.997 omega,-0.005 omega,3.7593584116e-04,-3.3972147944e-05,-5.4036904527e-03
97898,97898,0.052948,3.194204,2.258954,1.003 omega,0.007 omega,-7.5964420610e-05,-9.3168602179e-05,6.6759974064e-03
97899,97899,0.027116,3.806477,2.691654,1.004 omega,0.008 omega,-1.6430436897e-04,-5.9154807195e-05,8.4469385731e-03
97900,97900,0.028233,1.242223,0.878611,0.995 omega,-0.001 1 + -0.010 omega,-6.8495302601e-04,-1.9268287834e-04,-9.7877256033e-03
97901,97901,0.018385,0.676885,0.478807,-0.001 1 + 1.000 omega,-0.001 1,-1.3496805676e-03,-1.7700785430e-04,2.2508398247e-05
97902,97902,0.018100,0.811975,0.574296,0.996 omega,0.001 1 + -0.007 omega,9.3866132002e-04,-1.3961803984e-04,-6.9468081631e-03
97903,97903,0.021834,0.634354,0.448821,0.001 1 + 0.996 omega,0.003 1 + -0.008 omega,2.8459307053e-03,-4.4009038760e-04,-8.1370098895e-03
97904,97904,0.048714,1.696733,1.200266,1.005 omega,-0.001 theta + 0.011 omega,1.4124683430e-04,-6.5489430572e-04,1.0645441066e-02
97905,97905,0.027133,1.558079,1.101895,0.999 omega,-0.002 omega,-1.7758375028e-04,4.9625686926e-06,-1.6315315947e-03
97906,97906,0.030147,1.049062,0.742105,0.001 1 + -0.001 theta + 0.994 omega,0.002 1 + -0.001 theta + -0.012 omega,1.9137753572e-03,-1.0193794283e-03,-1.2191752267e-02
97907,97907,0.021537,0.670429,0.474309,-0.001 1 + 0.998 omega,-0.001 1 + -0.004 omega,-1.0723612406e-03,-2.1298114521e-04,-4.4543905956e-03
97908,97908,0.029118,1.280401,0.905614,1.001 omega,-0.001 1 + 0.002 omega,-8.4774410659e-04,-1.2010568804e-04,2.4077623896e-03
97909,97909,0.020803,0.811826,0.574236,0.001 1 + 1.001 omega,0.001 1 + 0.002 omega,1.3321987559e-03,-9.3482033674e-05,2.2644344250e-03
97910,97910,0.012494,0.476473,0.337033,1.001 omega,-0.001 1 + 0.002 omega,-9.0444934753e-04,-1.0288790962e-04,1.8015580622e-03
97911,97911,0.035719,1.340640,0.948312,-0.001 1 + 0.994 omega,-0.001 1 + -0.012 omega,-1.4128957040e-03,-2.7667950814e-04,-1.1668929769e-02
97912,97912,0.074155,4.587049,3.243957,1.005 omega,0.010 omega,-2.4571634361e-04,-2.5082892477e-04,9.5175202504e-03
97913,97913,0.008870,0.237899,0.168337,0.001 1 + 0.995 omega,0.002 1 + -0.010 omega,1.5980764159e-03,-1.8533133437e-04,-1.0468298843e-02
97914,97914,0.176752,11.727118,8.293266,1.002 omega,0.001 1 + 0.004 omega,7.6944322458e-04,1.8340630715e-04,3.8549999463e-03
97915,97915,0.060176,4.159701,2.941661,0.998 omega,-0.004 omega,-4.8866979858e-04,-6.9476171511e-05,-3.8075363330e-03
97916,97916,0.022139,0.888995,0.628809,0.994 omega,0.001 1 + -0.011 omega,9.4264973607e-04,-1.0305299877e-04,-1.0567410475e-02
97917,97917,0.023590,0.862861,0.610363,0.001 1 + 0.999 omega,0.001 1 + -0.001 omega,1.0049409010e-03,-7.3970201822e-05,-7.7491309523e-04
97918,97918,0.015786,0.345109,0.244284,0.001 1 + -0.001 theta + 0.994 omega,0.002 1 + -0.001 theta + -0.012 omega,1.8560095964e-03,-1.2777742528e-03,-1.1521646171e-02
97919,97919,0.049774,2.550398,1.803747,-0.002 1 + 0.994 omega,-0.003 1 + -0.012 omega,-3.2387708092e-03,-1.8093074808e-04,-1.1565931034e-02
97920,97920,0.038930,1.659816,1.173990,0.005 1 + 0.997 omega,0.009 1 + -0.006 omega,9.0475422725e-03,-1.4316192406e-05,-6.2180720064e-03
97921,97921,0.027871,1.152342,0.815067,0.005 1 + 0.996 omega,0.009 1 + -0.009 omega,9.4605286923e-03,-2.2491351314e-05,-8.6797654882e-03
97922,97922,0.026368,0.825552,0.584051,0.001 1 + 0.998 omega,0.001 1 + -0.003 omega,1.0185801985e-03,-8.5769593116e-06,-3.0113122403e-03
97923,97923,0.033846,1.939996,1.371993,-0.001 1 + 1.001 omega,-0.001 1 + 0.003 omega,-1.2957250687e-03,1.3346393412e-05,3.3671404074e-03
97924,97924,0.037361,2.702965,1.911467,1.000 omega,-0.001 1 + 0.001 omega,-8.8410211394e-04,3.6547717346e-07,7.1671253626e-04
97925,97925,0.021639,0.870488,0.615718,1.003 omega,0.007 omega,3.1838695180e-04,-2.3006710041e-05,7.0262608592e-03
97926,97926,0.014245,0.629902,0.445522,0.002 1 + 0.992 omega,0.003 1 + -0.016 omega,2.8839953815e-03,-9.1603176618e-05,-1.5780387062e-02
97927,97927,0.025395,1.224582,0.866096,1.004 omega,0.009 omega,-4.4337964545e-04,-1.7528110778e-04,9.0819293773e-03
97928,97928,0.062660,3.432865,2.427806,1.006 omega,0.012 omega,1.3953462321e-04,-1.9937131132e-04,1.2064894110e-02
97929,97929,0.091873,9.081993,6.422268,0.001 1 + 1.000 omega,0.002 1,2.1162833496e-03,1.2031549294e-04,-2.0508319129e-04
97930,97930,0.021939,1.126081,0.796411,1.002 omega,0.005 omega,4.2478544557e-04,-4.7749611840e-05,4.5028451479e-03
97931,97931,0.020935,0.637526,0.451042,0.999 omega,0.001 1 + -0.002 omega,8.7813597354e-04,-3.4615691797e-05,-1.7624966368e-03
97932,97932,0.022487,0.918351,0.649567,1.000 omega,0.000,-4.2709260117e-04,-1.5017801335e-04,-2.5982560068e-04
97933,97933,0.028765,1.527183,1.080073,-0.001 1 + 0.995 omega,-0.002 1 + -0.001 theta + -0.010 omega,-2.0977069226e-03,-5.2525633867e-04,-9.8480231494e-03
97934,97934,0.044035,1.782917,1.261097,1.003 omega,0.001 1 + 0.007 omega,5.1837893574e-04,-3.7886135787e-04,6.6931836869e-03
97935,97935,0.041689,1.699199,1.201877,0.001 1 + 0.996 omega,0.003 1 + -0.008 omega,2.6627261698e-03,-3.2111248113e-04,-8.2210554430e-03
97936,97936,0.040431,1.918430,1.356836,1.001 omega,-0.001 1 + 0.002 omega,-9.7102106255e-04,-3.6415804308e-04,1.8956361265e-03
97937,97937,0.102648,5.333841,3.772294,1.001 omega,0.001 1 + 0.003 omega,7.7777350842e-04,-4.7905260044e-04,3.3584600942e-03
97938,97938,0.014637,0.318127,0.225188,-0.002 1 + 0.996 omega,-0.003 1 + -0.009 omega,-3.2265056493e-03,-1.9256038578e-04,-8.5099379418e-03
97939,97939,0.017572,0.530916,0.375620,0.001 1 + 0.998 omega,0.001 1 + -0.003 omega,1.3405748993e-03,-7.3248628519e-05,-2.6490430339e-03
97940,97940,0.159521,7.151518,5.058145,1.006 omega,0.001 1 + 0.013 omega,5.1930886916e-04,-2.0836025051e-04,1.2794110434e-02
97941,97941,0.045470,2.172516,1.536537,0.999 omega,-0.001 1 + -0.001 omega,-9.8101695933e-04,-1.9151370573e-04,-9.6661255698e-04
97942,97942,0.049262,1.679788,1.188300,1.005 omega,0.010 omega,-2.6114445494e-04,-4.6948327951e-04,1.0119899873e-02
97943,97943,0.022437,0.608387,0.430487,0.001 1 + 0.997 omega,0.001 1 + -0.006 omega,1.2177319078e-03,-3.4652873264e-04,-6.1104042415e-03
97944,97944,0.027754,1.327285,0.938737,0.001 1 + 1.001 omega,0.001 1 + 0.002 omega,1.4297463598e-03,-2.1548236776e-04,1.8322838789e-03
97945,97945,0.044560,3.959068,2.799661,0.999 omega,-0.002 omega,-1.6674719972e-04,-1.3704718711e-05,-2.3074077243e-03
97946,97946,0.028945,1.165035,0.824058,-0.001 1 + 0.998 omega,-0.001 1 + -0.003 omega,-1.0958519521e-03,-1.0190888809e-04,-2.7129280909e-03
97947,97947,0.020731,0.562655,0.398127,-0.001 1 + 0.998 omega,-0.001 1 + -0.004 omega,-9.9298901577e-04,-2.7771508986e-04,-4.4178698880e-03
97948,97948,0.017561,0.604732,0.427790,-0.001 1 + 0.995 omega,-0.001 1 + -0.009 omega,-1.2105156071e-03,-4.4306455380e-04,-8.6797605631e-03
97949,97949,0.022711,0.859268,0.607807,0.999 omega,-0.001 1 + -0.001 omega,-5.3000622601e-04,-4.4737666859e-04,-1.4101777636e-03
97950,97950,0.023596,0.933496,0.660292,1.004 omega,0.009 omega,3.9663119386e-04,-3.2497277059e-04,8.5122911585e-03
97951,97951,0.027909,0.984944,0.696740,0.999 omega,-0.002 omega,2.0173687036e-04,-4.4123091506e-04,-2.0089354955e-03
97952,97952,0.034039,4.886357,3.455260,1.002 omega,0.005 omega,2.4295024157e-04,1.1981262381e-05,5.4139019496e-03
97953,97953,0.014253,0.900521,0.636844,1.002 omega,0.005 omega,3.8239352422e-05,-4.8965364955e-05,4.5093278618e-03
97954,97954,0.023526,0.791157,0.559679,-0.001 1 + 0.998 omega,-0.002 1 + -0.003 omega,-2.0240985399e-03,-2.2344390336e-04,-3.3209431806e-03
97955,97955,0.028192,2.093024,1.480126,1.001 omega,-0.001 1 + 0.002 omega,-5.2149077030e-04,3.8887535463e-05,2.2051438312e-03
97956,97956,0.014564,0.374530,0.265033,0.001 1 + 0.995 omega,0.001 1 + -0.001 theta + -0.009 omega,1.4355435843e-03,-5.2075677369e-04,-9.4368971117e-03
97957,97957,0.047907,1.669226,1.180807,-0.001 theta + 1.003 omega,0.001 1 + -0.001 theta + 0.006 omega,6.2829139777e-04,-1.0819885030e-03,5.8775641818e-03
97958,97958,0.031805,1.862402,1.317109,0.998 omega,-0.001 1 + -0.003 omega,-9.0125890699e-04,-7.0086914737e-05,-3.4974569803e-03
