Chunk_Index,Original_Chunk_Index,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega
1100,1100,0.088652,27.479904,19.431327,1.000 omega,0.000,-2.4338117571e-04,-1.0278681955e-05,-3.7773098451e-04
1101,1101,0.101420,25.720887,18.187555,1.000 omega,0.001 omega,5.6105058098e-05,-1.8956323496e-05,5.9655393775e-04
1102,1102,0.106431,13.491214,9.540026,0.001 1 + 0.999 omega,0.002 1 + -0.001 omega,1.5800772272e-03,-5.6885313168e-05,-8.9239808539e-04
1103,1103,0.101774,19.196449,13.574130,1.000 omega,0.001 1,6.8759632164e-04,-2.8919106295e-05,-8.4261196252e-05
1104,1104,0.061221,9.982835,7.059063,0.004 1 + 0.997 omega,0.008 1 + -0.006 omega,7.6999499271e-03,-1.0135254311e-05,-5.9078054320e-03
1105,1105,0.066843,9.558018,6.758704,1.000 omega,0.000,-5.3668014758e-05,-4.7818356034e-05,1.8790107297e-04
1106,1106,0.059425,24.684684,17.454758,1.000 omega,0.000,-4.6129556832e-05,-6.2691734624e-06,1.4704417923e-04
1107,1107,0.153345,30.202466,21.356644,1.000 omega,0.000,-4.1971908893e-04,-2.7207718068e-05,1.7815375122e-04
1108,1108,0.207678,35.320190,24.975577,1.000 omega,0.001 1 + 0.001 omega,6.3820214514e-04,-3.7182038962e-05,5.1853555256e-04
1109,1109,0.085034,21.553092,15.240456,0.999 omega,-0.001 omega,3.7682575303e-04,-1.3632372761e-05,-8.2816798969e-04
1110,1110,0.060589,9.806406,6.934309,-0.004 1 + 0.997 omega,-0.008 1 + -0.006 omega,-7.5839829036e-03,-9.4342549026e-06,-5.7274077981e-03
1111,1111,0.086814,15.607991,11.036687,1.000 omega,0.000,2.9598942704e-04,-3.0444655858e-05,2.5090951296e-05
1112,1112,0.082542,16.380557,11.582950,1.000 omega,0.000,3.1177682716e-04,-2.0935142993e-05,1.2225242486e-04
1113,1113,0.101104,24.803225,17.538674,1.000 omega,0.000,-2.8041494864e-04,-1.8330567773e-05,-6.0685638975e-05
1114,1114,0.153316,22.602005,15.982399,1.000 omega,0.001 omega,2.8880206199e-04,-4.4192352097e-05,9.5419001818e-04
1115,1115,0.079442,16.039132,11.341518,1.000 omega,-0.001 omega,-1.1649540415e-04,-2.1233029014e-05,-6.3009494367e-04
1116,1116,0.080250,24.432574,17.276532,0.004 1 + 0.997 omega,0.007 1 + -0.006 omega,7.3495808767e-03,-9.1440405031e-06,-5.5879925564e-03
1117,1117,0.068008,23.004870,16.266971,1.000 omega,-0.001 omega,-2.4170672525e-04,-8.5971696497e-06,-5.9346589312e-04
1118,1118,0.060465,11.246911,7.952882,1.000 omega,0.000,2.9353051286e-04,-2.8690748186e-05,-6.0182769430e-05
1119,1119,0.075848,19.688792,13.922182,1.000 omega,0.000,-1.0103861356e-05,-1.4496220996e-05,-1.9038124542e-05
1120,1120,0.105540,24.719516,17.479497,1.000 omega,0.000,4.0969880243e-04,-1.6602133782e-05,-1.2680275274e-04
1121,1121,0.059891,10.124637,7.159324,1.000 omega,0.000,7.8285051378e-05,-3.4524003297e-05,-3.2620399807e-06
1122,1122,0.082753,18.436063,13.036397,-0.005 1 + 0.997 omega,-0.009 1 + -0.007 omega,-9.4082391252e-03,-1.2815277536e-05,-6.9237730272e-03
