Combo_Index,Sigma,Degree,Threshold,Mean_RMSE_Omega,Median_RMSE_Omega,Std_RMSE_Omega,Mean_RMSE_Theta,Mean_RMSE_Total,Num_Success,Num_Total,Task_ID
0,0,1,1e-10,0.071556,0.048427,0.143226,3.568298,2.523764,107142,107240,0
1,0,1,1e-05,0.071789,0.048441,0.149659,3.585763,2.536115,107143,107240,1
2,0,1,0.001,0.103723,0.071368,0.209106,9.989509,7.064099,107055,107240,2
3,0,1,0.01,0.106348,0.081324,0.147796,11.936426,8.440722,107183,107240,3
4,0,1,0.1,0.102682,0.081779,0.096667,11.997354,8.483772,107240,107240,4
5,0,2,1e-10,0.136028,0.046997,0.579442,4.231649,2.995831,90161,107240,5
6,0,2,1e-05,0.080038,0.047972,0.301472,3.785705,2.67814,97218,107240,6
7,0,2,0.001,0.077677,0.068492,0.050753,8.066244,5.70402,104682,107240,7
8,0,2,0.01,0.097663,0.079998,0.093465,9.815442,6.941101,106884,107240,8
9,0,2,0.1,0.102682,0.081779,0.096667,11.107375,7.854661,107240,107240,9
10,0,3,1e-10,0.073018,0.049254,0.09259,5.142265,3.636919,87297,107240,10
11,0,3,1e-05,0.071031,0.049655,0.122822,62246235122556551168.000000,44014734958491992064.000000,94064,107240,11
12,0,3,0.001,0.087689,0.077816,0.104316,33.570762,23.738453,106866,107240,12
13,0,3,0.01,0.100793,0.081513,0.090289,11.061763,7.822403,107206,107240,13
14,0,3,0.1,0.102682,0.081779,0.096667,11.434018,8.085632,107240,107240,14
15,5,1,1e-10,0.05633,0.040189,0.08862,2.907719,2.056518,107212,107240,15
16,5,1,1e-05,0.056366,0.04021,0.088846,2.912863,2.060156,107212,107240,16
17,5,1,0.001,0.085762,0.066559,0.104773,8.758371,6.193458,107223,107240,17
18,5,1,0.01,0.100547,0.077891,0.113222,11.527343,8.151422,107232,107240,18
19,5,1,0.1,0.098323,0.078173,0.093093,11.543066,8.162522,107240,107240,19
20,5,2,1e-10,0.071102,0.03658,0.221651,3.428948,2.425324,88036,107240,20
21,5,2,1e-05,0.073216,0.036856,0.271021,3.327879,2.353978,89074,107240,21
22,5,2,0.001,0.097981,0.058857,0.269404,2684465457.069895,1898203728.555914,92844,107240,22
23,5,2,0.01,0.096074,0.077696,0.092972,8201.578501,5799.392119,106778,107240,23
24,5,2,0.1,0.098323,0.078173,0.093093,11.594306,8.198754,107240,107240,24
25,5,3,1e-10,0.104524,0.046858,0.283261,4.647947,3.289013,80777,107240,25
26,5,3,1e-05,0.088777,0.043262,0.240323,3343.215845,2364.012505,84790,107240,26
27,5,3,0.001,0.099623,0.057576,0.239551,699266207549870.9,494455877213113.6,101028,107240,27
28,5,3,0.01,0.09409,0.074628,0.113168,34477400399.315155,24379203620.04025,106807,107240,28
29,5,3,0.1,0.098321,0.078168,0.093094,65326686.699765,46192943.158191,107240,107240,29
30,10,1,1e-10,0.046898,0.033353,0.068743,2.517823,1.780731,107229,107240,30
31,10,1,1e-05,0.046951,0.033379,0.069037,2.524445,1.785413,107229,107240,31
32,10,1,0.001,0.079922,0.062875,0.081384,8.375015,5.922344,107235,107240,32
33,10,1,0.01,0.095604,0.074488,0.099401,11.044112,7.809702,107238,107240,33
34,10,1,0.1,0.093947,0.074694,0.089155,11.005602,7.78246,107240,107240,34
35,10,2,1e-10,0.062482,0.028616,0.211474,3.351906,2.370706,86069,107240,35
36,10,2,1e-05,0.06446,0.028721,0.282079,3.160739,2.235691,87702,107240,36
37,10,2,0.001,0.09108,0.054958,0.238979,3006758093.821437,2126099037.529343,92833,107240,37
38,10,2,0.01,0.08992,0.074167,0.0773,4881.664519,3451.858404,106849,107240,38
39,10,2,0.1,0.093947,0.074694,0.089155,11.146522,7.882105,107240,107240,39
40,10,3,1e-10,0.121478,0.040388,0.421226,5.210622,3.68774,76687,107240,40
41,10,3,1e-05,0.086675,0.035603,0.300774,17356.710518,12273.049852,82420,107240,41
42,10,3,0.001,0.095385,0.05349,0.252317,1.6925665104070385e+18,1.1968252571180682e+18,100410,107240,42
43,10,3,0.01,0.090548,0.072439,0.088992,18981167072234.004,13421711951611.467,106937,107240,43
44,10,3,0.1,0.093946,0.074692,0.089156,127501681.067103,90157303.295546,107240,107240,44
