Combo_Index,Sigma,Degree,Threshold,Mean_RMSE_Omega,Median_RMSE_Omega,Std_RMSE_Omega,Mean_RMSE_Theta,Mean_RMSE_Total,Num_Success,Num_Total,Task_ID
0,0,1,1e-10,0.109874,0.10032,0.055915,22.607803,15.986333,8936,8936,0
1,0,1,1e-05,0.111354,0.100207,0.059653,27.882253,19.71593,8936,8936,1
2,0,1,0.001,0.15753,0.107269,0.148071,225.857618,159.705505,8933,8936,2
3,0,1,0.01,0.154998,0.107297,0.107517,224.89018,159.021421,8936,8936,3
4,0,1,0.1,0.154998,0.107297,0.107517,224.89018,159.021421,8936,8936,4
5,0,2,1e-10,0.11817,0.100767,0.270516,26.461051,18.711,8191,8936,5
6,0,2,1e-05,0.111511,0.099082,0.16343,32.87183,23.244082,8385,8936,6
7,0,2,0.001,0.151879,0.104667,0.112202,216.062089,152.779019,8859,8936,7
8,0,2,0.01,0.154733,0.107114,0.10749,224.240286,158.561877,8935,8936,8
9,0,2,0.1,0.154998,0.107297,0.107517,224.011195,158.399888,8936,8936,9
10,0,3,1e-10,0.161233,0.101672,0.481659,37.59556,26.584698,8230,8936,10
11,0,3,1e-05,0.149796,0.102969,0.396566,64.746879,45.78349,8046,8936,11
12,0,3,0.001,0.150707,0.105006,0.10755,219.114554,154.937437,8832,8936,12
13,0,3,0.01,0.154897,0.107237,0.107496,143.778378,101.666837,8933,8936,13
14,0,3,0.1,0.154998,0.107297,0.107517,130.324399,92.153462,8936,8936,14
15,5,1,1e-10,0.10682,0.097584,0.053889,22.653519,16.018647,8936,8936,15
16,5,1,1e-05,0.11013,0.097758,0.061889,32.269309,22.818034,8936,8936,16
17,5,1,0.001,0.153843,0.105304,0.150579,213.031116,150.635798,8936,8936,17
18,5,1,0.01,0.149736,0.105282,0.100871,210.857577,149.098872,8936,8936,18
19,5,1,0.1,0.149736,0.105282,0.100871,210.857577,149.098872,8936,8936,19
20,5,2,1e-10,0.115756,0.098097,0.270452,27.851177,19.693952,8171,8936,20
21,5,2,1e-05,0.106387,0.095558,0.058603,31.052527,21.957628,8219,8936,21
22,5,2,0.001,0.144763,0.101609,0.103135,197.902029,139.937916,8868,8936,22
23,5,2,0.01,0.149525,0.105085,0.100847,210.302048,148.706054,8934,8936,23
24,5,2,0.1,0.149736,0.105282,0.100871,210.857577,149.098872,8936,8936,24
25,5,3,1e-10,0.211409,0.097434,0.8272,33.504445,23.692872,8084,8936,25
26,5,3,1e-05,0.185656,0.093918,0.691846,184141.897462,130207.985273,8183,8936,26
27,5,3,0.001,0.140247,0.095716,0.104031,181.804764,128.555434,8847,8936,27
28,5,3,0.01,0.14952,0.105085,0.100844,210.341927,148.734253,8934,8936,28
29,5,3,0.1,0.149736,0.105282,0.100871,210.857577,149.098872,8936,8936,29
30,10,1,1e-10,0.104128,0.095295,0.052533,22.745486,16.083668,8936,8936,30
31,10,1,1e-05,0.110863,0.095953,0.088161,38.986995,27.568145,8936,8936,31
32,10,1,0.001,0.149643,0.102982,0.148801,198.501613,140.361888,8936,8936,32
33,10,1,0.01,0.144835,0.102952,0.095082,195.833718,138.475399,8936,8936,33
34,10,1,0.1,0.144835,0.102952,0.095082,195.833718,138.475399,8936,8936,34
35,10,2,1e-10,0.109003,0.095583,0.131963,27.219144,19.24702,8125,8936,35
36,10,2,1e-05,0.106203,0.093636,0.069494,36.113454,25.536234,8145,8936,36
37,10,2,0.001,0.139628,0.099297,0.096433,182.436527,129.002154,8854,8936,37
38,10,2,0.01,0.144547,0.102749,0.095043,195.142039,137.986308,8933,8936,38
39,10,2,0.1,0.144835,0.102952,0.095082,195.833718,138.475399,8936,8936,39
40,10,3,1e-10,0.253315,0.094965,1.169447,36.208565,25.605188,7937,8936,40
41,10,3,1e-05,0.200588,0.09203,0.805054,224514.416268,158755.667253,8120,8936,41
42,10,3,0.001,0.134986,0.09325,0.09742,166.321286,117.606961,8838,8936,42
43,10,3,0.01,0.144573,0.102753,0.09503,195.208354,138.0332,8935,8936,43
44,10,3,0.1,0.144835,0.102952,0.095082,195.833718,138.475399,8936,8936,44
45,15,1,1e-10,0.101723,0.092908,0.054043,22.839703,16.150279,8936,8936,45
46,15,1,1e-05,0.113263,0.094347,0.095937,48.988131,34.640005,8936,8936,46
47,15,1,0.001,0.146277,0.100717,0.156089,185.346186,131.059597,8936,8936,47
48,15,1,0.01,0.140826,0.100717,0.091076,182.327897,128.925342,8936,8936,48
49,15,1,0.1,0.140826,0.100717,0.091076,182.327897,128.925342,8936,8936,49
50,15,2,1e-10,0.107377,0.092847,0.201866,27.590893,19.509879,8055,8936,50
51,15,2,1e-05,0.10785,0.091789,0.091215,44.02935,31.133609,8076,8936,51
52,15,2,0.001,0.135485,0.096695,0.093662,168.475558,119.130259,8849,8936,52
53,15,2,0.01,0.140543,0.100518,0.091032,181.649406,128.445576,8933,8936,53
54,15,2,0.1,0.140826,0.100717,0.091076,182.327897,128.925342,8936,8936,54
55,15,3,1e-10,0.259238,0.092435,1.218833,37.357634,26.417612,7823,8936,55
56,15,3,1e-05,0.197622,0.088328,0.855821,341536.67232,241502.898114,8099,8936,56
57,15,3,0.001,0.131047,0.090923,0.098041,153.068572,108.235878,8832,8936,57
58,15,3,0.01,0.140583,0.100527,0.091031,181.752152,128.518228,8935,8936,58
59,15,3,0.1,0.140826,0.100717,0.091076,182.327897,128.925342,8936,8936,59
