Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
0,2024-08-15 00:00:00,0.04192924,0,-1.31577097e-03,9.89210647e-02,-4.74764707e-02
1,2024-08-15 00:25:00,0.01476094,0,3.92305856e-04,2.23535909e-02,2.80473711e-02
2,2024-08-15 00:45:00,0.02005970,0,-1.39254956e-04,3.99507285e-02,-3.71322498e-02
3,2024-08-15 00:50:00,0.00711540,0,-3.37818216e-05,6.39920712e-03,-1.12399929e-03
4,2024-08-15 00:55:00,0.01198593,0,7.37049770e-04,1.43283060e-02,6.85973649e-02
5,2024-08-15 01:00:00,0.02074486,0,2.09337663e-04,4.34369796e-02,-4.44315604e-03
6,2024-08-15 01:05:00,0.01957337,0,-1.52546780e-03,2.22916048e-02,-1.17718071e-01
7,2024-08-15 01:10:00,0.02177476,0,-7.95668444e-04,4.17166217e-02,-9.19007025e-02
8,2024-08-15 01:15:00,0.00634565,0,-1.67197711e-03,6.77767535e-03,-1.44745706e-01
9,2024-08-15 01:20:00,0.02254926,0,3.21415234e-04,5.22119405e-02,-1.31890679e-02
