Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
24825,2024-11-14 07:20:00,nan,nan,nan,222.0885,1172,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24826,2024-11-14 07:25:00,nan,nan,nan,2318.0205,973,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24827,2024-11-14 07:30:00,nan,nan,nan,14318.7891,979,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24828,2024-11-14 07:35:00,nan,nan,nan,73512.9531,1247,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24829,2024-11-14 07:40:00,0.000470,0.010334,0.007315,-2.5275,8089,0,1.00000omega,1.942381 + -1.05288theta + 0.01510omega + -0.52390theta^2 + 0.08546theta omega + -0.22936omega^2 + -0.00281theta^3 + 0.12739theta^2 omega + -0.02388theta omega^2 + -0.21444omega^3
24830,2024-11-14 07:45:00,nan,nan,nan,245403.4531,768,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24831,2024-11-14 07:50:00,0.000613,0.008353,0.005923,0.7558,6651,0,1.00000omega,-0.276621 + -0.17138theta + 0.08245omega + 0.09077theta^2 + -0.04732theta omega + -0.00910omega^2 + -0.01849theta^3 + -0.00078theta^2 omega + 0.01012theta omega^2 + 0.01797omega^3
24832,2024-11-14 07:55:00,0.000611,0.015030,0.010637,4.5226,6668,5,1.00000omega,0.048941 + -0.00869theta + 0.04535omega + 0.00916theta^2 + -0.00430theta omega + 0.00607omega^2 + -0.00026theta^3 + 0.00022theta^2 omega + -0.00072theta omega^2 + -0.00023omega^3
24833,2024-11-14 08:00:00,nan,nan,nan,270438.1250,1213,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24834,2024-11-14 08:05:00,nan,nan,nan,48669.4414,1702,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24835,2024-11-14 08:10:00,nan,nan,nan,205370.3750,1667,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24836,2024-11-14 08:15:00,nan,nan,nan,2059.2544,1209,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24837,2024-11-14 08:20:00,0.000553,0.018209,0.012882,-0.4458,6510,0,1.00000omega,-0.052921 + -0.11119theta + 0.00641omega + -0.04101theta^2 + -0.00184theta omega + -0.00180omega^2 + -0.00046theta^3 + -0.00078theta^2 omega + -0.00237theta omega^2 + 0.00344omega^3
24838,2024-11-14 08:25:00,0.001065,0.014579,0.010337,99.2064,9999,0,1.00000omega,0.006421 + 0.00055theta + -0.00135omega + -0.00016theta^2 + 0.00008theta omega + 0.00071omega^2 + 0.00010theta^3 + 0.00000theta^2 omega + -0.00002theta omega^2 + -0.00013omega^3
24839,2024-11-14 08:30:00,nan,nan,nan,22034.2852,2806,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24840,2024-11-14 08:35:00,nan,nan,nan,35819.0742,1243,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24841,2024-11-14 08:40:00,0.000605,0.015182,0.010744,0.4247,8882,5,1.00000omega,-0.145301 + -0.01367theta + -0.00409omega + 0.02932theta^2 + 0.00273theta omega + -0.00289omega^2 + -0.00369theta^3 + 0.00009theta^2 omega + -0.00253theta omega^2 + -0.00421omega^3
24842,2024-11-14 08:45:00,0.000370,0.010558,0.007470,-2.5515,9744,1,1.00000omega,0.086751 + -1.51344theta + -0.02971omega + 0.10499theta^2 + -0.04884theta omega + -0.08746omega^2 + 0.02305theta^3 + -0.39580theta^2 omega + 0.37407theta omega^2 + 0.07050omega^3
24843,2024-11-14 08:50:00,0.000912,0.010451,0.007418,-1.0020,9083,0,1.00000omega,-0.329611 + -0.04300theta + 0.01646omega + -0.05064theta^2 + -0.25578theta omega + -0.01272omega^2 + 0.04677theta^3 + 0.00292theta^2 omega + -0.49638theta omega^2 + 0.01842omega^3
24844,2024-11-14 08:55:00,0.000444,0.010296,0.007287,-0.0385,5676,1,1.00000omega,-0.477401 + -0.06255theta + -0.05524omega + 0.39146theta^2 + -0.04116theta omega + -0.09468omega^2 + -0.05175theta^3 + 0.00946theta^2 omega + -0.00169theta omega^2 + 0.01374omega^3
24845,2024-11-14 09:00:00,0.000365,0.008768,0.006205,-0.5049,7085,0,1.00000omega,0.727131 + -0.67435theta + -0.21823omega + -0.13798theta^2 + -0.00131theta omega + -0.05947omega^2 + -0.02297theta^3 + -0.09512theta^2 omega + -0.00897theta omega^2 + 0.00024omega^3
24846,2024-11-14 09:05:00,0.000583,0.009318,0.006602,-2.5035,6400,0,1.00000omega,-1.163371 + -0.22933theta + -0.05251omega + 1.21311theta^2 + -0.10626theta omega + 0.40376omega^2 + -0.53954theta^3 + 0.14626theta^2 omega + -0.01388theta omega^2 + -0.02562omega^3
24847,2024-11-14 09:10:00,0.000467,0.010527,0.007451,-2.3246,8369,0,1.00000omega,-0.142791 + -0.02652theta + -0.01799omega + 0.00091theta^2 + -0.00851theta omega + -0.01100omega^2 + -0.16113theta^3 + 0.08054theta^2 omega + 0.04290theta omega^2 + -0.00650omega^3
24848,2024-11-14 09:15:00,0.000427,0.010546,0.007463,-1.6490,7570,0,1.00000omega,-0.557971 + -0.92327theta + -0.06851omega + 0.80620theta^2 + -0.28995theta omega + 0.05544omega^2 + -0.06848theta^3 + 0.21806theta^2 omega + -0.15616theta omega^2 + -0.06481omega^3
24849,2024-11-14 09:20:00,0.000414,0.012531,0.008866,-3.0913,6263,0,1.00000omega,0.064431 + -0.24650theta + -0.49815omega + -0.08413theta^2 + 0.14565theta omega + -0.01802omega^2 + -0.02422theta^3 + 0.19100theta^2 omega + -0.01244theta omega^2 + 0.00118omega^3
24850,2024-11-14 09:25:00,0.000349,0.009168,0.006487,-0.9730,6917,0,1.00000omega,0.630331 + -0.80005theta + 0.08438omega + -0.23704theta^2 + -0.18235theta omega + -0.07474omega^2 + 0.00096theta^3 + 0.00180theta^2 omega + -0.00379theta omega^2 + 0.01716omega^3
24851,2024-11-14 09:30:00,0.000359,0.010537,0.007455,-2.0133,9130,0,1.00000omega,-0.030481 + -0.57049theta + -0.27801omega + 0.09059theta^2 + -0.04237theta omega + 0.03585omega^2 + -0.08513theta^3 + -0.04482theta^2 omega + 0.04495theta omega^2 + -0.01344omega^3
24852,2024-11-14 09:35:00,0.000339,0.008691,0.006150,-2.3259,7430,0,1.00000omega,0.501471 + -0.29314theta + 0.16776omega + -1.03847theta^2 + -0.26273theta omega + -0.02988omega^2 + -0.17097theta^3 + -0.19746theta^2 omega + -0.28625theta omega^2 + 0.06130omega^3
24853,2024-11-14 09:40:00,0.000418,0.007844,0.005555,-1.4863,6591,1,1.00000omega,-0.043671 + 0.04758theta + 0.05450omega + -0.12242theta^2 + -0.08598theta omega + -0.04724omega^2 + -0.14729theta^3 + 0.00075theta^2 omega + 0.06207theta omega^2 + 0.03739omega^3
24854,2024-11-14 09:45:00,nan,nan,nan,1704.3127,669,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24855,2024-11-14 09:50:00,0.000450,0.010037,0.007105,-3.2895,9999,0,1.00000omega,-0.879281 + 0.15404theta + 0.19997omega + 0.35737theta^2 + -0.39671theta omega + 0.03252omega^2 + -0.08309theta^3 + -0.05746theta^2 omega + 0.23565theta omega^2 + 0.01084omega^3
24856,2024-11-14 09:55:00,0.000425,0.013804,0.009766,-3.0547,7179,0,1.00000omega,-0.054561 + -0.10634theta + 0.01863omega + -0.10081theta^2 + 0.00637theta omega + 0.01109omega^2 + -0.01422theta^3 + -0.00263theta^2 omega + 0.00186theta omega^2 + 0.00378omega^3
24857,2024-11-14 10:00:00,0.000509,0.010650,0.007539,-2.2210,9999,0,1.00000omega,-0.078741 + 0.04971theta + -0.09115omega + 0.08393theta^2 + 0.00005theta omega + -0.14416omega^2 + -0.02785theta^3 + -0.00020theta^2 omega + 0.10043theta omega^2 + -0.00104omega^3
24858,2024-11-14 10:05:00,0.000414,0.009056,0.006410,-3.8978,8230,0,1.00000omega,-0.020341 + -0.14656theta + 0.00089omega + -0.08941theta^2 + -0.01591theta omega + 0.00751omega^2 + -0.00026theta^3 + -0.02721theta^2 omega + -0.01677theta omega^2 + 0.04357omega^3
24859,2024-11-14 10:10:00,0.000557,0.010228,0.007243,-1.0279,7268,0,1.00000omega,-0.016771 + -0.18694theta + 0.24041omega + 0.15697theta^2 + 0.03668theta omega + 0.01903omega^2 + -0.03835theta^3 + -0.12206theta^2 omega + -0.07074theta omega^2 + 0.00952omega^3
24860,2024-11-14 10:15:00,0.000272,0.006236,0.004414,-2.1588,5333,2,1.00000omega,0.059501 + -0.06877theta + 0.08015omega + 0.00048theta^2 + 0.19220theta omega + 0.01808omega^2 + -0.28371theta^3 + -0.07943theta^2 omega + 0.11259theta omega^2 + 0.05555omega^3
24861,2024-11-14 10:20:00,0.000541,0.010075,0.007134,-0.8723,9999,0,1.00000omega,-0.091841 + 0.17941theta + -0.05059omega + 0.00314theta^2 + -0.16003theta omega + 0.00158omega^2 + -0.01752theta^3 + 0.02768theta^2 omega + 0.00939theta omega^2 + -0.02139omega^3
24862,2024-11-14 10:25:00,nan,nan,nan,7867.1157,865,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
24863,2024-11-14 10:30:00,0.000867,0.013506,0.009570,3.9991,9999,2,1.00000omega,0.207301 + 0.06809theta + 0.01434omega + -0.00253theta^2 + -0.13575theta omega + -0.03446omega^2 + -0.01500theta^3 + 0.01629theta^2 omega + 0.05228theta omega^2 + -0.06354omega^3
24864,2024-11-14 10:35:00,0.000344,0.008758,0.006198,-0.9647,6860,1,1.00000omega,-0.076301 + -0.20810theta + -0.00969omega + -0.03851theta^2 + 0.00660theta omega + -0.02539omega^2 + -0.00288theta^3 + -0.00396theta^2 omega + -0.01344theta omega^2 + -0.00306omega^3
24865,2024-11-14 10:40:00,0.000356,0.014209,0.010050,0.6790,9999,0,1.00000omega,0.232641 + 0.09936theta + 0.09940omega + -0.05150theta^2 + 0.00867theta omega + 0.00327omega^2 + -0.01135theta^3 + -0.00128theta^2 omega + -0.01148theta omega^2 + -0.00025omega^3
24866,2024-11-14 10:45:00,0.000273,0.006771,0.004792,-2.6353,6495,0,1.00000omega,0.115461 + -0.82584theta + 0.10224omega + -0.03949theta^2 + 0.04506theta omega + -0.03195omega^2 + -0.08508theta^3 + 0.05289theta^2 omega + 0.02205theta omega^2 + 0.08426omega^3
24867,2024-11-14 10:50:00,0.000612,0.010454,0.007405,-1.2965,8410,0,1.00000omega,-0.141901 + -0.14028theta + -0.00199omega + 0.36356theta^2 + -0.01485theta omega + -0.00382omega^2 + -0.08569theta^3 + -0.00371theta^2 omega + 0.01059theta omega^2 + -0.01766omega^3
24868,2024-11-14 10:55:00,nan,nan,nan,1040.9365,1128,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
