Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
0,2024-08-15 00:00:00,0.006957,0.10819,0.07666,-2.58,2031,0,1.00000omega,0.001931 + -0.00096theta + 0.00041omega + -0.00072theta^2 + 0.00315theta omega + -0.00550omega^2
1,2024-08-15 00:25:00,0.006029,0.171721,0.1215,-4.3563,1237,0,1.00000omega,-0.002301 + -0.46957theta + -0.00371omega + -0.00164theta^2 + -0.03171theta omega + 0.42496omega^2
2,2024-08-15 00:45:00,0.004205,0.067759,0.048005,-1.0178,1533,0,1.00000omega,-0.007021 + -0.11181theta + 0.00328omega + -0.00156theta^2 + 0.01570theta omega + 0.00089omega^2
3,2024-08-15 00:50:00,0.011268,0.051186,0.03706,-50955.8438,951,0,1.00000omega,0.003081 + -0.03610theta + -0.01044omega + -0.00649theta^2 + 0.00144theta omega + 0.00260omega^2
4,2024-08-15 00:55:00,0.023185,0.449574,0.318319,-3132.6113,641,0,1.00000omega,-0.005361 + -0.02251theta + 0.04149omega + -0.02267theta^2 + 0.00124theta omega + 0.00393omega^2
5,2024-08-15 01:00:00,0.005019,0.055321,0.039279,-2.1622,1464,0,1.00000omega,-0.000141 + 0.00016theta + -0.00069omega + -0.00044theta^2 + -0.00019theta omega + -0.00022omega^2
6,2024-08-15 01:05:00,0.005567,0.046079,0.03282,4.9737,2278,0,1.00000omega,-0.000121 + 0.00003theta + -0.00031omega + -0.00000theta^2 + -0.00002theta omega + -0.00002omega^2
7,2024-08-15 01:10:00,,,,195.9543,33,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
8,2024-08-15 01:15:00,0.033393,0.384797,0.273115,468.5605,164,5,1.00000omega,-0.000721 + -0.02542theta + 0.00000omega + -0.00091theta^2 + 0.00043theta omega + 0.00063omega^2
9,2024-08-15 01:20:00,0.003822,0.026926,0.01923,-2.4058,1345,3,1.00000omega,0.001011 + 0.00058theta + -0.00040omega + -0.00314theta^2 + -0.00008theta omega + 0.00258omega^2
10,2024-08-15 01:25:00,0.004035,0.015761,0.011504,0.0025,2091,0,1.00000omega,0.001611 + -0.00007theta + -0.00739omega + -0.00002theta^2 + -0.00055theta omega + 0.00650omega^2
11,2024-08-15 01:30:00,0.021929,0.180338,0.128457,51.286,279,5,1.00000omega,0.001741 + -0.00048theta + -0.00287omega + -0.00991theta^2 + 0.03005theta omega + 0.00077omega^2
12,2024-08-15 01:35:00,0.004927,0.088453,0.062643,-0.9001,1367,0,1.00000omega,0.000491 + -0.00205theta + 0.00161omega + 0.00085theta^2 + 0.00088theta omega + 0.00245omega^2
13,2024-08-15 01:40:00,0.040815,1.388647,0.982346,-89001.6719,714,0,1.00000omega,0.003361 + -0.00227theta + 0.00395omega + -0.00010theta^2 + 0.00064theta omega + -0.00016omega^2
14,2024-08-15 01:45:00,0.071387,1.678487,1.187943,476.0318,26,5,1.00000omega,0.000111 + 0.00024theta + -0.00085omega + -0.00014theta^2 + 0.00007theta omega + 0.00078omega^2
15,2024-08-15 01:50:00,0.008191,0.314905,0.222746,-592.0208,1347,0,1.00000omega,0.010711 + -0.56311theta + 0.00346omega + 0.00611theta^2 + 0.00716theta omega + 0.02019omega^2
16,2024-08-15 01:55:00,,,,53.1426,71,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
17,2024-08-15 02:00:00,0.004991,0.117833,0.083395,-0.5335,1748,0,1.00000omega,0.006641 + -0.00312theta + 0.00152omega + 0.00186theta^2 + -0.00150theta omega + -0.00478omega^2
18,2024-08-15 02:05:00,0.004616,0.127883,0.090486,-16.0787,1422,0,1.00000omega,0.004711 + -0.00165theta + 0.00022omega + -0.00113theta^2 + -0.00029theta omega + 0.00216omega^2
19,2024-08-15 02:10:00,,,,202.1698,40,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20,2024-08-15 02:15:00,0.004987,0.141062,0.099808,-6520647974912.0,1714,0,1.00000omega,0.000521 + -0.19938theta + -0.01490omega + -0.00041theta^2 + 0.00017theta omega + 0.00091omega^2
21,2024-08-15 02:20:00,,,,103.9355,63,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
22,2024-08-15 02:25:00,0.004638,0.099204,0.070224,-1.31,1831,0,1.00000omega,0.001411 + -0.00076theta + 0.00335omega + 0.00058theta^2 + 0.00091theta omega + 0.00378omega^2
23,2024-08-15 02:30:00,0.005132,0.099854,0.070701,-1.9827,1856,0,1.00000omega,-0.000301 + -0.00017theta + -0.00067omega + 0.00004theta^2 + 0.00505theta omega + -0.00222omega^2
24,2024-08-15 02:35:00,0.009874,0.0823,0.058613,3.3673,175,5,1.00000omega,0.001301 + -1.40550theta + 0.00312omega + -0.00214theta^2 + -0.00777theta omega + 0.00046omega^2
25,2024-08-15 02:40:00,0.006371,0.264442,0.187043,-4428312.5,1474,0,1.00000omega,-0.000131 + -0.00021theta + 0.00045omega + 0.00066theta^2 + -0.00376theta omega + -0.00375omega^2
26,2024-08-15 02:45:00,,,,301.6922,31,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
27,2024-08-15 02:50:00,,,,21361.2246,15,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
28,2024-08-15 02:55:00,,,,70.4051,46,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
29,2024-08-15 03:00:00,0.009213,0.073958,0.0527,20.0246,2474,0,1.00000omega,0.002811 + 0.00009theta + 0.00114omega + -0.00005theta^2 + 0.00001theta omega + 0.00015omega^2
30,2024-08-15 03:05:00,0.005063,0.098456,0.069711,-871.8086,1652,0,1.00000omega,0.034221 + 0.00765theta + -0.00353omega + -0.00006theta^2 + -0.00085theta omega + 0.00369omega^2
31,2024-08-15 03:10:00,,,,352.371,36,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
32,2024-08-15 03:15:00,0.003442,0.052904,0.037488,-1.0523,2166,0,1.00000omega,-0.003751 + 0.00036theta + -0.00117omega + -0.00052theta^2 + -0.00524theta omega + -0.00189omega^2
33,2024-08-15 03:20:00,0.004007,0.086789,0.061435,-0.3465,1754,0,1.00000omega,-0.007011 + -0.00007theta + -0.00383omega + 0.00050theta^2 + 0.00145theta omega + 0.00102omega^2
34,2024-08-15 03:25:00,0.005088,0.050458,0.03586,-1418844.625,1092,0,1.00000omega,-0.002261 + 0.00285theta + 0.00158omega + -0.00176theta^2 + 0.00106theta omega + 0.00088omega^2
35,2024-08-15 03:30:00,0.021639,0.179262,0.127677,47.4381,105,5,1.00000omega,0.000211 + -0.00222theta + 0.00048omega + 0.00003theta^2 + 0.00013theta omega + 0.00059omega^2
36,2024-08-15 03:35:00,0.038834,0.597609,0.423465,169.4979,28,5,1.00000omega,-0.002301 + -0.00776theta + 0.00168omega + -0.00308theta^2 + -0.01120theta omega + -0.00096omega^2
37,2024-08-15 03:40:00,0.005443,0.207378,0.146689,1.3669,1365,0,1.00000omega,-0.002131 + -0.00140theta + 0.00158omega + 0.00075theta^2 + -0.00133theta omega + -0.00050omega^2
38,2024-08-15 03:45:00,0.005419,0.103463,0.073259,-1.681,1633,0,1.00000omega,0.000211 + -0.00189theta + 0.00257omega + 0.00040theta^2 + 0.00213theta omega + 0.00061omega^2
39,2024-08-15 03:50:00,0.024686,0.322382,0.228626,19.6539,95,5,1.00000omega,-0.001051 + -0.00376theta + -0.00135omega + 0.00018theta^2 + 0.00026theta omega + -0.00721omega^2
