Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
39820,2025-01-09 20:35:00,nan,nan,nan,63.3859,66,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39821,2025-01-09 20:40:00,0.004836,0.028576,0.020494,-0.9034,1536,0,1.00000omega,-0.000821 + -1.43867theta + -0.03031omega + -0.03169theta^2 + -0.03225theta omega + -0.01696omega^2
39822,2025-01-09 20:45:00,0.006382,0.179428,0.126955,-0.0886,2054,0,1.00000omega,-0.001771 + -0.08180theta + 0.00156omega + 0.00012theta^2 + -0.00009theta omega + -0.00572omega^2
39823,2025-01-09 20:50:00,nan,nan,nan,1.8294,400,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39824,2025-01-09 20:55:00,0.005007,0.049697,0.035319,-1.4725,1742,0,1.00000omega,-0.000631 + 0.00080theta + 0.00098omega + 0.00167theta^2 + 0.00005theta omega + 0.00077omega^2
39825,2025-01-09 21:00:00,0.036182,0.621008,0.439864,121.0316,44,5,1.00000omega,-0.002111 + -0.01148theta + 0.00254omega + 0.00051theta^2 + 0.00025theta omega + -0.00010omega^2
39826,2025-01-09 21:05:00,0.006448,0.360948,0.255269,-201.1316,2695,0,1.00000omega,0.002001 + -0.00085theta + 0.00027omega + -0.00012theta^2 + -0.00001theta omega + -0.00046omega^2
39827,2025-01-09 21:10:00,nan,nan,nan,94.6684,145,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39828,2025-01-09 21:15:00,nan,nan,nan,53.0948,55,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39829,2025-01-09 21:20:00,0.008119,0.390087,0.275893,-210.6500,1798,0,1.00000omega,-0.003331 + -0.00105theta + -0.00353omega + -0.00139theta^2 + -0.00166theta omega + -0.01478omega^2
39830,2025-01-09 21:25:00,0.003917,0.084006,0.059466,-0.2770,1205,0,1.00000omega,0.002621 + 0.00071theta + 0.00482omega + 0.00001theta^2 + 0.00003theta omega + -0.00212omega^2
39831,2025-01-09 21:30:00,0.042535,1.205589,0.853011,1532.6807,32,5,1.00000omega,-0.000941 + -0.00015theta + -0.00074omega + 0.00005theta^2 + 0.00000theta omega + 0.00020omega^2
39832,2025-01-09 21:35:00,nan,nan,nan,310.3650,70,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39833,2025-01-09 21:40:00,0.004953,0.079038,0.055998,-5.4330,3939,3,1.00000omega,0.001571 + -0.10280theta + -0.01168omega + -0.00118theta^2 + 0.00110theta omega + -0.00087omega^2
39834,2025-01-09 21:45:00,0.004157,0.042476,0.030178,-1.2166,1564,0,1.00000omega,-0.018211 + -0.29367theta + 0.00810omega + 0.00027theta^2 + 0.00094theta omega + 0.00168omega^2
39835,2025-01-09 21:50:00,0.076276,1.434924,1.016077,-25354002.0000,1830,0,1.00000omega,-0.040991 + -0.02338theta + -0.00102omega + 0.00004theta^2 + -0.00616theta omega + -0.00185omega^2
39836,2025-01-09 21:55:00,0.003661,0.015553,0.011298,-1.5449,2309,0,1.00000omega,0.002261 + -0.00107theta + -0.02141omega + -0.00194theta^2 + 0.00252theta omega + 0.00137omega^2
39837,2025-01-09 22:00:00,nan,nan,nan,29.9631,56,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39838,2025-01-09 22:05:00,0.030281,0.385531,0.273451,35.8939,42,5,1.00000omega,-0.002911 + 0.00762theta + -0.00128omega + -0.00144theta^2 + -0.00053theta omega + -0.00017omega^2
39839,2025-01-09 22:10:00,0.029685,0.279145,0.198498,106.0388,80,5,1.00000omega,-0.000401 + -0.00315theta + -0.00138omega + 0.00041theta^2 + 0.00158theta omega + -0.00070omega^2
39840,2025-01-09 22:15:00,0.004163,0.086387,0.061156,-1.8788,1753,0,1.00000omega,0.004341 + -0.00290theta + -0.00073omega + 0.00037theta^2 + -0.00121theta omega + -0.00027omega^2
39841,2025-01-09 22:20:00,0.029714,0.224794,0.160336,116.4457,33,5,1.00000omega,0.000601 + -0.07623theta + 0.00098omega + 0.00841theta^2 + -0.00088theta omega + -0.01685omega^2
39842,2025-01-09 22:25:00,nan,nan,nan,100.1594,48,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
39843,2025-01-09 22:30:00,0.022943,0.877260,0.620529,-3407091900545952120832.0000,1061,0,1.00000omega,0.021221 + -0.21905theta + -0.00635omega + 0.00190theta^2 + 0.00038theta omega + -0.00010omega^2
39844,2025-01-09 22:35:00,0.003939,0.111966,0.079221,-2.9293,946,0,1.00000omega,0.024431 + -0.70913theta + -0.00258omega + 0.01326theta^2 + -0.00571theta omega + -0.03789omega^2
39845,2025-01-09 22:40:00,0.003202,0.074203,0.052518,-4.5301,1754,0,1.00000omega,0.003221 + 0.00089theta + -0.00133omega + -0.00051theta^2 + 0.00109theta omega + -0.00100omega^2
39846,2025-01-09 22:45:00,0.003001,0.042628,0.030217,-1.7612,1232,0,1.00000omega,0.005571 + -2.14494theta + -0.66986omega + -0.01897theta^2 + -0.06241theta omega + 0.00441omega^2
