Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
46200,2025-02-01 01:25:00,0.005598,0.036472,0.026092,nan,nan,nan,26.8606,7815,0,1.00000omega,-0.010131 + -0.01383theta + 0.07686omega + 0.04953theta^2 + 0.00341theta omega + -0.06330omega^2 + -0.01484theta^3 + 0.00318theta^2 omega + 0.07101theta omega^2 + 0.00624omega^3,0.038096*omega**3 + 0.014451*omega**2*theta - 0.193659*omega**2 + 2.2e-5*omega*theta**2 - 0.000442*omega*theta + 0.004792*omega - 3.0e-6*theta**3 + 0.00014*theta**2 - 0.001897*theta + 0.008396
46201,2025-02-01 01:30:00,nan,nan,nan,nan,nan,nan,13510.7148,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A
46202,2025-02-01 01:35:00,0.003531,0.029764,0.021194,0.142317,10.566878,7.472589,12.4531,9475,0,1.00000omega,0.097001 + -0.02951theta + 0.24388omega + 0.01082theta^2 + -0.00888theta omega + -0.04446omega^2 + -0.00222theta^3 + 0.00166theta^2 omega + -0.00034theta omega^2 + 0.00799omega^3,0.059785*omega**3 - 8.5e-5*omega**2*theta - 0.021577*omega**2 + 1.4e-5*omega*theta**2 - 0.000352*omega*theta + 0.009976*omega - 0.e-6*theta**3 + 2.0e-5*theta**2 - 0.000222*theta + 0.001035
46203,2025-02-01 01:40:00,0.004460,0.038108,0.027130,nan,nan,nan,7.7824,7478,0,1.00000omega,-0.046961 + -0.01658theta + 0.04233omega + -0.00346theta^2 + -0.01004theta omega + 0.10897omega^2 + -0.00154theta^3 + -0.00171theta^2 omega + -0.01035theta omega^2 + 0.02719omega^3,0.104766*omega**3 - 0.001329*omega**2*theta + 0.051454*omega**2 - 7.0e-6*omega*theta**2 + 1.7e-5*omega*theta + 0.001893*omega + 5.0e-6*theta**2 - 5.0e-5*theta + 8.5e-5
46204,2025-02-01 01:45:00,0.004769,0.037379,0.026645,0.104354,9.324077,6.593531,32.9767,9999,0,1.00000omega,-0.193471 + 0.00546theta + -0.05312omega + -0.00139theta^2 + -0.00048theta omega + -0.03619omega^2 + -0.00109theta^3 + 0.00182theta^2 omega + 0.00670theta omega^2 + -0.02771omega^3,-0.267248*omega**3 + 0.002154*omega**2*theta - 0.046543*omega**2 + 2.0e-5*omega*theta**2 - 0.00048*omega*theta + 0.001186*omega + 1.3e-5*theta**2 - 0.000143*theta + 0.000106
46205,2025-02-01 01:50:00,0.004660,0.033099,0.023635,0.128579,9.865225,6.976360,10.8004,5742,0,1.00000omega,-0.337071 + -0.01729theta + -0.02738omega + 0.03758theta^2 + -0.00216theta omega + -0.07897omega^2 + -0.00783theta^3 + 0.02149theta^2 omega + -0.00502theta omega^2 + -0.01913omega^3,-0.081979*omega**3 - 0.000717*omega**2*theta - 0.026868*omega**2 + 0.000102*omega*theta**2 - 0.000877*omega*theta + 0.000966*omega - 1.0e-6*theta**3 + 3.1e-5*theta**2 - 0.000215*theta - 0.00055
46206,2025-02-01 01:55:00,0.005436,0.032555,0.023339,0.068173,1.827548,1.293170,43.1445,9999,0,1.00000omega,-0.021111 + -0.00417theta + -0.00551omega + -0.00115theta^2 + 0.00172theta omega + -0.00739omega^2 + -0.00065theta^3 + -0.00059theta^2 omega + 0.00087theta omega^2 + -0.00614omega^3,-0.059325*omega**3 + 0.00028*omega**2*theta - 0.009442*omega**2 - 6.0e-6*omega*theta**2 + 0.00027*omega*theta - 0.003016*omega + 1.2e-5*theta**2 - 0.000222*theta + 0.00132
46207,2025-02-01 02:00:00,0.002914,0.024049,0.017130,nan,nan,nan,2.7294,7636,0,1.00000omega,-0.083251 + -0.67795theta + -0.06455omega + 0.20292theta^2 + 0.04577theta omega + -0.00206omega^2 + 0.01251theta^3 + -0.00749theta^2 omega + 0.01561theta omega^2 + 0.01310omega^3,0.056479*omega**3 + 0.002243*omega**2*theta - 0.011978*omega**2 - 3.6e-5*omega*theta**2 + 0.000937*omega*theta - 0.005932*omega + 2.0e-6*theta**3 + 5.6e-5*theta**2 - 0.001457*theta + 0.005397
46208,2025-02-01 02:05:00,0.005135,0.029044,0.020856,0.199706,18.345166,12.972760,13.9116,7592,0,1.00000omega,-0.019791 + -0.00358theta + -0.00578omega + 0.01604theta^2 + 0.00661theta omega + -0.02248omega^2 + -0.00055theta^3 + 0.00173theta^2 omega + 0.00051theta omega^2 + -0.00839omega^3,-0.034915*omega**3 + 7.1e-5*omega**2*theta - 0.0088*omega**2 + 8.0e-6*omega*theta**2 - 1.5e-5*omega*theta - 0.000397*omega + 8.0e-6*theta**2 - 9.3e-5*theta + 0.000226
46209,2025-02-01 02:10:00,0.012165,0.060488,0.043628,0.057179,2.716020,1.920942,210.0762,9999,0,1.00000omega,0.050251 + -0.01052theta + -0.07988omega + 0.00431theta^2 + -0.00608theta omega + -0.05212omega^2 + -0.00017theta^3 + 0.00043theta^2 omega + -0.00837theta omega^2 + -0.01366omega^3,-0.127134*omega**3 - 0.002597*omega**2*theta + 0.018652*omega**2 + 4.0e-6*omega*theta**2 - 0.000276*omega*theta + 0.00091*omega + 6.0e-6*theta**2 - 0.000169*theta + 0.001577
