Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
15400,2024-10-09 09:05:00,0.010680,0.062188,0.044617,nan,nan,nan,5.6364,1427,0,1.00000omega,-0.000601 + -0.00545theta + 0.00129omega + -0.32746theta^2 + 0.00270theta omega + 0.00708omega^2,0.00295*omega**2 + 3.7e-5*omega*theta - 0.000196*omega - 0.000152*theta**2 + 0.001925*theta - 0.006113
15401,2024-10-09 09:10:00,0.026675,0.460190,0.325950,0.207894,34.073690,24.094186,98.5809,70,5,1.00000omega,0.001121 + -0.00086theta + -0.00055omega + 0.00042theta^2 + 0.00027theta omega + 0.00185omega^2,0.000908*omega**2 + 4.0e-6*omega*theta - 5.4e-5*omega - 5.0e-6*theta + 2.6e-5
15402,2024-10-09 09:15:00,nan,nan,nan,nan,nan,nan,797.7247,45,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
15403,2024-10-09 09:20:00,0.041241,0.503001,0.356869,0.086196,10.108428,7.147998,288.6198,368,0,1.00000omega,-0.000331 + -0.00002theta + -0.00143omega + -0.00001theta^2 + 0.00011theta omega + -0.00063omega^2,-0.000357*omega**2 + 2.0e-6*omega*theta - 7.2e-5*omega - 1.0e-6
15404,2024-10-09 09:25:00,0.012901,0.027857,0.021708,0.177734,27.414904,19.385672,10.9218,897,0,1.00000omega,-0.002571 + -0.01649theta + 0.00192omega + -0.00010theta^2 + 0.00521theta omega + -0.00184omega^2,-0.000785*omega**2 + 7.4e-5*omega*theta - 0.000296*omega - 1.8e-5*theta + 8.1e-5
15405,2024-10-09 09:30:00,0.011362,0.070976,0.050826,0.105476,5.091710,3.601155,2.8111,1024,0,1.00000omega,0.001961 + 0.00274theta + 0.00120omega + 0.00183theta^2 + 0.00262theta omega + -0.00110omega^2,-0.000345*omega**2 + 2.7e-5*omega*theta + 6.0e-5*omega + 1.0e-6*theta**2 + 4.0e-6*theta + 1.0e-5
15406,2024-10-09 09:35:00,0.015676,0.090415,0.064887,0.103529,11.814980,8.354773,13.6655,129,5,1.00000omega,-0.000761 + 0.00034theta + -0.00155omega + 0.00008theta^2 + -0.00443theta omega + -0.00141omega^2,-0.000518*omega**2 - 5.4e-5*omega*theta + 0.000221*omega - 3.0e-6
15407,2024-10-09 09:40:00,nan,nan,nan,nan,nan,nan,91.6523,104,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
15408,2024-10-09 09:45:00,nan,nan,nan,nan,nan,nan,325.6142,26,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
15409,2024-10-09 09:50:00,nan,nan,nan,nan,nan,nan,130.9112,135,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
