Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
56980,2025-03-10 13:25:00,nan,nan,nan,nan,nan,nan,2008.1040,17,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
56981,2025-03-10 13:30:00,0.020872,0.399355,0.282772,0.044642,1.764036,1.247761,151.1045,106,5,1.00000omega,0.000751 + 0.00020theta + 0.00138omega + -0.00005theta^2 + 0.00007theta omega + 0.00042omega^2,0.00032*omega**2 + 2.0e-6*omega*theta + 1.0e-5*omega + 2.0e-6*theta - 2.1e-5,3.949069e-03,8.985387e-06
56982,2025-03-10 13:35:00,0.010055,0.053673,0.038613,0.207298,33.101980,23.407093,4.3520,1350,0,1.00000omega,0.005061 + -0.00167theta + -0.00383omega + -0.00096theta^2 + 0.00099theta omega + 0.00310omega^2,0.001225*omega**2 + 1.3e-5*omega*theta - 0.000124*omega - 2.0e-6*theta + 1.4e-5,3.245807e-04,5.644303e-05
56983,2025-03-10 13:40:00,0.010022,0.028422,0.021310,0.108966,2.668521,1.888502,4.7774,992,1,1.00000omega,0.011011 + -1.34174theta + -0.01605omega + 0.01468theta^2 + -0.02370theta omega + -0.00484omega^2,-0.002024*omega**2 - 0.00033*omega*theta - 0.000968*omega + 7.0e-6*theta**2 - 0.001473*theta - 0.001913,3.620219e-04,3.428407e-05
56984,2025-03-10 13:45:00,0.008314,0.074807,0.053222,0.083405,4.389514,3.104415,1.1482,1138,0,1.00000omega,0.029271 + -0.60809theta + -0.01065omega + -0.41886theta^2 + -0.00521theta omega + 0.05767omega^2,0.021559*omega**2 - 6.5e-5*omega*theta + 5.0e-5*omega - 0.000174*theta**2 + 0.001496*theta - 0.002473,7.559241e-04,3.891085e-05
56985,2025-03-10 13:50:00,0.009421,0.202018,0.143004,0.052654,1.834287,1.297571,9.2748,1708,0,1.00000omega,-0.005631 + -0.11319theta + -0.00149omega + -0.00029theta^2 + -0.00048theta omega + -0.00230omega^2,-0.00122*omega**2 - 8.0e-6*omega*theta + 0.000112*omega - 0.000119*theta + 0.002318,4.141287e-04,3.391853e-05
56986,2025-03-10 13:55:00,nan,nan,nan,nan,nan,nan,642.6552,22,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A,nan,nan
56987,2025-03-10 14:00:00,0.012252,0.244138,0.172849,0.093165,14.202484,10.042889,17.1921,2774,0,1.00000omega,0.000901 + -0.00016theta + 0.00731omega + -0.00010theta^2 + -0.00007theta omega + 0.00089omega^2,0.000462*omega**2 - 1.0e-6*omega*theta + 0.000209*omega - 3.0e-6*theta - 5.0e-5,4.397979e-04,3.505994e-05
56988,2025-03-10 14:05:00,0.010098,0.181568,0.128587,0.096797,4.372187,3.092361,3.0692,1943,0,1.00000omega,0.002191 + 0.00001theta + -0.00556omega + 0.00047theta^2 + 0.00099theta omega + 0.00341omega^2,0.001245*omega**2 + 1.2e-5*omega*theta + 6.1e-5*omega + 8.0e-6*theta + 8.7e-5,5.265491e-04,2.268230e-05
56989,2025-03-10 14:10:00,0.008859,0.054750,0.039218,0.076109,4.290287,3.034168,5.1242,1005,0,1.00000omega,0.005311 + -0.00462theta + -0.00025omega + 0.00267theta^2 + 0.00102theta omega + -0.00005omega^2,-2.3e-5*omega**2 + 1.6e-5*omega*theta + 2.8e-5*omega + 1.0e-6*theta**2 + 1.0e-6*theta + 8.0e-6,1.832803e-03,3.643518e-05
