Combo_Index,Model,Sigma,Degree,Tau,LR,Mean_RMSE_Omega,Num_Success,Num_Total
1,integrator,0,2,5.0e-01,1.0e-01,0.021752,2,3
2,integrator,0,2,5.0e-01,1.0e-03,0.010446,2,3
3,integrator,0,2,5.0e-01,1.0e-05,0.086167,3,3
4,integrator,0,2,1.0e-01,1.0e-01,0.014947,2,3
5,integrator,0,2,1.0e-01,1.0e-03,0.011718,3,3
6,integrator,0,2,1.0e-01,1.0e-05,0.072534,3,3
7,integrator,0,2,1.0e-02,1.0e-01,0.011998,3,3
8,integrator,0,2,1.0e-02,1.0e-03,0.011474,3,3
9,integrator,0,2,1.0e-02,1.0e-05,0.066778,3,3
10,integrator,0,2,1.0e-03,1.0e-01,0.029090,2,3
11,integrator,0,2,1.0e-03,1.0e-03,0.012301,2,3
12,integrator,0,2,1.0e-03,1.0e-05,0.080446,3,3
13,integrator,0,2,1.0e-05,1.0e-01,0.012007,3,3
14,integrator,0,2,1.0e-05,1.0e-03,0.011009,2,3
15,integrator,0,2,1.0e-05,1.0e-05,0.081855,3,3
16,integrator,0,3,5.0e-01,1.0e-01,0.018502,2,3
17,integrator,0,3,5.0e-01,1.0e-03,0.011578,3,3
18,integrator,0,3,5.0e-01,1.0e-05,0.078183,3,3
19,integrator,0,3,1.0e-01,1.0e-01,0.012036,3,3
20,integrator,0,3,1.0e-01,1.0e-03,0.011847,3,3
21,integrator,0,3,1.0e-01,1.0e-05,0.093996,3,3
22,integrator,0,3,1.0e-02,1.0e-01,0.012519,2,3
23,integrator,0,3,1.0e-02,1.0e-03,0.011754,3,3
24,integrator,0,3,1.0e-02,1.0e-05,0.078298,3,3
25,integrator,0,3,1.0e-03,1.0e-01,0.011752,3,3
26,integrator,0,3,1.0e-03,1.0e-03,0.011533,3,3
27,integrator,0,3,1.0e-03,1.0e-05,0.069576,3,3
28,integrator,0,3,1.0e-05,1.0e-01,0.013515,3,3
29,integrator,0,3,1.0e-05,1.0e-03,0.010463,2,3
30,integrator,0,3,1.0e-05,1.0e-05,0.076856,3,3
31,integrator,5,2,5.0e-01,1.0e-01,0.001300,2,3
32,integrator,5,2,5.0e-01,1.0e-03,0.001100,2,3
33,integrator,5,2,5.0e-01,1.0e-05,0.090487,3,3
34,integrator,5,2,1.0e-01,1.0e-01,0.001943,2,3
35,integrator,5,2,1.0e-01,1.0e-03,0.001019,2,3
