Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
106500,2025-08-30 01:25:00,1.378714,49.579131,35.071292,-0.003 1 + 1.010 omega + -0.002 theta omega + 0.075 omega^2,-0.005 1 + 0.001 theta + 0.020 omega + -0.004 theta omega + 0.141 omega^2,-5.4885853871e-03,7.7150631411e-04,1.9966217903e-02,-1.2286378264e-05,-4.4324872770e-03,1.4106245583e-01
106501,2025-08-30 01:30:00,0.035388,2.432889,1.720494,-0.003 1 + 1.060 omega + 0.001 theta omega + -0.299 omega^2,-0.006 1 + 0.119 omega + 0.002 theta omega + -0.577 omega^2,-5.8247349324e-03,-2.1945647631e-04,1.1887876954e-01,2.1243070334e-06,1.5344055898e-03,-5.7730862585e-01
106502,2025-08-30 01:35:00,0.020630,2.798384,1.978810,-0.003 1 + 1.002 omega + -0.001 theta omega + 0.052 omega^2,-0.006 1 + 0.007 omega + -0.002 theta omega + 0.100 omega^2,-5.7699317099e-03,4.2805586435e-04,6.9325076113e-03,-2.3333028511e-06,-1.5940171170e-03,9.9683620080e-02
106503,2025-08-30 01:40:00,0.044216,3.494664,2.471298,-0.001 1 + 1.016 omega + -0.001 theta omega + -0.030 omega^2,-0.003 1 + 0.034 omega + -0.002 theta omega + -0.061 omega^2,-3.2292708061e-03,1.4947297939e-04,3.4315927495e-02,-2.3456843482e-07,-1.6141809326e-03,-6.0991903246e-02
106504,2025-08-30 01:45:00,0.011980,0.351892,0.248969,-0.002 1 + 1.006 omega + -0.001 theta omega + 0.111 omega^2,-0.004 1 + 0.013 omega + -0.002 theta omega + 0.222 omega^2,-4.1282788797e-03,-4.1536436454e-04,1.3356690313e-02,-4.0616749943e-06,-1.7502475245e-03,2.2191820146e-01
106505,2025-08-30 01:50:00,0.025977,3.617687,2.558157,0.002 1 + 1.058 omega + -0.001 theta omega + 0.277 omega^2,0.005 1 + 0.116 omega + -0.002 theta omega + 0.542 omega^2,4.5401361323e-03,-3.1173048420e-04,1.1604072381e-01,9.8766535726e-08,-1.9510228931e-03,5.4248752314e-01
106506,2025-08-30 01:55:00,0.017589,0.527435,0.373160,-0.001 1 + 1.006 omega + 0.004 theta omega + 0.034 omega^2,-0.002 1 + 0.013 omega + 0.008 theta omega + 0.069 omega^2,-1.5289256386e-03,-4.5147947349e-04,1.3185855366e-02,5.8975540597e-05,8.0357740167e-03,6.9225624049e-02
106507,2025-08-30 02:00:00,0.263384,24.297361,17.181838,1.010 omega + -0.003 theta omega + 0.040 omega^2,-0.001 theta + 0.021 omega + -0.006 theta omega + 0.089 omega^2,-7.5874427077e-05,-7.4313412321e-04,2.1398907160e-02,4.0257905717e-05,-6.4881352157e-03,8.9443271143e-02
106508,2025-08-30 02:05:00,0.022020,0.557092,0.394231,-0.007 1 + 0.977 omega + -0.012 omega^2,-0.013 1 + -0.047 omega + -0.001 theta omega + -0.027 omega^2,-1.3414487614e-02,-3.2360318473e-04,-4.6663405758e-02,-3.7019483278e-07,-7.4434579002e-04,-2.7068129594e-02
106509,2025-08-30 02:10:00,0.019196,0.660433,0.467194,-0.001 1 + 1.017 omega + -0.001 theta omega + -0.067 omega^2,-0.002 1 + 0.001 theta + 0.033 omega + -0.002 theta omega + -0.136 omega^2,-1.7327718661e-03,7.3057933153e-04,3.3459983752e-02,-3.3606431787e-05,-1.9600693138e-03,-1.3570453544e-01
106510,2025-08-30 02:15:00,0.030468,1.686325,1.192606,0.998 omega + -0.001 theta omega + 0.085 omega^2,-0.001 omega + -0.003 theta omega + 0.159 omega^2,-4.0667565151e-04,2.5451949488e-04,-9.6723593459e-04,-2.0341716974e-05,-2.8045081262e-03,1.5940233047e-01
106511,2025-08-30 02:20:00,nan,nan,nan,0.001 1 + 1.002 omega + 0.003 theta omega + -0.159 omega^2,0.002 1 + -0.001 theta + 0.006 omega + 0.007 theta omega + -0.330 omega^2,2.3993661895e-03,-5.2903624027e-04,6.4689512491e-03,-1.0181521196e-05,6.6647019231e-03,-3.3043409216e-01
106512,2025-08-30 02:25:00,0.030408,1.346053,0.952046,0.003 1 + 0.977 omega + 0.026 omega^2,0.006 1 + -0.039 omega + 0.001 theta omega + 0.048 omega^2,5.6309782717e-03,-1.6774890204e-04,-3.9332502044e-02,-5.5959825352e-07,7.5589035090e-04,4.7505064171e-02
106513,2025-08-30 02:30:00,nan,nan,nan,0.006 1 + 0.001 theta + 1.036 omega + 0.007 theta omega + -0.215 omega^2,0.012 1 + 0.001 theta + 0.072 omega + 0.014 theta omega + -0.419 omega^2,1.2097172039e-02,1.4894200364e-03,7.2047796639e-02,-2.5827313170e-06,1.3503120440e-02,-4.1858133244e-01
106514,2025-08-30 02:35:00,nan,nan,nan,-0.004 1 + 0.937 omega + -0.003 theta omega + -0.212 omega^2,-0.009 1 + -0.001 theta + -0.123 omega + -0.006 theta omega + -0.421 omega^2,-8.6589468639e-03,-7.7086832283e-04,-1.2291067355e-01,-1.1555771259e-05,-5.9012999950e-03,-4.2123301927e-01
106515,2025-08-30 02:40:00,0.025726,1.956600,1.383645,0.001 1 + 1.022 omega + -0.289 omega^2,0.001 1 + -0.001 theta + 0.043 omega + -0.548 omega^2,9.8635432614e-04,-7.0179094571e-04,4.3153566352e-02,6.8649288005e-05,-3.3080039966e-04,-5.4827915974e-01
106516,2025-08-30 02:45:00,0.033405,3.676785,2.599987,0.999 omega + 0.001 theta omega + -0.039 omega^2,-0.001 1 + -0.001 omega + 0.001 theta omega + -0.068 omega^2,-7.4718924292e-04,2.0850286744e-04,-5.8313141660e-04,-1.4377794890e-05,1.4036472792e-03,-6.8260111266e-02
106517,2025-08-30 02:50:00,0.036383,5.229444,3.697865,-0.006 1 + 1.126 omega + -0.480 omega^2,-0.013 1 + 0.249 omega + -0.001 theta omega + -0.948 omega^2,-1.2825879792e-02,-3.6301620133e-04,2.4931123915e-01,1.3393993107e-05,-5.0757054205e-04,-9.4781171188e-01
106518,2025-08-30 02:55:00,0.016820,1.409793,0.996945,-0.009 1 + 1.077 omega + -0.001 theta omega + -0.156 omega^2,-0.018 1 + 0.152 omega + -0.001 theta omega + -0.304 omega^2,-1.8243214104e-02,2.0477583138e-04,1.5224004251e-01,1.7841760791e-07,-1.1141062337e-03,-3.0382616024e-01
106519,2025-08-30 03:00:00,nan,nan,nan,0.002 1 + 0.977 omega + 0.002 theta omega + 0.017 omega^2,0.005 1 + -0.001 theta + -0.046 omega + 0.004 theta omega + 0.043 omega^2,4.6871568350e-03,-5.3679547538e-04,-4.6075651164e-02,7.4587881591e-06,3.9929668850e-03,4.2757430949e-02
106520,2025-08-30 03:05:00,0.034464,2.455261,1.736303,0.012 1 + 1.103 omega + 0.001 theta omega + 0.199 omega^2,0.024 1 + 0.209 omega + 0.002 theta omega + 0.404 omega^2,2.3767165943e-02,4.4602161362e-04,2.0923171843e-01,1.8562359911e-06,2.3736209215e-03,4.0381319998e-01
106521,2025-08-30 03:10:00,0.031503,1.863228,1.317690,-0.001 1 + 1.020 omega + 0.114 omega^2,-0.001 1 + 0.042 omega + 0.227 omega^2,-1.2560329412e-03,-3.5966070167e-04,4.1541663902e-02,-7.6364577596e-06,-2.9283907930e-04,2.2734945961e-01
106522,2025-08-30 03:15:00,0.037391,2.232243,1.578655,1.003 omega + 0.001 theta omega + -0.006 omega^2,0.001 1 + 0.010 omega + 0.001 theta omega + -0.005 omega^2,5.7460903178e-04,8.0540251674e-05,9.6616588712e-03,1.6040602412e-06,1.1247744088e-03,-5.0658617281e-03
106523,2025-08-30 03:20:00,0.020837,0.738795,0.522615,1.001 omega + 0.001 theta omega + 0.031 omega^2,0.002 omega + 0.001 theta omega + 0.087 omega^2,-3.3089081593e-04,-3.5551959282e-04,2.1832413197e-03,-1.9117222180e-05,1.0869557153e-03,8.7437607214e-02
106524,2025-08-30 03:25:00,0.013639,0.895216,0.633087,0.002 1 + 0.962 omega + -0.001 theta omega + 0.235 omega^2,0.003 1 + -0.062 omega + -0.002 theta omega + 0.410 omega^2,3.1527224343e-03,3.3185785498e-05,-6.2432260322e-02,4.2495125924e-06,-1.8338184053e-03,4.0965376120e-01
106525,2025-08-30 03:30:00,0.010809,0.189375,0.134126,-0.001 1 + 1.003 omega + 0.007 omega^2,-0.001 1 + 0.006 omega + 0.011 omega^2,-1.3611338688e-03,-2.6883591361e-04,5.7307784929e-03,-5.9998473803e-06,-1.7399904395e-04,1.1212860996e-02
106526,2025-08-30 03:35:00,0.043641,3.060902,2.164604,0.004 1 + 1.028 omega + 0.001 theta omega + 0.032 omega^2,0.008 1 + 0.055 omega + 0.002 theta omega + 0.060 omega^2,7.6562199163e-03,2.0730310255e-04,5.5477399937e-02,-1.2451516516e-06,1.7536247453e-03,5.9828765383e-02
