Combo_Index,sigma,tournament_selection_n,parsimony,ncycles_per_iteration,population_size,populations,Mean_RMSE,Num_Success,Num_Total
1,5,30,0.001,100,50,50,2.8e-05,300,300
26,10,30,0.0,100,100,30,4.5e-05,300,300
60,5,10,0.01,100,100,30,4.5e-05,297,300
16,10,10,0.0,300,100,30,4.8e-05,299,300
43,5,30,0.1,100,50,30,6e-05,299,300
24,10,20,0.001,500,100,30,7.4e-05,300,300
34,5,10,0.0,300,100,30,8.8e-05,298,300
54,5,30,0.001,500,100,30,8.8e-05,299,300
38,5,30,0.001,100,50,20,8.9e-05,300,300
14,5,10,0.1,100,100,30,0.00011,300,300
52,5,20,0.001,100,100,50,0.000113,297,300
20,15,20,0.1,500,50,20,0.000121,294,300
36,5,10,0.001,500,75,50,0.000123,297,300
48,10,20,0.1,500,50,20,0.000131,298,300
42,5,20,0.0,300,50,50,0.00014,298,300
58,5,10,0.0,500,50,50,0.000142,300,300
40,5,30,0.0,300,75,50,0.00015,294,300
59,15,10,0.001,300,75,30,0.000152,300,300
33,5,10,0.0,100,75,30,0.000152,300,300
56,10,30,0.0,300,75,50,0.000154,296,300
4,5,20,0.001,100,75,50,0.000162,296,300
39,5,20,0.1,100,75,50,0.000165,300,300
23,10,20,0.01,500,75,30,0.000187,298,300
28,10,20,0.01,500,50,50,0.000203,296,300
27,15,20,0.1,500,75,20,0.000207,298,300
46,10,30,0.1,100,75,50,0.000213,299,300
47,15,10,0.1,100,50,30,0.000235,297,300
9,10,30,0.0,500,50,50,0.000241,294,300
49,15,10,0.0,300,50,30,0.000241,296,300
53,10,10,0.0,100,50,30,0.00025,297,300
37,15,30,0.1,100,100,50,0.000254,295,300
51,10,30,0.001,300,50,30,0.000256,299,300
30,10,30,0.0,300,50,50,0.000264,296,300
5,15,10,0.0,300,100,20,0.000266,297,300
10,15,20,0.0,500,50,20,0.000273,298,300
29,15,30,0.01,100,50,50,0.000286,298,300
2,5,30,0.001,100,75,20,0.000345,299,300
12,15,10,0.001,100,75,50,0.000345,298,300
35,15,20,0.0,300,100,20,0.000371,298,300
45,10,20,0.001,100,100,20,0.00039,300,300
3,10,30,0.1,100,50,20,0.000463,296,300
32,5,10,0.01,100,100,20,0.000541,299,300
22,10,20,0.1,100,100,20,0.000544,296,300
21,10,30,0.001,100,100,20,0.000557,296,300
15,15,30,0.01,500,50,20,0.000558,296,300
11,15,30,0.001,300,50,50,0.000732,297,300
44,5,30,0.01,300,75,20,0.001257,299,300
6,10,30,0.0,100,100,20,0.001298,298,300
25,5,10,0.0,100,50,20,0.001511,295,300
17,5,10,0.001,100,75,30,0.001916,298,300
8,10,30,0.0,100,75,20,0.002009,292,300
50,5,10,0.0,500,50,20,0.002235,295,300
57,15,30,0.001,300,50,20,0.00327,294,300
18,15,20,0.0,100,50,20,0.003689,294,300
7,5,20,0.01,100,100,20,0.004466,298,300
41,10,10,0.1,300,75,20,0.013485,294,300
19,5,20,0.0,100,50,20,0.026947,297,300
31,5,30,0.0,500,50,30,0.336232,297,300
55,5,10,0.1,300,100,20,0.728075,297,300
13,10,20,0.01,300,100,50,11.975995,297,300
