Combo_Index,sigma,tournament_selection_n,parsimony,ncycles_per_iteration,population_size,populations,Mean_RMSE,Num_Success,Num_Total
1,0,10,0.0,300,75,20,0.0,300,300
5,0,10,0.1,100,50,30,0.0,300,300
14,0,30,0.0,100,75,20,0.0,300,300
9,0,30,0.1,100,75,20,0.0,300,300
15,0,10,0.01,100,50,30,0.0,300,300
22,0,20,0.0,500,100,30,0.0,300,300
23,0,20,0.01,100,50,30,0.0,300,300
20,0,30,0.0,500,75,50,0.0,300,300
25,0,20,0.001,300,100,50,0.0,300,300
26,0,20,0.0,500,50,30,0.0,300,300
27,0,10,0.01,100,50,20,0.0,300,300
24,0,20,0.001,300,50,50,0.0,300,300
21,0,30,0.01,500,100,20,0.0,300,300
39,0,20,0.0,300,50,20,0.0,300,300
40,0,20,0.1,300,50,50,0.0,300,300
34,0,20,0.001,300,75,20,0.0,300,300
41,0,20,0.0,300,75,50,0.0,300,300
42,0,10,0.01,500,75,20,0.0,300,300
43,0,20,0.001,300,100,30,0.0,300,300
44,0,20,0.01,100,75,20,0.0,300,300
49,0,30,0.01,100,100,30,0.0,300,300
50,0,20,0.1,100,100,50,0.0,299,300
58,0,10,0.1,100,100,30,0.0,300,300
57,0,20,0.01,300,50,50,0.0,300,300
46,0,10,0.1,100,75,30,0.0,300,300
2,0,10,0.001,300,50,20,1e-06,300,300
51,0,30,0.001,500,100,20,1e-06,300,300
37,0,10,0.0,300,100,50,1e-06,300,300
13,0,10,0.01,300,50,20,2e-06,300,300
36,0,30,0.1,500,75,30,3e-06,300,300
12,0,20,0.01,300,50,20,3e-06,300,300
7,0,20,0.01,300,75,20,3e-06,300,300
59,0,30,0.0,100,100,20,5e-06,300,300
45,0,10,0.1,500,75,50,5e-06,299,300
31,0,30,0.001,100,50,30,5e-06,300,300
16,0,30,0.0,100,50,30,8e-06,300,300
3,0,30,0.1,500,50,30,8e-06,300,300
60,0,10,0.0,100,100,30,9e-06,299,300
53,0,30,0.0,300,50,20,9e-06,299,300
32,0,20,0.01,500,75,30,9e-06,300,300
17,0,10,0.1,100,75,50,1e-05,300,300
38,0,10,0.01,500,50,30,1.1e-05,300,300
11,0,10,0.001,100,50,50,1.2e-05,300,300
19,0,20,0.001,300,50,20,1.5e-05,300,300
47,0,10,0.0,500,100,50,1.6e-05,300,300
6,0,30,0.0,500,75,20,2.3e-05,300,300
10,0,30,0.001,300,100,50,2.9e-05,300,300
56,0,10,0.01,300,75,20,3e-05,300,300
48,0,20,0.01,500,100,50,3.1e-05,300,300
29,0,10,0.1,500,75,30,3.7e-05,300,300
4,0,30,0.01,300,50,30,3.9e-05,300,300
33,0,30,0.001,300,100,30,4.2e-05,300,300
54,0,30,0.1,100,50,30,4.2e-05,300,300
18,0,30,0.1,300,100,50,5.5e-05,300,300
35,0,10,0.01,100,100,30,5.6e-05,300,300
52,0,30,0.0,500,50,20,6.1e-05,299,300
8,0,10,0.01,500,75,50,9.1e-05,299,300
55,0,20,0.01,100,75,30,0.000129,298,300
28,0,10,0.0,100,100,20,0.000599,299,300
30,0,20,0.1,100,100,20,0.014912,300,300
