chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef
924,924,300,(x0 - -0.9138989188862533) * (x0 * (x0 - x0)),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3081,3081,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3083,3083,300,(0.8899262097982801 + (x1 + (x1 * -0.48059600468509867))) * (x0 - x0),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3086,3086,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3090,3090,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3091,3091,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
918,918,300,(x0 + (x1 - x0)) * (x1 * (x1 + x0)),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,,,,,,,1.0,,1.0,
2428,2428,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
923,923,300,(x1 - x1) * x1,0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3080,3080,300,(-0.7093906966562682 * (0.44293996350780934 + x1)) * (x1 - x1),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
925,925,300,((x1 - x0) - x1) * (x0 - x0),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
926,926,300,((x1 - x1) * 0.02640630807054465) * (x0 - (x1 * x0)),0.0,11,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1994,1994,300,(x1 - x1) * x1,0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1995,1995,300,(x0 - x0) + (x1 - x1),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1996,1996,300,(x0 - x0) * ((2.088674119713106 + x1) * x0),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1997,1997,300,((x0 - x0) * -0.9845335396671205) * x1,0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2001,2001,300,(x1 - x1) * -0.9000077255217026,0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2002,2002,300,(x1 - x1) * (x0 * 1.0870087962349275),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
415,415,300,(x1 + (-0.7603407902360351 * x1)) * (x1 - x1),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2430,2430,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
411,411,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
410,410,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
2368,2368,300,(x0 - x0) * (x0 + -0.9954678525583076),0.0,7,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
3162,3162,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1934,1934,300,x1 - x1,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1933,1933,300,x0 - x0,0.0,3,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1931,1931,300,(x0 - x0) * ((x0 * x1) - x0),0.0,9,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
1930,1930,300,x0 * (x1 - x1),0.0,5,True,0.0,0.0,3.261276911011704e-12,1.6443257824289306e-12,0.0,,,,,,,,,
