chunk_id,t_start,n_points,equation,loss,complexity,sim_ok,rmse_omega,rmse_omega_std,rmse_theta,rmse_theta_std,const,omega_coef,theta_coef,omega_theta_coef,omega2_coef,theta2_coef,omega3_coef,theta2_omega_coef,theta_omega2_coef,theta3_coef
0,0,3600,(x1 * -0.009090466835461575) + (0.0055737574497438025 - (x0 * 1.5386259669890016e-5)),1.811796612848789e-13,9,True,0.0001074117049572,0.0001073727497749,0.0684900087943471,0.0684779970474043,0.0055737574497438,-0.0090904668354615,-1.5386259669890016e-05,,,,,,,
1,1,3600,x1 - (x1 * 1.0022526185270477),2.4122990765790137e-22,5,True,2.442266851160319e-10,1.7398657494505678e-10,0.0001657197336552,3.955256882293984e-05,,-0.0022526185270477,,,,,,,,
2,2,3600,x1 * -0.0014926858152040702,4.371600494923159e-22,3,True,8.831754800132106e-09,5.566136914609137e-09,1.8965446075395377e-05,7.804914407662165e-06,,-0.001492685815204,,,,,,,,
3,3,3600,-9.249728533024942e-15,2.6172104175753678e-28,1,True,1.4063634755188767e-11,6.3923280869296826e-12,3.0931728771132325e-08,1.5180691006762102e-08,-9.249728533024942e-15,,,,,,,,,
4,4,3600,-2.2931100941195036e-20,1.9177694413586843e-38,1,True,4.5544121416080803e-17,2.320078137231437e-17,3.609044565385228e-11,1.8054544585069928e-11,-2.293110094119504e-20,,,,,,,,,
5,5,3600,1.5881867761018131e-22,2.5223372357846707e-44,1,True,3.300296512693584e-19,1.6504920491736041e-19,3.608954109201576e-11,1.805525070346024e-11,1.5881867761018131e-22,,,,,,,,,
6,6,3600,((x1 * -0.009090466620486654) + ((x0 * -1.5386250462525074e-5) - -1.437420288419298)) + -1.4429940325216013,6.887697042147239e-13,11,True,0.0002086565936824,0.0002086560283512,0.1327676196222688,0.1327662801567521,-0.0055737441023032,-0.0090904666204866,-1.5386250462525074e-05,,,,,,,
7,7,3600,x1 * -0.002252617154145986,9.501244772956333e-22,3,True,5.630140372014248e-10,4.0121282440643724e-10,0.0003287363547759,7.844079176910373e-05,,-0.0022526171541459,,,,,,,,
8,8,3600,(-0.4645587618038457 * (0.43870764862560424 - 0.4680577107291667)) * (-0.17626183512200064 * x1),6.769889168329898e-23,9,True,2.4567736040127436e-09,1.778901987226271e-09,5.1090908775571535e-06,1.8809944387557548e-06,,-0.0024032998946929,,,,,,,,
9,9,3600,1.8361726785747762e-14,1.0306945757881999e-27,1,True,2.7905672321326555e-11,1.268828209594125e-11,6.137574354912337e-08,3.0119908961600326e-08,1.836172678574776e-14,,,,,,,,,
10,10,3600,-4.336808689942019e-19,5.7635271683717305e-36,1,True,2.7404998857543245e-15,5.807343478538463e-16,4.1751626790873626e-11,2.10918720372894e-11,-4.33680868994202e-19,,,,,,,,,
11,11,3600,x1 * x1,9.533954136506392e-56,3,True,6.415930034751947e-25,3.2086189891895144e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,1.0,,,,,
12,12,3600,((x0 * -1.538625046434071e-5) + 0.005573744102844937) - (x1 * 0.009090466621215274),6.887697042185572e-13,9,True,0.0002086565864764,0.0002086560211404,0.1327676232590774,0.1327662837853269,0.0055737441028449,-0.0090904666212152,-1.538625046434071e-05,,,,,,,
13,13,3600,x1 - (x1 * 1.0022526178933155),9.501269965586545e-22,5,True,5.209276465719501e-10,3.711755090980529e-10,0.0003288215519841,7.847145409556982e-05,,-0.0022526178933155,,,,,,,,
14,14,3600,x1 * -0.0022452979751975354,1.5983475708016146e-25,3,True,1.2579069039341044e-10,8.971585430372016e-11,1.6208343273929942e-07,7.547452336924544e-08,,-0.0022452979751975,,,,,,,,
15,15,3600,-1.836172662031164e-14,1.0306945757882002e-27,1,True,2.7905672534495858e-11,1.2688281981620304e-11,6.137574356198374e-08,3.0119908959771787e-08,-1.8361726620311643e-14,,,,,,,,,
16,16,3600,-5.4522452023575245e-19,4.805961917591764e-36,1,True,1.0549053351434734e-15,5.219641074520351e-16,3.8981527142241927e-11,1.926160001350765e-11,-5.4522452023575245e-19,,,,,,,,,
17,17,3600,(((x1 + x1) + x1) * x1) * (0.9100247749691817 * -0.5089692300555245),1.8407934276566903e-55,11,True,8.915587071717622e-25,4.4587183572782e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,-1.3895238271425492,,,,,
18,18,3600,(((x0 + 0.7062352538864572) * -1.5386250507667034e-5) + -0.0055628778075409654) - (x1 * 0.009090466653449786),6.887697042370882e-13,11,True,0.0002086567245581,0.0002086561592829,0.1327676899207843,0.1327663504336012,-0.0055737441200746,-0.0090904666534497,-1.5386250507667034e-05,,,,,,,
19,19,3600,(x1 + x1) * -0.0011263087255643789,9.501211585608461e-22,5,True,5.461045550521092e-10,3.891443880739009e-10,0.0003287705851797,7.845311108623372e-05,,-0.0022526174511287,,,,,,,,
20,20,3600,(0.8121438756933115 + -0.8145132558035016) * x1,4.065034843017934e-23,5,True,1.924298907751073e-09,1.389100997890708e-09,4.029966897072319e-06,1.4852606666086171e-06,,-0.00236938011019,,,,,,,,
21,21,3600,x1 * x1,1.367847529951386e-27,3,True,5.962461901811671e-11,1.4252299689814756e-11,1.1302024636151973e-07,6.404620732488061e-08,,,,,1.0,,,,,
22,22,3600,x1 * ((1.2790383651859505 + (x1 - 0.6760096544223895)) + -0.2831400261982197),3.180465137534758e-29,9,True,0.3139640606542606,0.0586842657931525,629.488099187747,331.2151501645901,,0.3198886845653413,,,1.0,,,,,
23,23,3600,(-0.36309575459030907 + (x1 * x0)) * (x1 * x1),1.256942469812846e-56,9,True,2.3293426153632075e-25,1.164906918669096e-25,3.608954109201576e-11,1.805525070346024e-11,,,,,-0.363095754590309,,,,,
24,24,3600,((x1 * -0.009090466606024252) + 0.0055737440879087205) + (x0 * -1.538625042851773e-5),6.887697042411408e-13,9,True,0.000208656800613,0.0002086562351948,0.1327676110272451,0.132766270726729,0.0055737440879087,-0.0090904666060242,-1.538625042851773e-05,,,,,,,
25,25,3600,x1 * -0.002252618320386257,9.50144877999021e-22,3,True,4.966115868161423e-10,3.538211351782225e-10,0.0003288707768656,7.848917062118123e-05,,-0.0022526183203862,,,,,,,,
