Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
0,2024-08-15 00:00:00,0.07521010,0,-1.35208252e-03,1.33677109e-01,-4.74764707e-02
1,2024-08-15 00:25:00,0.08463525,0,5.27384698e-04,8.34878169e-02,2.80473711e-02
2,2024-08-15 00:45:00,0.08227160,0,-6.01180765e-04,7.34871629e-02,-3.71322498e-02
3,2024-08-15 00:50:00,0.06428046,0,2.79115228e-04,6.19801728e-02,-1.12399929e-03
4,2024-08-15 00:55:00,0.08986835,0,6.82624379e-05,7.32382616e-02,6.85973649e-02
5,2024-08-15 01:00:00,0.07659659,0,5.01992225e-04,9.40902999e-02,-4.44315604e-03
6,2024-08-15 01:05:00,0.04640610,0,-1.80517263e-03,4.73371313e-02,-1.17718071e-01
7,2024-08-15 01:10:00,0.07648389,0,-8.75887266e-04,8.50204626e-02,-9.19007025e-02
8,2024-08-15 01:15:00,0.03832625,0,-1.95101478e-03,3.67228725e-02,-1.44745706e-01
9,2024-08-15 01:20:00,0.06511085,0,7.56202717e-04,8.98741897e-02,-1.31890679e-02
10,2024-08-15 01:25:00,0.07014811,0,5.95813891e-04,6.26098548e-02,7.57804178e-02
11,2024-08-15 01:30:00,0.04196259,0,-2.44548522e-03,6.82962976e-02,-1.53001080e-01
12,2024-08-15 01:35:00,0.07185546,0,-3.62468736e-04,6.62904910e-02,-4.54521663e-02
13,2024-08-15 01:40:00,0.06883846,0,-1.65459670e-03,6.92324955e-02,-1.44054329e-01
14,2024-08-15 01:45:00,0.08583571,0,-1.07878616e-03,9.42775815e-02,-9.67008254e-02
15,2024-08-15 01:50:00,0.10522074,0,6.82562789e-04,9.60413069e-02,3.14046344e-02
16,2024-08-15 01:55:00,0.12335403,0,5.28081938e-04,1.02613307e-01,8.75576989e-02
17,2024-08-15 02:00:00,0.10889500,0,4.27923838e-04,7.69422305e-02,-4.89198003e-02
18,2024-08-15 02:05:00,0.07871906,0,3.70339099e-04,7.01475069e-02,5.25911296e-02
