Chunk_Index,Chunk_Start_Time,RMSE_Omega,Is_Unstable,P0_Effective,Omega_Std,Omega_Mean
0,2024-08-15 01:00:00,0.10094653,0,-2.25319301e-03,8.75520400e-02,-5.13718628e-02
1,2024-08-15 02:00:00,0.06869215,0,5.30039925e-04,6.26297249e-02,2.32228149e-02
2,2024-08-15 03:00:00,0.06358063,0,5.60184986e-04,6.55453778e-02,1.30478495e-02
3,2024-08-15 04:00:00,0.07898795,0,-2.19441535e-03,9.69848781e-02,-3.89195384e-02
4,2024-08-15 05:00:00,0.06310069,0,3.51973798e-05,6.54018979e-02,-1.45133368e-02
5,2024-08-15 06:00:00,0.06466973,0,-4.54889507e-04,5.86325697e-02,-1.67966340e-02
6,2024-08-15 07:00:00,0.04239866,0,4.00345756e-04,5.03056305e-02,1.17081250e-02
7,2024-08-15 08:00:00,0.04770997,0,1.11599174e-03,4.10947461e-02,2.96687198e-02
8,2024-08-15 09:00:00,0.03611392,0,9.96740628e-04,3.11110413e-02,2.48137255e-02
9,2024-08-15 10:00:00,0.03322284,0,6.53383467e-04,3.52378081e-02,1.41963001e-02
10,2024-08-15 11:00:00,0.04562951,0,5.67174497e-05,4.57059403e-02,-5.75802235e-03
11,2024-08-15 12:00:00,0.05600176,0,5.20390609e-04,5.96774212e-02,8.85318581e-03
12,2024-08-15 13:00:00,0.07644333,0,2.62468272e-04,7.69129798e-02,1.05329227e-02
13,2024-08-15 14:00:00,0.04678557,0,2.25185773e-04,4.87534177e-02,1.05992466e-02
14,2024-08-15 15:00:00,0.10730270,0,-1.78010094e-03,8.35210075e-02,-5.44447090e-02
15,2024-08-15 16:00:00,0.05084179,0,4.19999935e-04,5.67561433e-02,1.12707533e-02
16,2024-08-15 17:00:00,0.07336412,0,1.60231333e-03,7.80211826e-02,3.17318324e-02
17,2024-08-15 18:00:00,0.10899419,0,2.41719809e-03,7.12013494e-02,6.99208363e-02
18,2024-08-15 19:00:00,0.08293374,0,3.26440059e-03,4.62450689e-02,8.00038920e-02
19,2024-08-15 20:00:00,0.06409157,0,1.20502141e-03,6.78927312e-02,2.22444179e-02
20,2024-08-15 21:00:00,0.06665127,0,-2.44722042e-04,7.15332946e-02,4.17044031e-03
21,2024-08-15 22:00:00,0.05877344,0,6.72452417e-05,5.87837032e-02,3.08082726e-03
22,2024-08-15 23:00:00,0.10661456,0,2.50418154e-03,6.00323673e-02,8.02682472e-02
23,2024-08-16 00:00:00,0.07474526,0,2.77201806e-03,6.25365046e-02,5.64560749e-02
24,2024-08-16 01:00:00,0.06174122,0,-2.24968806e-04,6.04854277e-02,-3.59772028e-03
25,2024-08-16 02:00:00,0.08319932,0,4.91992734e-04,8.08242109e-02,3.16544454e-02
26,2024-08-16 03:00:00,0.07488087,0,9.64167997e-04,5.87218607e-02,2.99498018e-02
27,2024-08-16 04:00:00,0.05876797,0,-1.07465977e-03,7.10128539e-02,-1.41881731e-02
28,2024-08-16 05:00:00,0.10733222,0,3.01398827e-03,5.00964113e-02,9.16079104e-02
29,2024-08-16 06:00:00,0.06036083,0,2.36902928e-03,6.91116757e-02,4.29419726e-02
30,2024-08-16 07:00:00,0.07341575,0,-5.45586716e-04,7.56664311e-02,-3.89702135e-03
31,2024-08-16 08:00:00,0.10320020,0,3.57227342e-03,8.78646070e-02,7.40319073e-02
32,2024-08-16 09:00:00,0.10479214,0,7.18687511e-04,9.90449797e-02,2.72449858e-02
33,2024-08-16 10:00:00,0.14994907,0,4.38558625e-03,4.78407546e-02,1.28823458e-01
34,2024-08-16 11:00:00,0.08966097,0,4.49609931e-03,4.46246633e-02,1.08962572e-01
35,2024-08-16 12:00:00,0.07165792,0,2.86995465e-03,5.68981705e-02,7.13275520e-02
36,2024-08-16 13:00:00,0.11913226,0,3.26361735e-03,6.02456267e-02,9.21352091e-02
37,2024-08-16 14:00:00,0.10731141,0,2.61514524e-03,8.11017649e-02,7.07286420e-02
38,2024-08-16 15:00:00,0.09612272,0,2.76798092e-03,1.42287703e-01,2.89363242e-02
39,2024-08-16 16:00:00,0.06873672,0,1.70020797e-04,6.71027493e-02,1.10824918e-02
40,2024-08-16 17:00:00,0.08886970,0,3.97169050e-03,1.03897327e-01,7.58306788e-02
41,2024-08-16 18:00:00,0.10206698,0,-3.60861317e-04,1.02465835e-01,2.55628754e-02
42,2024-08-16 19:00:00,0.12117808,0,3.82818335e-03,5.70957590e-02,1.02845359e-01
43,2024-08-16 20:00:00,0.07788419,0,2.09622569e-04,7.59091492e-02,9.31931625e-03
44,2024-08-16 21:00:00,0.07074384,0,7.62110275e-04,6.68324460e-02,3.06261261e-02
45,2024-08-16 23:00:00,0.12812542,0,9.24975516e-04,1.29271166e-01,4.04288503e-02
46,2024-08-17 00:00:00,0.09048594,0,-1.81888805e-03,7.94608253e-02,-4.70274067e-02
47,2024-08-17 01:00:00,0.06714503,0,-3.12501266e-04,7.47102850e-02,3.26196515e-03
48,2024-08-17 02:00:00,0.06528552,0,1.82515053e-04,6.37550421e-02,1.59254191e-02
49,2024-08-17 03:00:00,0.06512918,0,-1.03858126e-03,7.44722333e-02,-2.33597558e-02
50,2024-08-17 04:00:00,0.11403046,0,-2.77277806e-03,9.11101381e-02,-6.24740343e-02
51,2024-08-17 05:00:00,0.10884917,0,-1.50600036e-03,7.53495775e-02,-6.42687594e-02
52,2024-08-17 06:00:00,0.07248364,0,-2.04011511e-03,6.75291788e-02,-3.78427855e-02
53,2024-08-17 07:00:00,0.11030120,0,2.45335555e-03,6.59899737e-02,7.26547454e-02
54,2024-08-17 08:00:00,0.12760048,0,3.60960769e-03,6.28091748e-02,1.09326105e-01
55,2024-08-17 09:00:00,0.06263138,0,1.80868554e-03,7.49473936e-02,3.41138218e-02
56,2024-08-17 10:00:00,0.09936102,0,1.56458327e-04,9.16787586e-02,3.45384713e-02
