Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
0,2024-08-15 00:00:00,0.000916,0.017605,0.012466,-3.2129,5968,0,1.00000omega,-0.059691 + -0.05687theta + -0.01368omega + -0.09118theta^2 + 0.05395theta omega + 0.00926omega^2 + -0.01502theta^3 + 0.00934theta^2 omega + 0.00506theta omega^2 + -0.05837omega^3
1,2024-08-15 00:25:00,0.000295,0.009545,0.006752,-3.3763,5911,0,1.00000omega,-0.854581 + 0.20229theta + 0.00245omega + 0.41348theta^2 + -0.23573theta omega + 0.06967omega^2 + -0.16399theta^3 + -0.01199theta^2 omega + 0.17228theta omega^2 + 0.02007omega^3
2,2024-08-15 00:45:00,0.000337,0.009997,0.007073,-2.4,9093,0,1.00000omega,-0.113861 + -0.26968theta + -0.38732omega + 0.00610theta^2 + 0.05882theta omega + 0.00848omega^2 + -0.00329theta^3 + 0.01786theta^2 omega + 0.00356theta omega^2 + -0.00991omega^3
3,2024-08-15 00:50:00,0.000224,0.005404,0.003825,-1.2731,5648,0,1.00000omega,-1.316791 + -3.02361theta + 0.04974omega + 1.34200theta^2 + 0.56450theta omega + 0.67536omega^2 + 0.16481theta^3 + -0.52308theta^2 omega + -0.07298theta omega^2 + 0.07059omega^3
4,2024-08-15 00:55:00,,,,547.909,1225,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
5,2024-08-15 01:00:00,0.000396,0.012097,0.008559,-2.8229,7177,0,1.00000omega,0.028341 + 0.03023theta + -0.24259omega + -0.01281theta^2 + -0.26640theta omega + -0.02881omega^2 + -0.19099theta^3 + -0.00320theta^2 omega + -0.01109theta omega^2 + 0.01757omega^3
6,2024-08-15 01:05:00,,,,26036.2949,1378,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
7,2024-08-15 01:10:00,0.000883,0.016267,0.011519,5.2143,9911,0,1.00000omega,0.021481 + -0.00102theta + -0.08493omega + 0.00018theta^2 + -0.00112theta omega + 0.03855omega^2 + 0.00406theta^3 + 0.01632theta^2 omega + -0.03749theta omega^2 + -0.01774omega^3
8,2024-08-15 01:15:00,,,,48844.1953,1262,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
9,2024-08-15 01:20:00,0.000464,0.019882,0.014063,0.591,7531,0,1.00000omega,-0.119251 + -0.74222theta + -0.00464omega + 0.01877theta^2 + -0.27562theta omega + 0.38957omega^2 + -0.00274theta^3 + 0.00417theta^2 omega + -0.00350theta omega^2 + -0.00677omega^3
10,2024-08-15 01:25:00,0.000335,0.011523,0.008152,3.1752,9999,0,1.00000omega,-0.027871 + 0.03779theta + 0.01461omega + -0.00084theta^2 + -0.00253theta omega + -0.00074omega^2 + -0.00303theta^3 + 0.00209theta^2 omega + -0.00059theta omega^2 + -0.00044omega^3
11,2024-08-15 01:30:00,,,,1450.6702,886,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
12,2024-08-15 01:35:00,0.000431,0.011539,0.008165,4.0934,5718,0,1.00000omega,0.014091 + 0.01371theta + -0.02994omega + -0.00134theta^2 + -0.03221theta omega + 0.01569omega^2 + 0.00074theta^3 + -0.00015theta^2 omega + 0.00287theta omega^2 + -0.00105omega^3
13,2024-08-15 01:40:00,,,,1998.349,935,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
14,2024-08-15 01:45:00,,,,80.6402,1684,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
15,2024-08-15 01:50:00,0.000497,0.011564,0.008184,-2.1269,5184,0,1.00000omega,-0.180971 + -1.10926theta + 0.08285omega + 0.06674theta^2 + 0.52572theta omega + -0.03123omega^2 + -0.00039theta^3 + 0.09684theta^2 omega + -0.08726theta omega^2 + 0.03471omega^3
16,2024-08-15 01:55:00,,,,1558.8048,1043,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
