Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
11916,2024-09-25 12:55:00,nan,nan,nan,11140.5459,1236,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11917,2024-09-25 13:00:00,nan,nan,nan,686517.5000,1416,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11918,2024-09-25 13:05:00,nan,nan,nan,267019.0000,1093,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11919,2024-09-25 13:10:00,nan,nan,nan,306.5796,1352,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11920,2024-09-25 13:15:00,nan,nan,nan,133.5105,1756,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11921,2024-09-25 13:20:00,0.000817,0.014715,0.010421,-3.1669,9999,0,1.00000omega,-1.680061 + -1.54916theta + 0.67331omega + 0.02641theta^2 + 0.49278theta omega + 0.57392omega^2 + 0.00846theta^3 + -0.00086theta^2 omega + -0.00260theta omega^2 + 0.00460omega^3
11922,2024-09-25 13:25:00,nan,nan,nan,230916.1406,861,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11923,2024-09-25 13:30:00,nan,nan,nan,834.6475,1043,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11924,2024-09-25 13:35:00,nan,nan,nan,794.5912,1222,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11925,2024-09-25 13:40:00,0.000380,0.010493,0.007425,-1.9541,4325,0,1.00000omega,0.028081 + -0.31324theta + 0.00456omega + 0.23783theta^2 + 0.13400theta omega + -0.00340omega^2 + -0.00738theta^3 + -0.01371theta^2 omega + -0.00245theta omega^2 + 0.01993omega^3
11926,2024-09-25 13:45:00,0.000698,0.022948,0.016234,9.7411,9999,1,1.00000omega,-0.020221 + 0.01285theta + -0.00204omega + -0.01265theta^2 + 0.01953theta omega + 0.00133omega^2 + -0.00236theta^3 + 0.00003theta^2 omega + 0.00338theta omega^2 + 0.00043omega^3
11927,2024-09-25 13:50:00,0.000555,0.012297,0.008704,-4.1008,9677,1,1.00000omega,0.036121 + -0.31077theta + 0.07495omega + 0.06610theta^2 + 0.34154theta omega + -0.25229omega^2 + 0.00269theta^3 + -0.08600theta^2 omega + -0.03426theta omega^2 + 0.21030omega^3
11928,2024-09-25 13:55:00,nan,nan,nan,23232.7695,1137,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11929,2024-09-25 14:00:00,0.000504,0.009124,0.006461,3.7152,9999,0,1.00000omega,0.014951 + 0.00693theta + 0.00684omega + 0.00082theta^2 + -0.00273theta omega + 0.00106omega^2 + -0.00187theta^3 + -0.00324theta^2 omega + -0.00138theta omega^2 + 0.00144omega^3
11930,2024-09-25 14:05:00,nan,nan,nan,699.7357,850,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11931,2024-09-25 14:10:00,0.000437,0.012086,0.008552,-4.3589,6078,0,1.00000omega,-0.234711 + -1.66394theta + 0.01921omega + -0.01879theta^2 + 0.03373theta omega + 0.06836omega^2 + 0.11851theta^3 + -0.00318theta^2 omega + 0.48485theta omega^2 + -0.00136omega^3
11932,2024-09-25 14:15:00,0.000589,0.013753,0.009733,7.1057,9999,0,1.00000omega,-0.038791 + -0.00931theta + -0.03888omega + -0.00286theta^2 + -0.00526theta omega + -0.00221omega^2 + -0.00016theta^3 + -0.00057theta^2 omega + -0.00130theta omega^2 + -0.00098omega^3
11933,2024-09-25 14:20:00,0.000505,0.014553,0.010297,-0.7961,9999,0,1.00000omega,-0.019971 + -1.56405theta + 0.08974omega + -0.01970theta^2 + -0.67434theta omega + 0.14364omega^2 + 0.08255theta^3 + 0.19091theta^2 omega + -0.01483theta omega^2 + -0.00698omega^3
11934,2024-09-25 14:25:00,0.000544,0.010565,0.007481,-2.7156,9999,2,1.00000omega,0.095771 + 0.29528theta + 0.05191omega + 0.10731theta^2 + -0.04686theta omega + 0.06742omega^2 + -0.12129theta^3 + -0.20191theta^2 omega + -0.01519theta omega^2 + 0.01530omega^3
11935,2024-09-25 14:30:00,0.000431,0.011391,0.008061,-2.8406,9999,1,1.00000omega,-0.738231 + -1.31059theta + 0.53114omega + 0.02451theta^2 + 0.70801theta omega + 0.16083omega^2 + -0.03616theta^3 + -0.00105theta^2 omega + -0.00670theta omega^2 + -0.01348omega^3
11936,2024-09-25 14:35:00,0.001199,0.022171,0.015700,21.5903,9999,0,1.00000omega,0.024981 + -0.00041theta + 0.01591omega + -0.00128theta^2 + -0.01075theta omega + 0.00274omega^2 + 0.00008theta^3 + -0.00359theta^2 omega + -0.00825theta omega^2 + 0.00029omega^3
11937,2024-09-25 14:40:00,0.000848,0.010068,0.007144,18.1407,9999,0,1.00000omega,0.162461 + -0.03961theta + 0.13589omega + -0.01695theta^2 + -0.00128theta omega + 0.00288omega^2 + -0.00003theta^3 + -0.00022theta^2 omega + -0.00043theta omega^2 + 0.00006omega^3
11938,2024-09-25 14:45:00,nan,nan,nan,242.6892,1057,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11939,2024-09-25 14:50:00,0.004127,0.123639,0.087474,191.0689,1403,5,1.00000omega,-0.083441 + -0.02753theta + 0.01332omega + -0.00172theta^2 + -0.00525theta omega + -0.01018omega^2 + -0.00016theta^3 + 0.00037theta^2 omega + -0.00110theta omega^2 + 0.00578omega^3
11940,2024-09-25 14:55:00,0.001159,0.022221,0.015734,13.7136,9999,0,1.00000omega,0.011741 + -0.07160theta + -0.00547omega + 0.00407theta^2 + 0.01347theta omega + -0.00213omega^2 + -0.00013theta^3 + -0.00509theta^2 omega + -0.00281theta omega^2 + 0.00205omega^3
11941,2024-09-25 15:00:00,0.000482,0.012504,0.008848,-2.6027,6289,0,1.00000omega,-0.593541 + -0.69108theta + 0.04179omega + -0.01215theta^2 + 0.17455theta omega + 0.37635omega^2 + -0.00374theta^3 + 0.11575theta^2 omega + 0.07611theta omega^2 + -0.06120omega^3
11942,2024-09-25 15:05:00,nan,nan,nan,26288.3418,1328,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11943,2024-09-25 15:10:00,nan,nan,nan,89014.3516,825,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11944,2024-09-25 15:15:00,nan,nan,nan,70562.8438,1483,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11945,2024-09-25 15:20:00,nan,nan,nan,548695.6875,1716,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11946,2024-09-25 15:25:00,0.004955,0.686980,0.485781,107044.6094,2757,5,1.00000omega,0.005061 + 0.00271theta + 0.00131omega + -0.00001theta^2 + 0.00023theta omega + -0.00011omega^2 + 0.00000theta^3 + -0.00000theta^2 omega + 0.00001theta omega^2 + 0.00000omega^3
11947,2024-09-25 15:30:00,nan,nan,nan,1408724.2500,1489,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11948,2024-09-25 15:35:00,nan,nan,nan,430484.4375,1610,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11949,2024-09-25 15:40:00,nan,nan,nan,68126.2734,1373,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11950,2024-09-25 15:45:00,nan,nan,nan,1281561.2500,777,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11951,2024-09-25 15:50:00,nan,nan,nan,7444747.5000,905,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11952,2024-09-25 15:55:00,nan,nan,nan,36647.7930,1375,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11953,2024-09-25 16:00:00,nan,nan,nan,16527002.0000,976,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11954,2024-09-25 16:05:00,nan,nan,nan,8883970.0000,721,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11955,2024-09-25 16:10:00,nan,nan,nan,9865.4980,1228,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11956,2024-09-25 16:15:00,nan,nan,nan,172183.5938,1204,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11957,2024-09-25 16:20:00,nan,nan,nan,81284.3047,1348,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11958,2024-09-25 16:25:00,nan,nan,nan,675198.5625,1377,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11959,2024-09-25 16:30:00,nan,nan,nan,7012858.5000,815,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11960,2024-09-25 16:35:00,nan,nan,nan,4398020.0000,1774,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
11961,2024-09-25 16:40:00,nan,nan,nan,16149.0801,1347,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3
