Chunk_Index,Chunk_Start_Time,RMSE_Omega,RMSE_Theta,RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega
73040,2025-05-05 15:20:00,0.006231,0.091701,0.064992,-1.7608,1869,0,1.00000omega,-0.001661 + -0.00210theta + 0.00463omega + 0.00022theta^2 + 0.00273theta omega + 0.00587omega^2
73041,2025-05-05 15:25:00,0.005978,0.096970,0.068698,-0.4087,994,0,1.00000omega,-0.001221 + -0.00236theta + -0.00539omega + 0.00008theta^2 + -0.00043theta omega + -0.00181omega^2
73042,2025-05-05 15:30:00,0.004817,0.106791,0.075589,-3.0343,1277,0,1.00000omega,-0.039191 + -1.39400theta + -0.00714omega + 0.00244theta^2 + -0.02460theta omega + 0.05677omega^2
73043,2025-05-05 15:35:00,0.028269,1.552940,1.098276,-12829.8086,3251,0,1.00000omega,-0.033361 + -0.55703theta + 0.00415omega + 0.05748theta^2 + -0.06308theta omega + 0.01697omega^2
73044,2025-05-05 15:40:00,0.016206,0.479772,0.339444,-18707.9727,1271,0,1.00000omega,1.943091 + -1.44866theta + -0.05176omega + -4.79161theta^2 + 0.64797theta omega + -0.02048omega^2
73045,2025-05-05 15:45:00,0.006475,0.067839,0.048188,-1.3173,1344,0,1.00000omega,-0.013301 + -1.47801theta + -0.00657omega + -0.02224theta^2 + -0.00987theta omega + -0.02106omega^2
73046,2025-05-05 15:50:00,nan,nan,nan,15.8505,101,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73047,2025-05-05 15:55:00,0.005769,0.043243,0.030848,-2.1746,1613,0,1.00000omega,-0.030061 + -2.48075theta + 0.00468omega + -1.00289theta^2 + 0.41390theta omega + 0.44449omega^2
73048,2025-05-05 16:00:00,0.020459,0.124482,0.089203,-200259.7188,1141,0,1.00000omega,0.001541 + -0.00008theta + 0.00208omega + 0.00103theta^2 + 0.00171theta omega + 0.00273omega^2
73049,2025-05-05 16:05:00,0.007154,0.327026,0.231298,-11.6655,2761,0,1.00000omega,-0.002331 + -0.00045theta + 0.00359omega + 0.00021theta^2 + -0.00071theta omega + 0.00199omega^2
73050,2025-05-05 16:10:00,nan,nan,nan,178.7420,20,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73051,2025-05-05 16:15:00,0.004483,0.040772,0.029004,-2.6512,1413,0,1.00000omega,0.004151 + -1.09990theta + -0.00030omega + 0.00288theta^2 + -0.02578theta omega + 0.00623omega^2
73052,2025-05-05 16:20:00,nan,nan,nan,290.1121,45,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73053,2025-05-05 16:25:00,nan,nan,nan,456.4318,35,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73054,2025-05-05 16:30:00,0.006333,0.311755,0.220490,0.1347,3057,0,1.00000omega,-0.000651 + -0.00083theta + 0.00216omega + -0.00005theta^2 + 0.00096theta omega + -0.00122omega^2
73055,2025-05-05 16:35:00,nan,nan,nan,155.0608,35,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73056,2025-05-05 16:40:00,0.006395,0.052730,0.037559,-0.9136,1811,0,1.00000omega,0.001001 + -1.78266theta + 0.03433omega + -2.45549theta^2 + -0.08321theta omega + -0.00114omega^2
73057,2025-05-05 16:45:00,nan,nan,nan,31.8744,56,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73058,2025-05-05 16:50:00,0.029283,0.169172,0.121401,32.5353,58,5,1.00000omega,0.004861 + -0.34265theta + -0.00789omega + -0.00820theta^2 + 0.01261theta omega + 0.00158omega^2
73059,2025-05-05 16:55:00,0.006093,0.042637,0.030455,-1.7485,1178,0,1.00000omega,-0.095271 + -0.91118theta + -0.09677omega + 0.00480theta^2 + 0.80748theta omega + -0.47657omega^2
73060,2025-05-05 17:00:00,0.006286,0.102575,0.072668,-2.1096,767,0,1.00000omega,0.014221 + -0.49502theta + -0.00605omega + 0.00398theta^2 + 0.01556theta omega + 0.02577omega^2
73061,2025-05-05 17:05:00,0.006092,0.074436,0.052810,-1.7730,1062,1,1.00000omega,0.001041 + 0.00163theta + -0.00286omega + 0.00064theta^2 + -0.00083theta omega + 0.00635omega^2
73062,2025-05-05 17:10:00,0.007018,0.137916,0.097648,-2.6130,1504,0,1.00000omega,0.001761 + -0.25755theta + -0.00122omega + -0.05470theta^2 + -0.00259theta omega + 0.00391omega^2
73063,2025-05-05 17:15:00,0.007790,0.117002,0.082916,-1.3186,3084,0,1.00000omega,-0.000851 + 0.00164theta + -0.00379omega + 0.00032theta^2 + -0.00048theta omega + 0.00397omega^2
73064,2025-05-05 17:20:00,0.005792,0.126725,0.089702,-2.4108,1744,0,1.00000omega,0.011031 + -0.76756theta + 0.05417omega + 0.21339theta^2 + -0.00837theta omega + -0.08676omega^2
73065,2025-05-05 17:25:00,nan,nan,nan,126.6629,48,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73066,2025-05-05 17:30:00,0.007727,0.822321,0.581494,-319131746735755591095834116096.0000,2998,3,1.00000omega,-0.014821 + -0.00014theta + -0.00054omega + 0.00001theta^2 + -0.00015theta omega + -0.00025omega^2
73067,2025-05-05 17:35:00,0.008099,0.265973,0.188158,-1.2826,1956,0,1.00000omega,-0.001961 + 0.00122theta + -0.00064omega + 0.00025theta^2 + -0.00070theta omega + -0.00138omega^2
73068,2025-05-05 17:40:00,0.014464,0.246030,0.174270,14.7869,2224,0,1.00000omega,-0.000191 + 0.00010theta + -0.00023omega + -0.00000theta^2 + -0.00022theta omega + -0.00011omega^2
73069,2025-05-05 17:45:00,0.021277,0.308028,0.218328,-265.2485,2471,0,1.00000omega,0.001841 + 0.00054theta + -0.00010omega + -0.00003theta^2 + 0.00001theta omega + -0.00385omega^2
73070,2025-05-05 17:50:00,nan,nan,nan,170.3103,23,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73071,2025-05-05 17:55:00,0.005813,0.077629,0.055046,-2.1483,1102,0,1.00000omega,0.018301 + -1.19867theta + 0.02860omega + 0.00533theta^2 + 0.03696theta omega + -0.03439omega^2
73072,2025-05-05 18:00:00,0.041043,1.622503,1.147650,105.9935,357,0,1.00000omega,0.034681 + -0.01615theta + -0.00027omega + 0.00016theta^2 + -0.00027theta omega + 0.00099omega^2
73073,2025-05-05 18:05:00,0.006165,0.038801,0.027781,-1.5462,2493,0,1.00000omega,-0.003281 + -0.00003theta + -0.00277omega + -0.00049theta^2 + -0.00060theta omega + -0.00028omega^2
73074,2025-05-05 18:10:00,nan,nan,nan,167.1383,24,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73075,2025-05-05 18:15:00,0.040690,0.305148,0.217682,65.5700,36,5,1.00000omega,0.013301 + -0.02263theta + 0.00645omega + 0.00053theta^2 + -0.00093theta omega + 0.00751omega^2
73076,2025-05-05 18:20:00,nan,nan,nan,50.3522,47,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73077,2025-05-05 18:25:00,0.005255,0.022459,0.016310,-1.2392,2012,0,1.00000omega,-0.002751 + -0.00134theta + -0.00022omega + -0.00012theta^2 + 0.00048theta omega + 0.00013omega^2
73078,2025-05-05 18:30:00,0.047068,1.504249,1.064185,-81478.7344,843,0,1.00000omega,0.042131 + -0.88294theta + -0.02670omega + 0.01272theta^2 + 0.00124theta omega + -0.02031omega^2
73079,2025-05-05 18:35:00,nan,nan,nan,2598.8447,5,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
73080,2025-05-05 18:40:00,0.005747,0.127258,0.090077,-482238.4062,1779,0,1.00000omega,0.001341 + 0.00008theta + -0.00069omega + -0.00007theta^2 + 0.00044theta omega + 0.00037omega^2
73081,2025-05-05 18:45:00,0.005663,0.178607,0.126358,-2.5128,2123,0,1.00000omega,0.003991 + 0.00034theta + -0.00021omega + 0.00188theta^2 + -0.00232theta omega + -0.00239omega^2
73082,2025-05-05 18:50:00,0.006619,0.124404,0.088091,-3.5103,1277,0,1.00000omega,-0.009171 + -0.01475theta + 0.02749omega + 0.06319theta^2 + -0.01164theta omega + 0.02078omega^2
