Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
88220,2025-06-27 09:45:00,0.004085,0.029941,0.021368,0.050636,5.268291,3.725416,10.0327,9999,0,1.00000omega,0.104581 + -0.05314theta + 0.01017omega + 0.00269theta^2 + -0.00617theta omega + 0.02372omega^2 + -0.00069theta^3 + 0.00012theta^2 omega + -0.00835theta omega^2 + 0.00343omega^3,0.0174*omega**3 - 0.001412*omega**2*theta + 0.020339*omega**2 + 1.0e-6*omega*theta**2 - 9.5e-5*omega*theta + 0.001011*omega + 4.0e-6*theta**2 - 9.9e-5*theta + 0.000849
88221,2025-06-27 09:50:00,0.003922,0.027506,0.019646,0.088100,6.867991,4.856802,8.8037,9999,0,1.00000omega,0.014991 + -0.02390theta + 0.00126omega + -0.00006theta^2 + -0.00165theta omega + 0.00086omega^2 + -0.00040theta^3 + 0.00016theta^2 omega + 0.00126theta omega^2 + -0.00344omega^3,-0.01638*omega**3 + 0.0002*omega**2*theta - 0.003139*omega**2 + 1.0e-6*omega*theta**2 - 5.1e-5*omega*theta + 0.00068*omega + 4.0e-6*theta**2 - 9.0e-5*theta + 0.000868
88222,2025-06-27 09:55:00,0.002885,0.022640,0.016139,0.154511,4.279689,3.028169,3.5587,5623,0,1.00000omega,-0.178321 + -0.40380theta + -0.00305omega + -0.08734theta^2 + -0.07729theta omega + -0.09523omega^2 + -0.23691theta^3 + 0.00080theta^2 omega + 0.06877theta omega^2 + 0.06682omega^3,0.344732*omega**3 + 0.011826*omega**2*theta - 0.047445*omega**2 + 5.0e-6*omega*theta**2 - 0.001075*omega*theta + 0.000619*omega - 4.5e-5*theta**3 + 5.1e-5*theta**2 - 0.000456*theta - 0.00018
88223,2025-06-27 10:00:00,0.002866,0.020102,0.014358,0.092008,4.640694,3.282111,8.8619,7619,0,1.00000omega,0.052741 + -0.05485theta + -0.01793omega + -0.01826theta^2 + -0.05709theta omega + 0.00026omega^2 + -0.01317theta^3 + -0.02941theta^2 omega + -0.01998theta omega^2 + -0.02942omega^3,-0.245337*omega**3 - 0.005554*omega**2*theta - 0.006073*omega**2 - 0.000273*omega*theta**2 - 0.001613*omega*theta - 0.00206*omega - 4.0e-6*theta**3 - 2.4e-5*theta**2 - 0.0001*theta + 2.4e-5
88224,2025-06-27 10:05:00,0.003132,0.028589,0.020336,0.072037,2.761168,1.953105,3.5498,5302,0,1.00000omega,0.013801 + -0.12816theta + -0.15053omega + 0.04708theta^2 + 0.42717theta omega + 0.02963omega^2 + -0.00944theta^3 + -0.03202theta^2 omega + -0.01725theta omega^2 + -0.00830omega^3,-0.039888*omega**3 - 0.002763*omega**2*theta + 0.004399*omega**2 - 0.000171*omega*theta**2 + 0.004776*omega*theta + 0.009122*omega - 2.0e-6*theta**3 + 7.0e-6*theta**2 - 6.6e-5*theta - 0.000227
88225,2025-06-27 10:10:00,0.002977,0.023703,0.016892,0.068438,3.721367,2.631849,7.3932,6566,0,1.00000omega,-0.061511 + -0.01418theta + 0.01206omega + 0.00485theta^2 + -0.02347theta omega + -0.14283omega^2 + -0.00253theta^3 + 0.00490theta^2 omega + 0.00493theta omega^2 + -0.01241omega^3,-0.090575*omega**3 + 0.001199*omega**2*theta - 0.082461*omega**2 + 4.0e-5*omega*theta**2 - 0.001182*omega*theta + 0.008252*omega - 0.e-6*theta**3 + 2.3e-5*theta**2 - 0.000275*theta + 0.000973
88226,2025-06-27 10:15:00,0.002582,0.017437,0.012464,nan,nan,nan,4.5439,6628,0,1.00000omega,-0.176071 + 0.03361theta + 0.00077omega + 0.17311theta^2 + 0.00708theta omega + 0.00210omega^2 + -1.73266theta^3 + 0.32274theta^2 omega + 1.19843theta omega^2 + 0.02966omega^3,0.223849*omega**3 + 0.301492*omega**2*theta + 0.785799*omega**2 + 0.002706*omega*theta**2 + 0.014207*omega*theta + 0.01867*omega - 0.000484*theta**3 - 0.003685*theta**2 - 0.009304*theta - 0.00818
88227,2025-06-27 10:20:00,0.004528,0.027147,0.019461,nan,nan,nan,14.1412,9999,1,1.00000omega,-0.017841 + -0.01500theta + 0.06360omega + 0.00065theta^2 + -0.03293theta omega + 0.00565omega^2 + -0.00218theta^3 + 0.01281theta^2 omega + 0.07639theta omega^2 + 0.00247omega^3,0.013089*omega**3 + 0.013493*omega**2*theta + 0.177207*omega**2 + 7.5e-5*omega*theta**2 + 0.001493*omega*theta + 0.008805*omega - 1.6e-5*theta**2 - 0.000224*theta - 0.001143
88228,2025-06-27 10:25:00,0.002496,0.016875,0.012062,0.044648,1.093049,0.773547,12.2641,5282,0,1.00000omega,0.065561 + -0.35285theta + -0.16572omega + -0.01611theta^2 + -0.21705theta omega + -0.00634omega^2 + -0.35483theta^3 + 0.00962theta^2 omega + -0.03353theta omega^2 + -0.16346omega^3,-2.227659*omega**3 - 0.015232*omega**2*theta + 0.043305*omega**2 + 0.000146*omega*theta**2 - 0.005786*omega*theta + 0.011129*omega - 0.000179*theta**3 + 0.001666*theta**2 - 0.005559*theta + 0.006673
88229,2025-06-27 10:30:00,0.004083,0.033684,0.023993,0.057149,2.912625,2.059933,23.1102,8716,0,1.00000omega,0.002341 + -0.01423theta + 0.00656omega + 0.00707theta^2 + -0.01023theta omega + -0.01413omega^2 + -0.00118theta^3 + 0.00259theta^2 omega + -0.00290theta omega^2 + -0.00375omega^3,-0.034321*omega**3 - 0.000885*omega**2*theta + 0.003917*omega**2 + 2.6e-5*omega*theta**2 - 0.000886*omega*theta + 0.007337*omega + 2.0e-5*theta**2 - 0.000341*theta + 0.001906
88230,2025-06-27 10:35:00,0.002798,0.017809,0.012747,0.061037,1.989270,1.407288,6.3381,7311,0,1.00000omega,-0.014961 + -0.30598theta + -0.17264omega + -0.10674theta^2 + 0.03436theta omega + 0.18333omega^2 + -0.00464theta^3 + -0.03168theta^2 omega + -0.03299theta omega^2 + -0.01477omega^3,-0.110086*omega**3 - 0.008196*omega**2*theta + 0.143615*omega**2 - 0.000262*omega*theta**2 + 0.003915*omega*theta - 0.020049*omega - 1.0e-6*theta**3 - 3.5e-5*theta**2 + 0.000257*theta + 6.4e-5
88231,2025-06-27 10:40:00,0.003329,0.024940,0.017792,0.073278,5.597457,3.958339,7.1205,6077,0,1.00000omega,0.023061 + -0.12550theta + 0.19669omega + 0.03087theta^2 + -0.02760theta omega + -0.08735omega^2 + 0.00431theta^3 + 0.00121theta^2 omega + 0.01370theta omega^2 + -0.01526omega^3,-0.090199*omega**3 + 0.002699*omega**2*theta - 0.037926*omega**2 + 8.0e-6*omega*theta**2 - 0.000403*omega*theta + 0.006429*omega + 1.0e-6*theta**3 + 1.6e-5*theta**2 - 0.00013*theta + 1.5e-5
88232,2025-06-27 10:45:00,0.003887,0.030791,0.021945,0.057742,4.433611,3.135302,28.8336,9999,0,1.00000omega,-0.007761 + -0.00592theta + 0.04321omega + 0.00086theta^2 + -0.00574theta omega + 0.00423omega^2 + -0.00002theta^3 + -0.00020theta^2 omega + -0.00182theta omega^2 + 0.00218omega^3,0.027686*omega**3 - 0.00077*omega**2*theta + 0.014022*omega**2 - 3.0e-6*omega*theta**2 - 4.2e-5*omega*theta + 0.002657*omega + 1.0e-6*theta**2 - 3.1e-5*theta + 0.000245
88233,2025-06-27 10:50:00,0.004818,0.022254,0.016100,0.074587,3.257058,2.303691,30.7598,9999,0,1.00000omega,-0.039571 + 0.01186theta + -0.01795omega + -0.00139theta^2 + 0.00096theta omega + -0.02913omega^2 + -0.00027theta^3 + -0.00167theta^2 omega + 0.00178theta omega^2 + 0.00097omega^3,0.008919*omega**3 + 0.000546*omega**2*theta - 0.02217*omega**2 - 1.7e-5*omega*theta**2 + 0.000396*omega*theta - 0.002888*omega + 2.0e-6*theta**2 - 2.0e-6*theta - 0.000205
