Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical
9020,2024-09-15 11:00:00,nan,nan,nan,nan,nan,nan,544.9418,22,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9021,2024-09-15 11:05:00,nan,nan,nan,nan,nan,nan,102.6024,39,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9022,2024-09-15 11:10:00,nan,nan,nan,nan,nan,nan,90.1905,72,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9023,2024-09-15 11:15:00,0.010946,0.059539,0.042806,0.063795,5.552651,3.926577,20.0500,1493,0,1.00000omega,-0.000941 + -0.00027theta + 0.00124omega + -0.00221theta^2 + 0.00032theta omega + -0.00122omega^2,-0.00078*omega**2 + 7.0e-6*omega*theta - 1.1e-5*omega - 2.0e-6*theta**2 + 2.4e-5*theta - 9.1e-5
9024,2024-09-15 11:20:00,0.011521,0.118503,0.084189,0.072396,2.592509,1.833895,10.6480,1995,0,1.00000omega,-0.000681 + -0.00072theta + 0.00243omega + -0.00005theta^2 + 0.00013theta omega + -0.00047omega^2,-0.000221*omega**2 + 2.0e-6*omega*theta + 6.4e-5*omega + 3.0e-6
9025,2024-09-15 11:25:00,nan,nan,nan,nan,nan,nan,134.2086,69,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9026,2024-09-15 11:30:00,0.035817,0.426192,0.302426,0.072678,3.467809,2.452650,148.0599,123,5,1.00000omega,0.004001 + -0.00832theta + -0.00410omega + 0.00007theta^2 + 0.00253theta omega + 0.00055omega^2,0.000261*omega**2 + 4.0e-5*omega*theta + 0.000561*omega - 8.0e-6*theta - 0.000141
9027,2024-09-15 11:35:00,nan,nan,nan,nan,nan,nan,120.1619,63,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9028,2024-09-15 11:40:00,0.009612,0.021282,0.016512,0.061085,1.122607,0.794977,10.6459,1318,0,1.00000omega,-0.024331 + -2.67378theta + 0.01390omega + -1.51022theta^2 + 1.21301theta omega + 0.04327omega^2,0.024032*omega**2 + 0.022456*omega*theta + 0.010526*omega - 0.000932*theta**2 - 0.003806*theta - 0.001567
9029,2024-09-15 11:45:00,0.011206,0.036465,0.026975,0.088527,1.902245,1.346546,7.6558,1498,0,1.00000omega,-0.002141 + -1.66446theta + -0.00450omega + -0.01424theta^2 + 0.01443theta omega + 0.03731omega^2,0.015763*omega**2 + 0.000203*omega*theta + 6.4e-5*omega - 7.0e-6*theta**2 - 0.001864*theta - 0.001964
9030,2024-09-15 11:50:00,0.012207,0.266430,0.188592,0.150163,23.338460,16.503125,12.9441,1624,0,1.00000omega,-0.003571 + -0.00157theta + -0.00090omega + 0.00081theta^2 + -0.00008theta omega + 0.00065omega^2,0.000321*omega**2 - 1.0e-6*omega*theta - 1.9e-5*omega - 9.0e-6*theta + 3.6e-5
9031,2024-09-15 11:55:00,nan,nan,nan,nan,nan,nan,315.1020,22,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9032,2024-09-15 12:00:00,0.014397,0.113684,0.081029,0.084085,2.361833,1.671126,12.3870,1091,0,1.00000omega,0.000671 + -0.00023theta + 0.00111omega + 0.00114theta^2 + 0.00028theta omega + 0.00344omega^2,0.001393*omega**2 + 4.0e-6*omega*theta + 7.8e-5*omega + 1.0e-6*theta**2 + 1.1e-5*theta + 6.0e-5
9033,2024-09-15 12:05:00,0.014966,0.154400,0.109689,0.127888,7.102516,5.023051,20.5928,639,2,1.00000omega,0.009461 + -0.12339theta + 0.00161omega + -0.01079theta^2 + 0.00865theta omega + -0.00529omega^2,-0.002706*omega**2 + 0.000147*omega*theta - 0.000442*omega - 6.0e-6*theta**2 - 9.6e-5*theta + 0.000412
9034,2024-09-15 12:10:00,0.011676,0.136433,0.096825,0.141131,16.971007,12.000729,7.4197,1412,0,1.00000omega,0.000531 + -0.00046theta + 0.00165omega + 0.00009theta^2 + -0.00068theta omega + 0.00118omega^2,0.000482*omega**2 - 9.0e-6*omega*theta + 6.8e-5*omega - 0.e-6*theta + 2.0e-6
9035,2024-09-15 12:15:00,0.013030,0.034423,0.026026,0.084873,5.148209,3.640828,11.9455,823,0,1.00000omega,-0.000511 + -0.00221theta + 0.00215omega + -0.00258theta^2 + 0.00297theta omega + 0.00130omega^2,0.000573*omega**2 + 4.4e-5*omega*theta - 0.000227*omega - 1.0e-6*theta**2 + 1.5e-5*theta - 4.4e-5
9036,2024-09-15 12:20:00,0.012128,0.050345,0.036618,0.104462,11.831127,8.366196,8.0199,939,0,1.00000omega,0.001621 + -0.00024theta + -0.00199omega + 0.00445theta^2 + 0.00037theta omega + -0.00308omega^2,-0.001285*omega**2 + 5.0e-6*omega*theta - 4.2e-5*omega + 2.0e-6*theta**2 + 2.0e-5*theta + 5.1e-5
9037,2024-09-15 12:25:00,0.009295,0.049765,0.035798,0.068598,8.327847,5.888877,10.2195,1315,0,1.00000omega,0.001991 + 0.00068theta + -0.00875omega + 0.00007theta^2 + 0.00070theta omega + 0.00015omega^2,8.4e-5*omega**2 + 1.3e-5*omega*theta - 0.000379*omega + 1.0e-6
9038,2024-09-15 12:30:00,nan,nan,nan,nan,nan,nan,263.8542,38,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9039,2024-09-15 12:35:00,0.014582,0.062894,0.045652,0.075382,2.762681,1.954237,15.6741,1589,0,1.00000omega,-0.000201 + -0.25594theta + 0.02272omega + 0.00227theta^2 + -0.01525theta omega + -0.00933omega^2,-0.00413*omega**2 - 0.000225*omega*theta + 0.000929*omega + 1.0e-6*theta**2 - 0.000286*theta + 0.000217
9040,2024-09-15 12:40:00,nan,nan,nan,nan,nan,nan,238.4866,65,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9041,2024-09-15 12:45:00,nan,nan,nan,nan,nan,nan,326.4767,16,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9042,2024-09-15 12:50:00,0.010205,0.073071,0.052170,0.116031,16.590290,11.731394,6.9074,1172,0,1.00000omega,0.000791 + 0.00030theta + -0.00681omega + 0.00010theta^2 + 0.00021theta omega + 0.00045omega^2,0.000207*omega**2 + 3.0e-6*omega*theta - 0.000204*omega + 1.0e-6*theta + 7.0e-6
9043,2024-09-15 12:55:00,nan,nan,nan,nan,nan,nan,21.0134,218,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2,N/A
9044,2024-09-15 13:00:00,0.037896,0.455953,0.323519,0.080355,10.074873,7.124238,224.3598,468,1,1.00000omega,-0.016401 + -0.01388theta + 0.00784omega + -0.00072theta^2 + 0.00372theta omega + -0.00224omega^2,-0.001206*omega**2 + 6.7e-5*omega*theta + 0.000731*omega - 2.1e-5*theta - 0.000164
9045,2024-09-15 13:05:00,0.010124,0.079816,0.056891,0.088329,3.891617,2.752497,3.7696,1528,0,1.00000omega,0.001421 + -0.00273theta + -0.00063omega + 0.00100theta^2 + 0.00527theta omega + 0.00008omega^2,3.1e-5*omega**2 + 6.8e-5*omega*theta + 2.9e-5*omega - 2.0e-6*theta + 2.0e-6
9046,2024-09-15 13:10:00,0.012034,0.064763,0.046579,0.063994,1.658528,1.173629,15.4925,1431,0,1.00000omega,0.001101 + 0.00062theta + -0.00129omega + 0.00017theta^2 + 0.00026theta omega + 0.00249omega^2,0.001301*omega**2 + 5.0e-6*omega*theta - 4.0e-6*omega + 2.0e-6*theta + 1.6e-5
9047,2024-09-15 13:15:00,0.048590,0.537709,0.381767,0.094610,13.786198,9.748544,307.1017,121,5,1.00000omega,-0.000221 + 0.00009theta + 0.00346omega + -0.00016theta^2 + -0.00038theta omega + -0.00377omega^2,-0.001912*omega**2 - 6.0e-6*omega*theta + 4.8e-5*omega - 2.0e-6*theta - 9.0e-6
