Chunk_Index,Chunk_Start_Time,Orig_RMSE_Omega,Orig_RMSE_Theta,Orig_RMSE_Total,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Final_Loss,Stopped_Epoch,NaN_Recoveries,Eq_Theta,Eq_Omega,Eq_Omega_Physical,Diffusion_Theta,Diffusion_Omega
79200,2025-05-27 01:00:00,0.011798,0.055210,0.039921,0.072536,1.677754,1.187460,601.0503,9999,0,1.00000omega,-0.001841 + -0.04777theta + 0.01220omega + 0.00047theta^2 + -0.08632theta omega + 0.02969omega^2 + -0.00556theta^3 + -0.00056theta^2 omega + 0.00365theta omega^2 + -0.00189omega^3,-0.005326*omega**3 + 0.000343*omega**2*theta + 0.01999*omega**2 - 2.0e-6*omega*theta**2 - 0.000993*omega*theta - 0.029373*omega - 0.e-6*theta**3 - 5.5e-5*theta**2 - 0.001799*theta - 0.020127,7.322894e-04,8.707934e-06
79201,2025-05-27 01:05:00,0.004831,0.005345,0.005094,0.259920,13.843331,9.790438,168.3749,5876,0,1.00000omega,-0.094601 + 0.00247theta + 0.00996omega + 0.06747theta^2 + 0.03211theta omega + -0.23110omega^2 + -0.00336theta^3 + 0.01123theta^2 omega + 0.00640theta omega^2 + -0.02224omega^3,-0.108016*omega**3 + 0.001036*omega**2*theta - 0.100425*omega**2 + 6.1e-5*omega*theta**2 - 0.00044*omega*theta + 0.000364*omega - 0.e-6*theta**3 + 4.3e-5*theta**2 - 0.000524*theta + 0.001498,1.459507e-04,1.013334e-05
79202,2025-05-27 01:10:00,nan,nan,nan,nan,nan,nan,3405.0125,1009,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79203,2025-05-27 01:15:00,0.008135,0.072210,0.051383,0.070754,2.723925,1.926756,544.3567,9999,0,1.00000omega,0.058821 + 0.00214theta + -0.01667omega + 0.00887theta^2 + -0.00478theta omega + 0.00187omega^2 + -0.00130theta^3 + 0.00009theta^2 omega + 0.00099theta omega^2 + -0.00008omega^3,-0.000404*omega**3 + 0.000166*omega**2*theta + 0.005961*omega**2 + 1.0e-6*omega*theta**2 - 3.4e-5*omega*theta - 0.002103*omega - 1.9e-5*theta**2 - 0.000455*theta - 0.003211,7.111436e-04,6.884070e-06
79204,2025-05-27 01:20:00,0.004929,0.006391,0.005707,0.094531,2.872822,2.032491,128.9814,6136,0,1.00000omega,-0.159811 + -0.27531theta + 0.04222omega + 0.46884theta^2 + 0.16859theta omega + 0.11604omega^2 + -0.55091theta^3 + 0.12895theta^2 omega + -0.05153theta omega^2 + 0.12241omega^3,0.438332*omega**3 - 0.006151*omega**2*theta + 0.04958*omega**2 + 0.000513*omega*theta**2 + 0.000358*omega*theta - 0.000367*omega - 7.3e-5*theta**3 + 0.000518*theta**2 - 0.001383*theta + 0.000655,4.532234e-05,1.506004e-05
79205,2025-05-27 01:25:00,0.005303,0.005805,0.005560,0.095330,5.821753,4.117153,225.2433,7428,0,1.00000omega,0.187581 + 0.09216theta + -0.22329omega + 0.00211theta^2 + 0.12253theta omega + 0.11052omega^2 + -0.13531theta^3 + -0.02274theta^2 omega + 0.01932theta omega^2 + -0.12342omega^3,-0.661125*omega**3 + 0.00345*omega**2*theta + 0.063707*omega**2 - 0.000135*omega*theta**2 + 0.000391*omega*theta - 0.002224*omega - 2.7e-5*theta**3 - 0.000396*theta**2 - 0.001845*theta - 0.002194,1.059996e-04,1.280651e-05
79206,2025-05-27 01:30:00,nan,nan,nan,nan,nan,nan,1573.1207,1298,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79207,2025-05-27 01:35:00,0.004686,0.022679,0.016375,nan,nan,nan,390.0372,9999,1,1.00000omega,-0.269061 + 0.00337theta + -0.05581omega + -0.00149theta^2 + -0.00354theta omega + 0.01277omega^2 + -0.00023theta^3 + -0.00003theta^2 omega + -0.00693theta omega^2 + 0.01535omega^3,0.175143*omega**3 - 0.002636*omega**2*theta + 0.059101*omega**2 - 5.8e-5*omega*theta - 0.00059*omega + 5.0e-6*theta**2 - 6.7e-5*theta - 0.00023,3.451932e-04,8.639065e-06
79208,2025-05-27 01:40:00,0.005379,0.010278,0.008203,0.168735,19.499509,13.788751,291.9758,7600,3,1.00000omega,0.104481 + 0.00367theta + 0.14996omega + 0.00005theta^2 + 0.00107theta omega + 0.01820omega^2 + -0.00015theta^3 + -0.00066theta^2 omega + -0.00209theta omega^2 + 0.00022omega^3,0.001465*omega**3 - 0.000464*omega**2*theta + 0.014466*omega**2 - 5.0e-6*omega*theta**2 + 0.000141*omega*theta + 0.003999*omega + 1.0e-6*theta**2 - 1.4e-5*theta + 0.000274,8.882333e-05,1.618939e-05
79209,2025-05-27 01:45:00,nan,nan,nan,nan,nan,nan,22799.0312,938,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79210,2025-05-27 01:50:00,0.005400,0.031478,0.022583,0.187148,14.595301,10.321285,361.3441,9999,1,1.00000omega,0.049641 + 0.00108theta + 0.04532omega + 0.00078theta^2 + -0.00038theta omega + 0.01528omega^2 + -0.00000theta^3 + 0.00010theta^2 omega + -0.00048theta omega^2 + 0.00414omega^3,0.032687*omega**3 - 0.000126*omega**2*theta + 0.009776*omega**2 + 1.0e-6*omega*theta**2 - 3.3e-5*omega*theta + 0.001817*omega - 1.2e-5*theta + 0.000194,4.194921e-04,9.983693e-06
79211,2025-05-27 01:55:00,0.005669,0.017036,0.012696,nan,nan,nan,399.8662,9999,0,1.00000omega,0.182161 + 0.02936theta + 0.27043omega + -0.01032theta^2 + 0.00712theta omega + 0.05233omega^2 + 0.00000theta^3 + -0.00572theta^2 omega + 0.00190theta omega^2 + 0.00681omega^3,0.055626*omega**3 + 0.000517*omega**2*theta + 0.017553*omega**2 - 5.2e-5*omega*theta**2 + 0.002081*omega*theta - 0.011769*omega - 6.0e-6*theta**2 + 0.000258*theta - 0.002353,3.218711e-04,1.063954e-05
79212,2025-05-27 02:00:00,nan,nan,nan,nan,nan,nan,48251.5820,1433,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
79213,2025-05-27 02:05:00,0.008048,0.032257,0.023508,0.056870,1.466017,1.037410,386.1197,9999,0,1.00000omega,-0.146381 + -0.06414theta + -0.08594omega + -0.00378theta^2 + -0.00445theta omega + -0.00878omega^2 + -0.00036theta^3 + 0.00083theta^2 omega + -0.00052theta omega^2 + -0.00390omega^3,-0.015267*omega**3 - 6.8e-5*omega**2*theta - 0.001791*omega**2 + 4.0e-6*omega*theta**2 - 0.000201*omega*theta - 0.000279*omega + 2.0e-6*theta**2 - 7.4e-5*theta + 0.000812,4.090951e-04,1.003010e-05
79214,2025-05-27 02:10:00,0.004042,0.009118,0.007053,nan,nan,nan,140.4044,8616,0,1.00000omega,-0.241781 + 0.01017theta + 0.00966omega + 0.00668theta^2 + 0.05064theta omega + 0.01223omega^2 + -0.02997theta^3 + 0.01771theta^2 omega + 0.01358theta omega^2 + 0.10839omega^3,0.62349*omega**3 + 0.002604*omega**2*theta - 0.01269*omega**2 + 0.000113*omega*theta**2 - 0.00083*omega*theta + 0.000636*omega - 6.0e-6*theta**3 + 0.000136*theta**2 - 0.000954*theta + 0.001589,9.865138e-05,1.084731e-05
79215,2025-05-27 02:15:00,0.004187,0.014822,0.010891,0.090322,4.311768,3.049549,116.2833,9999,0,1.00000omega,0.174821 + -0.00054theta + 0.04252omega + 0.00634theta^2 + 0.00795theta omega + -0.02639omega^2 + -0.01941theta^3 + 0.01759theta^2 omega + 0.00296theta omega^2 + 0.06403omega^3,0.282756*omega**3 + 0.000436*omega**2*theta - 0.006374*omega**2 + 8.6e-5*omega*theta**2 + 0.001588*omega*theta + 0.00869*omega - 3.0e-6*theta**3 - 7.9e-5*theta**2 - 0.00066*theta - 0.001325,1.480677e-04,1.251588e-05
79216,2025-05-27 02:20:00,nan,nan,nan,nan,nan,nan,2079.8965,8614,5,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2 + nantheta^3 + nantheta^2 omega + nantheta omega^2 + nanomega^3,N/A,nan,nan
