Combo_Index,Model,Sigma,Degree,Tau,Lr,N_Tau,Measurement_Noise,N_Reparam_Samples,Mean_RMSE_Omega,Num_Success,Num_Total
1,integrator,0,3,1.0e-01,1.0e-03,200,1.0e-05,30,0.009427,4,5
2,integrator,0,2,1.0e-01,1.0e-01,50,1.0e-04,15,0.015871,5,5
3,integrator,0,2,1.0e-02,1.0e-04,50,1.0e-03,15,0.042742,5,5
4,integrator,5,2,1.0e-01,1.0e-02,200,1.0e-03,50,0.009317,3,5
5,integrator,5,3,1.0e-02,1.0e-03,100,1.0e-05,15,0.000520,4,5
6,integrator,5,2,1.0e-02,1.0e-04,50,1.0e-05,15,0.027868,5,5
7,integrator,10,2,1.0e-02,1.0e-01,50,1.0e-05,15,0.021814,3,5
8,integrator,5,2,5.0e-01,1.0e-05,50,1.0e-04,15,0.089210,5,5
9,integrator,5,3,1.0e-02,1.0e-01,200,1.0e-03,50,0.012231,3,5
10,integrator,10,3,1.0e-05,1.0e-04,200,1.0e-03,15,0.003148,4,5
11,integrator,10,3,1.0e-01,1.0e-03,50,1.0e-03,50,0.000854,4,5
12,integrator,0,3,5.0e-01,1.0e-02,200,1.0e-03,50,nan,0,5
13,integrator,0,2,1.0e-05,1.0e-02,50,1.0e-05,50,0.018422,3,5
14,integrator,5,2,1.0e-02,1.0e-05,200,1.0e-04,30,0.055899,5,5
15,integrator,10,2,1.0e-05,1.0e-02,200,1.0e-03,15,0.001128,4,5
16,integrator,0,2,1.0e-03,1.0e-01,100,1.0e-05,30,0.011965,2,5
17,integrator,0,2,1.0e-03,1.0e-03,200,1.0e-03,30,0.010671,3,5
18,integrator,5,3,1.0e-01,1.0e-05,50,1.0e-03,15,0.082656,5,5
19,integrator,10,2,5.0e-01,1.0e-05,50,1.0e-03,15,0.059883,5,5
20,integrator,10,3,1.0e-03,1.0e-03,200,1.0e-03,15,0.000736,3,5
21,integrator,5,2,1.0e-05,1.0e-05,200,1.0e-04,15,0.078966,4,5
22,integrator,5,3,1.0e-03,1.0e-02,50,1.0e-05,15,0.005670,4,5
23,integrator,10,3,1.0e-05,1.0e-04,100,1.0e-04,30,0.007182,5,5
24,integrator,10,3,5.0e-01,1.0e-03,100,1.0e-05,30,0.000333,4,5
25,integrator,0,2,1.0e-03,1.0e-04,50,1.0e-03,15,0.035901,5,5
26,integrator,0,2,1.0e-03,1.0e-02,50,1.0e-05,30,0.014125,3,5
27,integrator,5,3,5.0e-01,1.0e-03,200,1.0e-04,15,0.000942,4,5
28,integrator,5,3,1.0e-03,1.0e-03,100,1.0e-03,50,0.010219,4,5
29,integrator,0,3,1.0e-03,1.0e-04,200,1.0e-05,30,0.023486,5,5
30,integrator,5,3,1.0e-03,1.0e-01,100,1.0e-03,50,0.001523,4,5
31,integrator,0,2,1.0e-02,1.0e-05,200,1.0e-04,30,0.079955,4,5
32,integrator,10,2,1.0e-01,1.0e-03,200,1.0e-03,30,0.001547,5,5
33,integrator,10,2,5.0e-01,1.0e-01,50,1.0e-05,15,0.003164,4,5
34,integrator,0,3,1.0e-01,1.0e-02,50,1.0e-04,30,0.011479,3,5
35,integrator,5,2,1.0e-02,1.0e-01,100,1.0e-05,30,0.005013,5,5
36,integrator,10,3,1.0e-05,1.0e-03,100,1.0e-05,15,0.000425,4,5
37,integrator,0,3,1.0e-02,1.0e-01,100,1.0e-04,50,0.011021,5,5
38,integrator,10,2,1.0e-03,1.0e-04,200,1.0e-04,50,0.003548,4,5
39,integrator,10,2,1.0e-05,1.0e-01,50,1.0e-03,15,0.001267,4,5
40,integrator,0,2,1.0e-03,1.0e-04,200,1.0e-03,50,0.025707,4,5
41,integrator,0,2,5.0e-01,1.0e-01,100,1.0e-04,50,0.010336,5,5
42,integrator,10,3,1.0e-03,1.0e-02,100,1.0e-04,15,0.000480,4,5
43,integrator,0,3,1.0e-01,1.0e-01,100,1.0e-03,50,0.044777,5,5
44,integrator,0,3,1.0e-03,1.0e-03,200,1.0e-03,30,0.014546,5,5
45,integrator,5,2,1.0e-02,1.0e-02,50,1.0e-03,30,0.001213,5,5
46,integrator,5,3,1.0e-05,1.0e-03,100,1.0e-05,15,0.000528,4,5
47,integrator,0,2,1.0e-01,1.0e-02,100,1.0e-04,15,0.010056,5,5
48,integrator,10,3,1.0e-01,1.0e-05,200,1.0e-04,15,0.063971,5,5
49,integrator,10,2,1.0e-03,1.0e-01,200,1.0e-05,50,0.003076,5,5
50,integrator,5,2,1.0e-01,1.0e-05,200,1.0e-03,50,0.063926,5,5
51,integrator,5,3,1.0e-05,1.0e-01,50,1.0e-03,30,0.001499,3,5
52,integrator,5,3,1.0e-05,1.0e-04,200,1.0e-03,15,0.009772,5,5
53,integrator,5,2,1.0e-03,1.0e-03,200,1.0e-03,15,0.002486,5,5
54,integrator,10,2,1.0e-05,1.0e-02,100,1.0e-03,30,0.000470,4,5
55,integrator,0,2,1.0e-01,1.0e-04,200,1.0e-03,15,0.023551,5,5
56,integrator,0,2,5.0e-01,1.0e-05,50,1.0e-03,30,0.075207,5,5
57,integrator,0,3,1.0e-03,1.0e-01,200,1.0e-04,50,0.914963,3,5
58,integrator,5,3,1.0e-05,1.0e-02,50,1.0e-03,30,0.001742,5,5
59,integrator,0,2,1.0e-02,1.0e-03,100,1.0e-05,30,0.011466,4,5
60,integrator,0,3,5.0e-01,1.0e-02,100,1.0e-05,15,0.011465,4,5
