Combo_Index,Model,Sigma,Degree,Tau,Lr,N_Tau,Measurement_Noise,N_Reparam_Samples,Mean_RMSE_Omega,Mean_Loss,Num_Success,Num_Total
1,integrator,0,2,0.1,0.001,200,1e-05,30,0.004562,-20697941.709555,268,300
2,integrator,0,1,0.1,0.1,50,0.0001,15,0.014716,6104.968473,231,300
3,integrator,0,1,0.01,0.0001,50,0.001,15,0.03589,2766.088137,290,300
4,integrator,0,1,0.1,0.01,200,0.001,50,0.010604,-62637399361418328960663552.000000,117,300
5,integrator,0,3,0.01,0.001,100,1e-05,15,0.004148,49308.509395,226,300
6,integrator,0,1,0.01,0.0001,50,1e-05,15,0.03612,251847.791147,290,300
7,integrator,0,2,0.01,0.1,50,1e-05,15,0.023889,197832.098248,85,300
8,integrator,0,1,0.5,1e-05,50,0.0001,15,0.107584,202123.376027,299,300
9,integrator,0,3,0.01,0.1,200,0.001,50,0.527074,-1718137948710399277860455972864.000000,157,300
10,integrator,0,3,1e-05,0.0001,200,0.001,15,0.021887,925.734293,281,300
11,integrator,0,3,0.1,0.001,50,0.001,50,0.010943,143.603373,241,300
12,integrator,0,2,0.5,0.01,200,0.001,50,0.017272,-2125229157059945445980110848.000000,95,300
13,integrator,0,1,1e-05,0.01,50,1e-05,50,0.011533,42191.148439,170,300
14,integrator,0,1,0.01,1e-05,200,0.0001,30,0.097532,187331.294249,294,300
15,integrator,0,2,1e-05,0.01,200,0.001,15,0.019145,-35528599581078019112960.000000,124,300
16,integrator,0,1,0.001,0.1,100,1e-05,30,0.013795,-5225992.410953,169,300
17,integrator,0,1,0.001,0.001,200,0.001,30,0.00913,-55331039929.10296,231,300
18,integrator,0,3,0.1,1e-05,50,0.001,15,0.108508,20153.733882,299,300
19,integrator,0,2,0.5,1e-05,50,0.001,15,0.108053,20059.953744,300,300
20,integrator,0,3,0.001,0.001,200,0.001,15,0.007658,-771858119.986326,250,300
21,integrator,0,1,1e-05,1e-05,200,0.0001,15,0.09847,190613.154657,288,300
22,integrator,0,3,0.001,0.01,50,1e-05,15,0.012077,-1311123641.127603,185,300
23,integrator,0,3,1e-05,0.0001,100,0.0001,30,0.027635,13672.199943,283,300
24,integrator,0,3,0.5,0.001,100,1e-05,30,0.004213,-848067180.379075,217,300
25,integrator,0,1,0.001,0.0001,50,0.001,15,0.035874,2926.850665,282,300
26,integrator,0,1,0.001,0.01,50,1e-05,30,0.011738,-2574232153614.1694,166,300
27,integrator,0,3,0.5,0.001,200,0.0001,15,0.004868,-78554319594.1123,277,300
28,integrator,0,3,0.001,0.001,100,0.001,50,0.008816,-601586.910542,218,300
29,integrator,0,2,0.001,0.0001,200,1e-05,30,0.020859,190760.191423,284,300
30,integrator,0,3,0.001,0.1,100,0.001,50,0.022964,-453478671627188936647959904256.000000,228,300
31,integrator,0,2,0.1,0.001,200,0.001,30,0.005964,-45292954401.24297,284,300
32,integrator,0,2,0.5,0.1,50,1e-05,15,0.013029,49342.476921,237,300
33,integrator,0,2,0.1,0.01,50,0.0001,30,0.01095,12371.000961,226,300
34,integrator,0,1,0.01,0.1,100,1e-05,30,0.012389,124241.496141,183,300
35,integrator,0,3,1e-05,0.001,100,1e-05,15,0.00427,-1032739.989359,230,300
36,integrator,0,2,0.01,0.1,100,0.0001,50,0.010382,-291870590770419704266752000.000000,240,300
37,integrator,0,2,0.001,0.0001,200,0.0001,50,0.020833,10371.385826,270,300
38,integrator,0,2,1e-05,0.1,50,0.001,15,0.014889,-14943.742536,233,300
39,integrator,0,1,0.001,0.0001,200,0.001,50,0.021061,897.709888,265,300
40,integrator,0,1,0.5,0.1,100,0.0001,50,0.009845,-184488690101.64368,246,300
41,integrator,0,3,0.001,0.01,100,0.0001,15,0.005566,-6249.351036,250,300
42,integrator,0,2,0.1,0.1,100,0.001,50,0.018171,-3011956059996618273721300287488.000000,229,300
43,integrator,0,2,0.001,0.001,200,0.001,30,0.008655,-66131288417792.66,236,300
44,integrator,0,1,0.01,0.01,50,0.001,30,0.012319,-121712448781591838720.000000,214,300
45,integrator,0,1,0.1,0.01,100,0.0001,15,0.005679,-50888339505196498944.000000,257,300
46,integrator,0,3,0.1,1e-05,200,0.0001,15,0.097484,188390.128572,293,300
47,integrator,0,2,0.001,0.1,200,1e-05,50,0.037374,-32578826758918230694166528.000000,237,300
48,integrator,0,1,0.1,1e-05,200,0.001,50,0.096624,18780.166903,290,300
49,integrator,0,3,1e-05,0.1,50,0.001,30,0.015022,-156684374347876728832.000000,229,300
50,integrator,0,1,0.001,0.001,200,0.001,15,0.008916,-11903485607.274654,247,300
51,integrator,0,2,1e-05,0.01,100,0.001,30,0.009623,-324238133460327006208.000000,205,300
52,integrator,0,1,0.1,0.0001,200,0.001,15,0.020682,692.116446,290,300
53,integrator,0,1,0.5,1e-05,50,0.001,30,0.106441,20144.415968,300,300
54,integrator,0,2,0.001,0.1,200,0.0001,50,0.205284,-48740810147620167660601344.000000,206,300
55,integrator,0,3,1e-05,0.01,50,0.001,30,0.013344,312.596321,221,300
56,integrator,0,1,0.01,0.001,100,1e-05,30,0.004158,-1099613475.222461,208,300
57,integrator,0,2,0.5,0.01,100,1e-05,15,0.005062,-204548105779626082304.000000,241,300
58,integrator,0,3,0.5,0.1,100,0.0001,50,0.008537,-73460327060398209894071664640.000000,248,300
59,integrator,0,2,1e-05,0.1,100,0.001,15,0.015663,-18775631253584193207327585730560.000000,221,300
60,integrator,0,1,0.001,1e-05,100,0.001,50,0.103726,19682.332644,298,300
