Combo_Index,Model,Sigma,Degree,Tau,Lr,N_Tau,Measurement_Noise,N_Reparam_Samples,Mean_RMSE_Omega,Mean_Loss,Num_Success,Num_Total,Task_ID
1,integrator,0,2,0.1,0.001,200,1e-05,30,0.004084,156577.887984,284,300,0
2,integrator,0,1,0.1,0.1,50,0.0001,15,0.014285,3731.668477,237,300,1
3,integrator,0,1,0.01,0.0001,50,0.001,15,0.036968,1740.053979,280,300,2
4,integrator,0,1,0.1,0.01,200,0.001,50,0.013946,-3116473037918862686814208.000000,120,300,3
5,integrator,0,3,0.01,0.001,100,1e-05,15,0.004089,35584.690344,238,300,4
6,integrator,0,1,0.01,0.0001,50,1e-05,15,0.03711,153264.061186,287,300,5
7,integrator,0,2,0.01,0.1,50,1e-05,15,0.021757,88080.233964,96,300,6
8,integrator,0,1,0.5,1e-05,50,0.0001,15,0.104841,146347.754688,300,300,7
9,integrator,0,3,0.01,0.1,200,0.001,50,1.138292,-8498063154593129738564154687488.000000,152,300,8
10,integrator,0,3,1e-05,0.0001,200,0.001,15,0.021303,1256.18218,280,300,9
11,integrator,0,3,0.1,0.001,50,0.001,50,0.0105,830.374708,243,300,10
12,integrator,0,2,0.5,0.01,200,0.001,50,0.015362,-1314227699208934708477952.000000,81,300,11
13,integrator,0,1,1e-05,0.01,50,1e-05,50,0.011352,-7.856143972071105e+17,173,300,12
14,integrator,0,1,0.01,1e-05,200,0.0001,30,0.096013,131918.198696,295,300,13
15,integrator,0,2,1e-05,0.01,200,0.001,15,0.022378,-4322393279511400546304.000000,114,300,14
16,integrator,0,1,0.001,0.1,100,1e-05,30,0.013263,51977.164785,164,300,15
17,integrator,0,1,0.001,0.001,200,0.001,30,0.008452,-347985956.436067,243,300,16
18,integrator,0,3,0.1,1e-05,50,0.001,15,0.106647,14484.802958,300,300,17
19,integrator,0,2,0.5,1e-05,50,0.001,15,0.106626,14959.043112,299,300,18
20,integrator,0,3,0.001,0.001,200,0.001,15,0.007219,-45698871218.00433,259,300,19
21,integrator,0,1,1e-05,1e-05,200,0.0001,15,0.095743,135252.612727,290,300,20
22,integrator,0,3,0.001,0.01,50,1e-05,15,0.010699,36005.154545,180,300,21
23,integrator,0,3,1e-05,0.0001,100,0.0001,30,0.027737,6345.093996,286,300,22
24,integrator,0,3,0.5,0.001,100,1e-05,30,0.003985,-78335337034.0754,233,300,23
25,integrator,0,1,0.001,0.0001,50,0.001,15,0.037527,2072.431161,284,300,24
26,integrator,0,1,0.001,0.01,50,1e-05,30,0.011579,23959.315233,183,300,25
27,integrator,0,3,0.5,0.001,200,0.0001,15,0.004448,-3672620107.269965,281,300,26
28,integrator,0,3,0.001,0.001,100,0.001,50,0.008778,-184307.141642,248,300,27
29,integrator,0,2,0.001,0.0001,200,1e-05,30,0.020428,109465.238666,288,300,28
30,integrator,0,3,0.001,0.1,100,0.001,50,0.06117,-775940509610809087253406547968.000000,207,300,29
31,integrator,0,2,0.1,0.001,200,0.001,30,0.005717,-81445951711.76831,286,300,30
32,integrator,0,2,0.5,0.1,50,1e-05,15,0.013179,33664.329878,227,300,31
33,integrator,0,2,0.1,0.01,50,0.0001,30,0.010674,-313785051038430068736.000000,225,300,32
34,integrator,0,1,0.01,0.1,100,1e-05,30,0.012925,-738468.400842,194,300,33
35,integrator,0,3,1e-05,0.001,100,1e-05,15,0.004161,22868.889139,235,300,34
36,integrator,0,2,0.01,0.1,100,0.0001,50,0.01065,-16789550076102824689664.000000,235,300,35
37,integrator,0,2,0.001,0.0001,200,0.0001,50,0.020393,6663.206227,272,300,36
38,integrator,0,2,1e-05,0.1,50,0.001,15,0.016409,-8846.989615,220,300,37
39,integrator,0,1,0.001,0.0001,200,0.001,50,0.021401,694.527904,259,300,38
40,integrator,0,1,0.5,0.1,100,0.0001,50,0.009446,-1610663245465307164893511680.000000,246,300,39
41,integrator,0,3,0.001,0.01,100,0.0001,15,0.006575,-117892447502754742272.000000,258,300,40
42,integrator,0,2,0.1,0.1,100,0.001,50,0.012646,-390049161291162114272706691072.000000,223,300,41
43,integrator,0,2,0.001,0.001,200,0.001,30,0.009481,-1063378987.562363,241,300,42
44,integrator,0,1,0.01,0.01,50,0.001,30,0.0129,227.707552,217,300,43
45,integrator,0,1,0.1,0.01,100,0.0001,15,0.00671,-1.3566240757830147e+18,258,300,44
46,integrator,0,3,0.1,1e-05,200,0.0001,15,0.094029,134296.960677,292,300,45
47,integrator,0,2,0.001,0.1,200,1e-05,50,0.099932,-5232467362826755768320.000000,236,300,46
48,integrator,0,1,0.1,1e-05,200,0.001,50,0.093631,13431.759474,292,300,47
49,integrator,0,3,1e-05,0.1,50,0.001,30,0.01631,-2271.049505,215,300,48
50,integrator,0,1,0.001,0.001,200,0.001,15,0.007728,-320619333.44609,257,300,49
51,integrator,0,2,1e-05,0.01,100,0.001,30,0.00942,-17312315049247024087040.000000,209,300,50
52,integrator,0,1,0.1,0.0001,200,0.001,15,0.020498,623.269468,291,300,51
53,integrator,0,1,0.5,1e-05,50,0.001,30,0.106959,14725.13748,300,300,52
54,integrator,0,2,0.001,0.1,200,0.0001,50,0.145272,-15018283637655459513709363200.000000,209,300,53
55,integrator,0,3,1e-05,0.01,50,0.001,30,0.012272,-15600498039855020869943296.000000,224,300,54
56,integrator,0,1,0.01,0.001,100,1e-05,30,0.004267,49443.661572,227,300,55
57,integrator,0,2,0.5,0.01,100,1e-05,15,0.004577,-667818957701719130112.000000,254,300,56
58,integrator,0,3,0.5,0.1,100,0.0001,50,0.010198,-113714238741267337877389312.000000,248,300,57
59,integrator,0,2,1e-05,0.1,100,0.001,15,0.014824,-888381189557481286038267625472.000000,215,300,58
60,integrator,0,1,0.001,1e-05,100,0.001,50,0.101733,14113.806263,297,300,59
