Chunk_Index,Chunk_Start_Time,Sim_RMSE_Omega,Sim_RMSE_Theta,Sim_RMSE_Total,Eq_Theta,Eq_Omega,Coeff_Const,Coeff_Theta,Coeff_Omega,Coeff_Theta2,Coeff_ThetaOmega,Coeff_Omega2
15000,2024-10-07 23:30:00,0.054731,3.091054,2.186048,0.001 1 + 1.013 omega + -0.066 omega^2,0.002 1 + 0.028 omega + -0.134 omega^2,1.8274988846e-03,-3.7940144847e-04,2.7768962910e-02,7.7797377668e-06,3.4526575622e-04,-1.3357437174e-01
15001,2024-10-07 23:35:00,0.059236,1.723669,1.219537,-0.001 1 + 0.001 theta + 0.985 omega + 0.001 theta omega + 0.045 omega^2,-0.002 1 + 0.001 theta + -0.025 omega + 0.001 theta omega + 0.088 omega^2,-1.8777948084e-03,1.1940354594e-03,-2.4680589893e-02,-1.0491744107e-04,1.4928492664e-03,8.7776192363e-02
15002,2024-10-07 23:40:00,2.013804,42.829291,30.318341,-0.001 1 + 1.016 omega + -0.002 omega^2,-0.001 1 + -0.001 theta + 0.034 omega + 0.001 omega^2,-1.2317818236e-03,-9.1020666596e-04,3.4257647748e-02,-2.1776432992e-05,3.1123491387e-04,5.1794579414e-04
15003,2024-10-07 23:45:00,nan,nan,nan,0.004 1 + 0.001 theta + 1.011 omega + 0.001 theta omega + -0.036 omega^2,0.007 1 + 0.001 theta + 0.021 omega + 0.002 theta omega + -0.078 omega^2,7.3931522190e-03,1.0873265045e-03,2.1443076055e-02,4.3457880428e-05,1.7623921252e-03,-7.7578474538e-02
15004,2024-10-07 23:50:00,0.060182,1.638778,1.159572,0.002 1 + 0.999 omega + -0.143 omega^2,0.004 1 + -0.001 theta + -0.001 omega + -0.281 omega^2,3.6929264180e-03,-8.0337877586e-04,-9.2452777877e-04,3.1144265176e-05,4.7136339339e-04,-2.8144555613e-01
15005,2024-10-07 23:55:00,nan,nan,nan,0.001 1 + 0.995 omega + -0.002 theta omega + 0.155 omega^2,0.001 1 + -0.008 omega + -0.004 theta omega + 0.308 omega^2,1.2779261894e-03,-2.0681435592e-04,-8.3405712591e-03,1.9172472749e-05,-3.8385184207e-03,3.0783507507e-01
15006,2024-10-08 00:00:00,0.039241,1.592165,1.126173,0.012 1 + -0.001 theta + 0.952 omega + 0.003 theta omega + -0.094 omega^2,0.023 1 + -0.002 theta + -0.094 omega + 0.006 theta omega + -0.195 omega^2,2.3356787628e-02,-1.6430291274e-03,-9.3553390327e-02,1.4383520596e-05,5.8647604001e-03,-1.9471537112e-01
15007,2024-10-08 00:05:00,0.093138,2.937664,2.078286,-0.001 1 + 0.998 omega + 0.020 omega^2,-0.002 1 + -0.006 omega + -0.001 theta omega + 0.032 omega^2,-1.5745205760e-03,3.3101536873e-04,-5.5453262854e-03,8.8997681845e-05,-5.0603678745e-04,3.1695073446e-02
15008,2024-10-08 00:10:00,nan,nan,nan,0.001 1 + 0.999 omega + 0.001 theta omega + -0.083 omega^2,0.003 1 + -0.003 omega + 0.002 theta omega + -0.174 omega^2,2.6399329975e-03,3.2249984629e-04,-2.5352623803e-03,-2.0214387247e-04,1.8559706412e-03,-1.7383197971e-01
15009,2024-10-08 00:15:00,0.133276,4.299030,3.041334,-0.002 1 + 1.001 omega + 0.052 omega^2,-0.003 1 + 0.003 omega + 0.109 omega^2,-3.2217905448e-03,-4.5968163232e-04,2.5490794564e-03,4.8966271856e-05,4.5149342119e-04,1.0892730613e-01
15010,2024-10-08 00:20:00,0.075691,1.822581,1.289870,-0.002 1 + 0.001 theta + 1.017 omega + -0.001 theta omega + -0.093 omega^2,-0.004 1 + 0.002 theta + 0.032 omega + -0.002 theta omega + -0.183 omega^2,-4.1619902830e-03,1.8707874235e-03,3.1519366640e-02,-1.0734375904e-04,-2.3972269297e-03,-1.8289249926e-01
15011,2024-10-08 00:25:00,nan,nan,nan,0.999 omega + -0.003 theta omega + 0.110 omega^2,-0.001 theta + -0.006 theta omega + 0.221 omega^2,-4.5620927992e-04,-6.4046038560e-04,-1.2322485751e-04,7.5514423899e-05,-6.1837490891e-03,2.2106961536e-01
15012,2024-10-08 00:30:00,nan,nan,nan,0.001 theta + 1.024 omega + -0.001 theta omega + -0.237 omega^2,0.002 theta + 0.050 omega + -0.003 theta omega + -0.478 omega^2,-2.5110418137e-04,1.5852046770e-03,4.9974777275e-02,-1.0670100418e-04,-2.6350637693e-03,-4.7792161387e-01
15013,2024-10-08 00:35:00,0.035184,2.154368,1.523571,-0.004 1 + 1.050 omega + -0.002 theta omega + -0.125 omega^2,-0.008 1 + 0.001 theta + 0.107 omega + -0.004 theta omega + -0.261 omega^2,-8.3634887535e-03,7.2296904444e-04,1.0740298200e-01,-1.6462395478e-05,-3.8415968499e-03,-2.6068105538e-01
15014,2024-10-08 00:40:00,0.093688,4.212807,2.979641,0.002 1 + 1.001 omega + 0.001 theta omega + -0.105 omega^2,0.003 1 + 0.005 omega + 0.003 theta omega + -0.224 omega^2,3.4949575804e-03,-3.3185853499e-04,5.2379460399e-03,-3.2916224083e-06,2.9296222564e-03,-2.2391370262e-01
15015,2024-10-08 00:45:00,0.041268,1.371311,0.970102,0.002 1 + 0.985 omega + 0.002 theta omega + 0.008 omega^2,0.003 1 + -0.031 omega + 0.004 theta omega + 0.016 omega^2,3.1977359136e-03,3.2247131769e-05,-3.1455004618e-02,-6.4458117719e-05,3.8378817910e-03,1.6322509204e-02
15016,2024-10-08 00:50:00,nan,nan,nan,0.001 1 + -0.001 theta + 1.007 omega + -0.003 theta omega + 0.215 omega^2,0.002 1 + -0.002 theta + 0.015 omega + -0.006 theta omega + 0.421 omega^2,1.7937040827e-03,-2.3897786969e-03,1.5224750371e-02,1.7831613408e-04,-6.1636426025e-03,4.2113766858e-01
15017,2024-10-08 00:55:00,0.011596,0.239554,0.169589,0.001 1 + 0.998 omega + -0.022 omega^2,0.001 1 + -0.002 omega + -0.034 omega^2,1.4481484003e-03,1.0961519729e-04,-2.0929876407e-03,-5.5644291673e-06,-4.8194824609e-05,-3.3680750886e-02
15018,2024-10-08 01:00:00,0.046517,4.206640,2.974725,-0.015 1 + -0.001 theta + 0.906 omega + -0.002 theta omega + -0.130 omega^2,-0.029 1 + -0.001 theta + -0.183 omega + -0.004 theta omega + -0.257 omega^2,-2.8800645604e-02,-1.0226564197e-03,-1.8258865458e-01,-6.7837089947e-06,-3.6448850501e-03,-2.5738502188e-01
15019,2024-10-08 01:05:00,0.115658,5.875226,4.155217,-0.002 1 + 0.990 omega + -0.001 theta omega + -0.008 omega^2,-0.004 1 + -0.018 omega + -0.003 theta omega + -0.017 omega^2,-3.7136199552e-03,1.3029254315e-04,-1.8306710026e-02,6.6845655393e-05,-2.7639883392e-03,-1.6800280795e-02
15020,2024-10-08 01:10:00,0.024462,0.904265,0.639646,0.005 1 + 1.059 omega + 0.132 omega^2,0.011 1 + 0.118 omega + 0.262 omega^2,1.1135306778e-02,-1.8470157902e-04,1.1838356956e-01,-1.3493538240e-06,-2.8248495868e-04,2.6174275162e-01
15021,2024-10-08 01:15:00,nan,nan,nan,-0.013 1 + 0.934 omega + -0.002 theta omega + -0.024 omega^2,-0.024 1 + -0.001 theta + -0.123 omega + -0.004 theta omega + -0.037 omega^2,-2.3676467488e-02,-8.5750703174e-04,-1.2285017853e-01,-3.9249215321e-06,-3.5901990277e-03,-3.7367776385e-02
15022,2024-10-08 01:20:00,0.034284,0.950507,0.672547,-0.003 1 + 0.982 omega + -0.001 theta omega + 0.025 omega^2,-0.005 1 + -0.037 omega + -0.002 theta omega + 0.049 omega^2,-5.4009284408e-03,-2.4380381164e-05,-3.6823106601e-02,1.1549773974e-05,-1.6895682823e-03,4.8579999936e-02
15023,2024-10-08 01:25:00,0.025335,0.847859,0.599795,0.014 1 + -0.001 theta + 0.896 omega + 0.003 theta omega + 0.105 omega^2,0.028 1 + -0.001 theta + -0.201 omega + 0.006 theta omega + 0.197 omega^2,2.7987614871e-02,-1.2208044837e-03,-2.0063523713e-01,6.3069674993e-06,6.3873761725e-03,1.9675816308e-01
15024,2024-10-08 01:30:00,0.074842,4.296537,3.038572,-0.001 1 + 0.995 omega + -0.004 theta omega + 0.142 omega^2,-0.001 1 + -0.010 omega + -0.007 theta omega + 0.291 omega^2,-1.2249445304e-03,-4.3786754806e-04,-1.0324602524e-02,1.0581559133e-04,-7.1190874935e-03,2.9144178538e-01
15025,2024-10-08 01:35:00,0.459155,19.117688,13.522145,1.008 omega + 0.001 theta omega + 0.013 omega^2,-0.001 theta + 0.017 omega + 0.002 theta omega + 0.032 omega^2,-4.4527921177e-04,-8.9185393101e-04,1.7091940736e-02,-7.9613188878e-05,2.4517534277e-03,3.2271426547e-02
15026,2024-10-08 01:40:00,nan,nan,nan,0.001 1 + 0.997 omega + -0.001 theta omega + 0.127 omega^2,0.001 1 + -0.002 omega + -0.002 theta omega + 0.239 omega^2,1.3066285306e-03,-3.3384256268e-04,-1.9162665440e-03,7.0736582279e-06,-2.3710718629e-03,2.3901626703e-01
15027,2024-10-08 01:45:00,0.026125,2.249188,1.590524,0.003 1 + 1.060 omega + -0.001 theta omega + 0.238 omega^2,0.005 1 + 0.122 omega + -0.001 theta omega + 0.479 omega^2,5.2941335818e-03,-2.8151454341e-04,1.2242969223e-01,-5.9789102213e-07,-1.2002444320e-03,4.7919437627e-01
