Combo_Index,Sigma,Degree,Threshold,Mean_RMSE_Omega,Median_RMSE_Omega,Std_RMSE_Omega,Mean_RMSE_Theta,Mean_RMSE_Total,Num_Success,Num_Total,Task_ID
0,0,1,1e-10,0.105088,0.084473,0.088003,4.782523,3.382736,298,300,0
1,0,1,1e-05,0.10531,0.084473,0.088989,4.795226,3.39172,298,300,1
2,0,1,0.001,0.134272,0.089241,0.514665,9.772241,6.910962,297,300,2
3,0,1,0.01,0.099613,0.094301,0.040017,10.854118,7.675421,300,300,3
4,0,1,0.1,0.099613,0.094301,0.040017,10.872446,7.688381,300,300,4
5,0,2,1e-10,0.154129,0.09077,0.376067,5.372682,3.801096,255,300,5
6,0,2,1e-05,0.149464,0.087022,0.368284,5.249785,3.714126,257,300,6
7,0,2,0.001,0.0924,0.082194,0.048593,7.243148,5.122378,280,300,7
8,0,2,0.01,0.099304,0.094301,0.040091,10.740119,7.594816,300,300,8
9,0,2,0.1,0.099613,0.094301,0.040017,10.865219,7.683271,300,300,9
10,0,3,1e-10,0.124384,0.086979,0.146846,4.195596,2.969613,225,300,10
11,0,3,1e-05,0.119773,0.086138,0.150926,27.563212,19.492532,229,300,11
12,0,3,0.001,0.108266,0.083179,0.120102,463270.810642,327581.933414,288,300,12
13,0,3,0.01,0.101285,0.091678,0.09222,10.007576,7.076937,300,300,13
14,0,3,0.1,0.099613,0.094301,0.040017,10.870713,7.687156,300,300,14
15,5,1,1e-10,0.083306,0.067147,0.056995,3.960045,2.800925,299,300,15
16,5,1,1e-05,0.083337,0.067147,0.056983,3.965397,2.804709,299,300,16
17,5,1,0.001,0.088342,0.077413,0.073556,7.799476,5.515597,299,300,17
18,5,1,0.01,0.091994,0.086167,0.039932,10.403635,7.356828,300,300,18
19,5,1,0.1,0.091994,0.086167,0.039932,10.411896,7.362669,300,300,19
20,5,2,1e-10,0.107344,0.067562,0.22687,4.665712,3.300225,243,300,20
21,5,2,1e-05,0.107773,0.068819,0.224982,4.66831,3.302075,247,300,21
22,5,2,0.001,0.103817,0.072764,0.206611,7.277967,5.147249,278,300,22
23,5,2,0.01,0.091095,0.085391,0.038872,10.182696,7.200605,300,300,23
24,5,2,0.1,0.091994,0.086167,0.039932,10.411004,7.362038,300,300,24
25,5,3,1e-10,0.167557,0.075281,0.523593,4.745824,3.364481,217,300,25
26,5,3,1e-05,0.162169,0.071282,0.514672,5.114568,3.624685,228,300,26
27,5,3,0.001,0.094214,0.071208,0.112685,6.555081,4.636254,284,300,27
28,5,3,0.01,0.088356,0.080402,0.038168,9.543376,6.748542,300,300,28
29,5,3,0.1,0.091994,0.086167,0.039932,10.554709,7.463655,300,300,29
30,10,1,1e-10,0.06675,0.05078,0.057098,3.470112,2.454287,299,300,30
31,10,1,1e-05,0.066734,0.05078,0.057108,3.462785,2.449106,299,300,31
32,10,1,0.001,0.075313,0.063693,0.045484,7.147371,5.054338,299,300,32
33,10,1,0.01,0.082255,0.075421,0.040751,9.420291,6.66145,300,300,33
34,10,1,0.1,0.081609,0.075421,0.038457,9.392578,6.641851,300,300,34
35,10,2,1e-10,0.105232,0.050079,0.33265,4.576902,3.237439,239,300,35
36,10,2,1e-05,0.091148,0.052784,0.185759,4.225276,2.98864,247,300,36
37,10,2,0.001,0.09625,0.059042,0.27301,6.912579,4.888816,277,300,37
38,10,2,0.01,0.080813,0.075421,0.037147,9.255676,6.545046,300,300,38
39,10,2,0.1,0.081609,0.075421,0.038457,9.428673,6.667375,300,300,39
40,10,3,1e-10,0.106132,0.05844,0.214763,4.871065,3.445666,207,300,40
41,10,3,1e-05,0.124223,0.056235,0.392795,156.699367,110.804992,224,300,41
42,10,3,0.001,0.087493,0.057804,0.231419,8554.244465,6048.765634,286,300,42
43,10,3,0.01,0.078752,0.071658,0.037184,8.725406,6.170091,300,300,43
44,10,3,0.1,0.081609,0.075421,0.038457,10.002945,7.073446,300,300,44
45,15,1,1e-10,0.056385,0.037926,0.091954,3.146136,2.225081,300,300,45
46,15,1,1e-05,0.055792,0.037801,0.085674,3.131927,2.215028,300,300,46
47,15,1,0.001,0.069764,0.052283,0.071078,6.862692,4.852965,300,300,47
48,15,1,0.01,0.073434,0.065765,0.039554,8.391187,5.933731,300,300,48
49,15,1,0.1,0.07276,0.065765,0.037041,8.358064,5.910305,300,300,49
50,15,2,1e-10,0.080204,0.034271,0.235486,4.349842,3.076435,230,300,50
51,15,2,1e-05,0.081808,0.035688,0.22962,4.405956,3.116126,240,300,51
52,15,2,0.001,0.059905,0.045981,0.047078,5.67339,4.011969,273,300,52
53,15,2,0.01,0.072397,0.065765,0.03671,8.288059,5.860805,300,300,53
54,15,2,0.1,0.07276,0.065765,0.037041,8.475157,5.993104,300,300,54
55,15,3,1e-10,0.121116,0.044687,0.491729,4.616003,3.267232,201,300,55
56,15,3,1e-05,0.10372,0.042497,0.357316,5.27663,3.732245,218,300,56
57,15,3,0.001,0.080859,0.045019,0.270351,528175424.834963,373476424.56462,284,300,57
58,15,3,0.01,0.072575,0.065322,0.039015,8.163846,5.77298,300,300,58
59,15,3,0.1,0.07276,0.065765,0.037041,9.618272,6.801403,300,300,59
