Loaded ground truth: c_omega=-9.057647e-03, c_theta=-1.531763e-05, Delta_P=5.548905e-03
Loading data from /pfs/data6/home/ka/ka_iai/ka_bj2362/dsr/svise/../dataset/South_Korea_2024-08-15_2025-08-31_1s.parquet...
Finding all valid 60-minute chunks (3600 samples each)...
Found 8765 valid 60-minute chunks.

Processing chunks 0 to 8764 (of 8765 total)
Chunk size: 60 min (3600 samples)
Gaussian sigma: 60
Output: /pfs/data6/home/ka/ka_iai/ka_bj2362/dsr/svise/results_1dlkm_reference_60min/run_SLURM_3731103
  [1/8765] Chunk 0 (2024-08-15 01:00:00): RMSE=0.100947 P0=-2.253193e-03 [OK]
  [2/8765] Chunk 1 (2024-08-15 02:00:00): RMSE=0.068692 P0=5.300399e-04 [OK]
  [3/8765] Chunk 2 (2024-08-15 03:00:00): RMSE=0.063581 P0=5.601850e-04 [OK]
  [4/8765] Chunk 3 (2024-08-15 04:00:00): RMSE=0.078988 P0=-2.194415e-03 [OK]
  [5/8765] Chunk 4 (2024-08-15 05:00:00): RMSE=0.063101 P0=3.519738e-05 [OK]
  [6/8765] Chunk 5 (2024-08-15 06:00:00): RMSE=0.064670 P0=-4.548895e-04 [OK]
  [7/8765] Chunk 6 (2024-08-15 07:00:00): RMSE=0.042399 P0=4.003458e-04 [OK]
  [8/8765] Chunk 7 (2024-08-15 08:00:00): RMSE=0.047710 P0=1.115992e-03 [OK]
  [9/8765] Chunk 8 (2024-08-15 09:00:00): RMSE=0.036114 P0=9.967406e-04 [OK]
  [10/8765] Chunk 9 (2024-08-15 10:00:00): RMSE=0.033223 P0=6.533835e-04 [OK]
  [11/8765] Chunk 10 (2024-08-15 11:00:00): RMSE=0.045630 P0=5.671745e-05 [OK]
  [12/8765] Chunk 11 (2024-08-15 12:00:00): RMSE=0.056002 P0=5.203906e-04 [OK]
  [13/8765] Chunk 12 (2024-08-15 13:00:00): RMSE=0.076443 P0=2.624683e-04 [OK]
