Loaded ground truth: c_omega=-9.057647e-03, c_theta=-1.531763e-05, Delta_P=5.548905e-03
Loading data from /pfs/data6/home/ka/ka_iai/ka_bj2362/dsr/svise/../dataset/South_Korea_2024-08-15_2025-08-31_1s.parquet...
Finding all valid 5-minute chunks (300 samples each)...
Found 107059 valid 5-minute chunks.

Processing chunks 0 to 107058 (of 107059 total)
Chunk size: 5 min (300 samples)
Gaussian sigma: 60
Output: /pfs/data6/home/ka/ka_iai/ka_bj2362/dsr/svise/results_1dlkm_reference_5min/run_SLURM_3731105
  [1/107059] Chunk 0 (2024-08-15 00:00:00): RMSE=0.041929 P0=-1.315771e-03 [OK]
  [2/107059] Chunk 1 (2024-08-15 00:25:00): RMSE=0.014761 P0=3.923059e-04 [OK]
  [3/107059] Chunk 2 (2024-08-15 00:45:00): RMSE=0.020060 P0=-1.392550e-04 [OK]
  [4/107059] Chunk 3 (2024-08-15 00:50:00): RMSE=0.007115 P0=-3.378182e-05 [OK]
  [5/107059] Chunk 4 (2024-08-15 00:55:00): RMSE=0.011986 P0=7.370498e-04 [OK]
  [6/107059] Chunk 5 (2024-08-15 01:00:00): RMSE=0.020745 P0=2.093377e-04 [OK]
  [7/107059] Chunk 6 (2024-08-15 01:05:00): RMSE=0.019573 P0=-1.525468e-03 [OK]
  [8/107059] Chunk 7 (2024-08-15 01:10:00): RMSE=0.021775 P0=-7.956684e-04 [OK]
  [9/107059] Chunk 8 (2024-08-15 01:15:00): RMSE=0.006346 P0=-1.671977e-03 [OK]
  [10/107059] Chunk 9 (2024-08-15 01:20:00): RMSE=0.022549 P0=3.214152e-04 [OK]
  [11/107059] Chunk 10 (2024-08-15 01:25:00): RMSE=0.010860 P0=9.691575e-04 [OK]
  [12/107059] Chunk 11 (2024-08-15 01:30:00): RMSE=0.014043 P0=-2.023275e-03 [OK]
  [13/107059] Chunk 12 (2024-08-15 01:35:00): RMSE=0.015532 P0=-4.150471e-04 [OK]
  [14/107059] Chunk 13 (2024-08-15 01:40:00): RMSE=0.021815 P0=-1.960703e-03 [OK]
  [15/107059] Chunk 14 (2024-08-15 01:45:00): RMSE=0.020357 P0=-7.697334e-04 [OK]
  [16/107059] Chunk 15 (2024-08-15 01:50:00): RMSE=0.030121 P0=4.829470e-04 [OK]
  [17/107059] Chunk 16 (2024-08-15 01:55:00): RMSE=0.043061 P0=6.131515e-04 [OK]
  [18/107059] Chunk 17 (2024-08-15 02:00:00): RMSE=0.009607 P0=-6.109793e-04 [OK]
  [19/107059] Chunk 18 (2024-08-15 02:05:00): RMSE=0.009826 P0=7.183350e-04 [OK]
  [20/107059] Chunk 19 (2024-08-15 02:10:00): RMSE=0.027655 P0=-9.185188e-05 [OK]
  [21/107059] Chunk 20 (2024-08-15 02:15:00): RMSE=0.042641 P0=4.371117e-04 [OK]
  [22/107059] Chunk 21 (2024-08-15 02:20:00): RMSE=0.008386 P0=8.871292e-04 [OK]
  [23/107059] Chunk 22 (2024-08-15 02:25:00): RMSE=0.027465 P0=4.065241e-04 [OK]
  [24/107059] Chunk 23 (2024-08-15 02:30:00): RMSE=0.039281 P0=1.383951e-04 [OK]
  [25/107059] Chunk 24 (2024-08-15 02:35:00): RMSE=0.022453 P0=3.058294e-04 [OK]
  [26/107059] Chunk 25 (2024-08-15 02:40:00): RMSE=0.009220 P0=-4.637293e-04 [OK]
  [27/107059] Chunk 26 (2024-08-15 02:45:00): RMSE=0.007941 P0=7.123249e-04 [OK]
  [28/107059] Chunk 27 (2024-08-15 02:50:00): RMSE=0.007403 P0=1.863401e-03 [OK]
  [29/107059] Chunk 28 (2024-08-15 02:55:00): RMSE=0.012560 P0=-1.490509e-04 [OK]
  [30/107059] Chunk 29 (2024-08-15 03:00:00): RMSE=0.003539 P0=1.103301e-03 [OK]
  [31/107059] Chunk 30 (2024-08-15 03:05:00): RMSE=0.043772 P0=-9.709417e-04 [OK]
  [32/107059] Chunk 31 (2024-08-15 03:10:00): RMSE=0.016052 P0=-9.978801e-04 [OK]
  [33/107059] Chunk 32 (2024-08-15 03:15:00): RMSE=0.003830 P0=4.979096e-04 [OK]
  [34/107059] Chunk 33 (2024-08-15 03:20:00): RMSE=0.008964 P0=7.309508e-04 [OK]
  [35/107059] Chunk 34 (2024-08-15 03:25:00): RMSE=0.009853 P0=3.249295e-04 [OK]
  [36/107059] Chunk 35 (2024-08-15 03:30:00): RMSE=0.007368 P0=3.157812e-04 [OK]
  [37/107059] Chunk 36 (2024-08-15 03:35:00): RMSE=0.018405 P0=4.403433e-04 [OK]
  [38/107059] Chunk 37 (2024-08-15 03:40:00): RMSE=0.005453 P0=7.539661e-04 [OK]
  [39/107059] Chunk 38 (2024-08-15 03:45:00): RMSE=0.042952 P0=8.465309e-04 [OK]
  [40/107059] Chunk 39 (2024-08-15 03:50:00): RMSE=0.039210 P0=-7.802043e-04 [OK]
  [41/107059] Chunk 40 (2024-08-15 03:55:00): RMSE=0.016682 P0=-1.658128e-04 [OK]
  [42/107059] Chunk 41 (2024-08-15 04:00:00): RMSE=0.024395 P0=-2.547723e-03 [OK]
  [43/107059] Chunk 42 (2024-08-15 04:05:00): RMSE=0.019199 P0=-1.652562e-03 [OK]
  [44/107059] Chunk 43 (2024-08-15 04:10:00): RMSE=0.033014 P0=3.417126e-04 [OK]
  [45/107059] Chunk 44 (2024-08-15 04:15:00): RMSE=0.013505 P0=-4.385585e-04 [OK]
  [46/107059] Chunk 45 (2024-08-15 04:20:00): RMSE=0.012369 P0=8.323694e-04 [OK]
  [47/107059] Chunk 46 (2024-08-15 04:25:00): RMSE=0.028318 P0=-8.803443e-04 [OK]
  [48/107059] Chunk 47 (2024-08-15 04:30:00): RMSE=0.018685 P0=-1.418130e-03 [OK]
  [49/107059] Chunk 48 (2024-08-15 04:35:00): RMSE=0.023403 P0=-9.123989e-04 [OK]
  [50/107059] Chunk 49 (2024-08-15 04:40:00): RMSE=0.017102 P0=4.712287e-04 [OK]
  [51/107059] Chunk 50 (2024-08-15 04:45:00): RMSE=0.029473 P0=8.556490e-04 [OK]
  [52/107059] Chunk 51 (2024-08-15 04:50:00): RMSE=0.019484 P0=-9.410100e-04 [OK]
  [53/107059] Chunk 52 (2024-08-15 04:55:00): RMSE=0.007271 P0=1.448093e-03 [OK]
  [54/107059] Chunk 53 (2024-08-15 05:00:00): RMSE=0.039727 P0=5.736373e-04 [OK]
  [55/107059] Chunk 54 (2024-08-15 05:05:00): RMSE=0.028156 P0=-3.150748e-04 [OK]
  [56/107059] Chunk 55 (2024-08-15 05:10:00): RMSE=0.005685 P0=1.284759e-03 [OK]
  [57/107059] Chunk 56 (2024-08-15 05:15:00): RMSE=0.012170 P0=-1.586401e-04 [OK]
  [58/107059] Chunk 57 (2024-08-15 05:20:00): RMSE=0.001183 P0=1.779889e-04 [OK]
  [59/107059] Chunk 58 (2024-08-15 05:25:00): RMSE=0.013165 P0=-3.919385e-04 [OK]
  [60/107059] Chunk 59 (2024-08-15 05:30:00): RMSE=0.039801 P0=-3.182379e-04 [OK]
  [61/107059] Chunk 60 (2024-08-15 05:35:00): RMSE=0.023065 P0=-1.598400e-04 [OK]
  [62/107059] Chunk 61 (2024-08-15 05:40:00): RMSE=0.003175 P0=-5.353224e-04 [OK]
  [63/107059] Chunk 62 (2024-08-15 05:45:00): RMSE=0.005923 P0=2.222856e-05 [OK]
  [64/107059] Chunk 63 (2024-08-15 05:50:00): RMSE=0.007852 P0=-1.243771e-03 [OK]
  [65/107059] Chunk 64 (2024-08-15 05:55:00): RMSE=0.003365 P0=-9.920071e-04 [OK]
  [66/107059] Chunk 65 (2024-08-15 06:00:00): RMSE=0.016896 P0=1.392132e-03 [OK]
